design,comparison,value,reference,candidate,point_mine,ci95_low_mine,ci95_high_mine,bca_low_mine,bca_high,p_two_sided_mine,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive_mine,n_seeds,loco_min,loco_max,loco_sign_stable_mine,margin,passes_intervals,passes_P1_mine,point_lead,ci95_low_lead,ci95_high_lead,bca_low_lead,p_two_sided_lead,seeds_positive_lead,loco_sign_stable_lead,passes_P1_lead,d_point
B,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.011907271695526769,-0.0552383170471835,0.036743510466329565,-0.07433044734868648,0.029642683053810747,0.7826,0.026960609694558244,0.07548970714476308,0.019057102309605205,90,45,2,5,-0.017084305632869206,0.024143446490948555,False,0.02,False,False,-0.0119072716955267,-0.0552383170471835,0.0367435104663295,-0.0743304473486864,0.7826,2,False,False,-6.938893903907228e-17
B,AOPT_vs_MAXMIN,mae_all,MAXMIN,AOPT,-0.003850815386383893,-0.04072139349759228,0.045262812020316075,-0.05309744997473675,0.03432802948061891,0.9852,0.02329760744122118,0.0652333008354193,0.023312540660891577,90,38,3,5,-0.013274294754912692,0.0247201513426866,False,0.02,False,False,-0.0038508153863838,-0.0407213934975922,0.045262812020316,-0.0530974499747367,0.9852,3,False,False,-9.280770596475918e-17
B,UNCERT_vs_RANDOM,mae_all,RANDOM,UNCERT,-0.031041771261368808,-0.0671844441347917,0.018962144527357852,-0.07584325247962893,0.00928379072707963,0.2816,0.0229645045597206,0.06430061276721767,-0.008731989377479165,90,25,2,5,-0.041125478756913775,-0.005724090219100798,True,0.02,False,False,-0.0310417712613688,-0.0671844441347917,0.0189621445273578,-0.0758432524796289,0.2816,2,True,False,-6.938893903907228e-18
B,UNCERT_vs_MAXMIN,mae_all,MAXMIN,UNCERT,-0.022985314952225944,-0.055942698315067735,0.022215961163391626,-0.0612662145477475,0.015520477833511816,0.3386,0.02025999044190553,0.056727973237335486,-0.004476551026192795,90,29,2,5,-0.03139803854735324,-0.005147385367362754,True,0.02,False,False,-0.0229853149522259,-0.0559426983150677,0.0222159611633916,-0.0612662145477475,0.3386,2,True,False,-4.5102810375396984e-17
BR,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.023452157942270364,0.013549740146217343,0.03593229161597854,0.013949603829012983,0.03655653195677222,0.0,0.005645814592945002,0.015808280860246004,0.023764682250427546,90,72,5,5,0.020638158614691513,0.02553007816583295,True,0.02,True,True,0.0234521579422703,0.0135497401462173,0.0359322916159785,0.0139496038290129,0.0,5,True,True,6.245004513516506e-17
BR,AOPT_vs_MAXMIN,mae_all,MAXMIN,AOPT,0.04172165906423019,0.014829661465513653,0.06007552138412558,0.01955675822181471,0.0636748737161799,0.0014,0.011604958446770904,0.03249388365095853,0.034462308624065144,90,65,5,5,0.032215913684529744,0.04487191894155608,True,0.02,True,True,0.0417216590642302,0.0148296614655136,0.0600755213841255,0.0195567582218147,0.0014,5,True,True,-6.938893903907228e-18
BR,UNCERT_vs_RANDOM,mae_all,RANDOM,UNCERT,-0.004080871910152892,-0.024036015079993887,0.022462571112668757,-0.02258953450833244,0.024425664990118987,0.711,0.011750426430267151,0.03290119400474802,0.0001439833521216954,90,36,3,5,-0.011305398341718394,0.0006682979490086678,False,0.02,False,False,-0.0040808719101528,-0.0240360150799938,0.0224625711126687,-0.0225895345083324,0.711,3,False,False,-9.194034422677078e-17
BR,UNCERT_vs_MAXMIN,mae_all,MAXMIN,UNCERT,0.014188629211806941,-0.0194962973454201,0.03892417222654439,-0.017793655687916708,0.040064995995497524,0.3602,0.014772020785279826,0.04136165819878351,0.010841609725759292,90,45,3,5,0.007354133467705455,0.01844858965631729,True,0.02,False,False,0.0141886292118069,-0.01949629734542,0.0389241722265443,-0.0177936556879167,0.3602,3,True,False,4.163336342344337e-17
BQ,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.003371720120869313,-0.03746935313597817,0.03554521017321915,-0.05209507518021937,0.029084893805358114,0.9738,0.02095340478254845,0.05866953339113566,0.018487969687607766,90,48,3,5,-0.007057201866494007,0.024127471262072226,False,0.02,False,False,-0.0033717201208693,-0.0374693531359781,0.0355452101732191,-0.0520950751802193,0.9738,3,False,False,-1.3010426069826053e-17
BQ,AOPT_vs_MAXMIN,mae_all,MAXMIN,AOPT,0.010272989147868406,-0.013647385803872862,0.043932170347776724,-0.02019060211818935,0.03647147809654123,0.4342,0.015183207200555453,0.04251298016155527,0.02466749815002462,90,43,4,5,0.0031871800321865034,0.027154573958983318,True,0.02,False,False,0.0102729891478684,-0.0136473858038728,0.0439321703477767,-0.0201906021181893,0.4342,4,True,False,6.938893903907228e-18
