stratum,point,ci_low,ci_high,p,seeds_positive,n_units,passes_P1
all,0.05006531841752166,0.027153594953636187,0.06622523398987341,0.0,5,90,True
n_metals_max <= 13,0.03981159400207904,0.01661347308949495,0.055391708061242516,0.0008,5,46,True
n_metals_max >  13,0.060785121215484385,0.033238928391402585,0.0844156101488415,0.0,5,44,True
well determined (>=5),0.05445948163812824,0.032271277939706085,0.06965249923271025,0.0,5,82,True
not well determined (<5),0.0050251454063041864,-0.038591160764058836,0.04382843941888272,0.7816,4,8,False
