model,split_seed,expected_rows,returned_rows,missing_rows,duplicate_rows,nan_predictions,inf_predictions,nan_truth,scored_rows
GEN10_MONO_HYBRID,104729,5248,5248,0,0,0,0,0,5248
GEN10_MONO_HYBRID,130363,5248,5248,0,0,0,0,0,5248
GEN10_MONO_HYBRID,155921,5248,5248,0,0,0,0,0,5248
GEN10_MONO_HYBRID,196613,5248,5248,0,0,0,0,0,5248
GEN10_MONO_HYBRID,262147,5248,5248,0,0,0,0,0,5248
GEN10_MONO_RANK,104729,5248,5248,0,0,0,0,0,5248
GEN10_MONO_RANK,130363,5248,5248,0,0,0,0,0,5248
GEN10_MONO_RANK,155921,5248,5248,0,0,0,0,0,5248
GEN10_MONO_RANK,196613,5248,5248,0,0,0,0,0,5248
GEN10_MONO_RANK,262147,5248,5248,0,0,0,0,0,5248
GEN10_REC_ALL,104729,5248,5248,0,0,0,0,0,5248
GEN10_REC_ALL,130363,5248,5248,0,0,0,0,0,5248
GEN10_REC_ALL,155921,5248,5248,0,0,0,0,0,5248
GEN10_REC_ALL,196613,5248,5248,0,0,0,0,0,5248
GEN10_REC_ALL,262147,5248,5248,0,0,0,0,0,5248
GEN10_REC_GEN9_CURVEWINDOW,104729,5248,5248,0,0,0,0,0,5248
GEN10_REC_GEN9_CURVEWINDOW,130363,5248,5248,0,0,0,0,0,5248
GEN10_REC_GEN9_CURVEWINDOW,155921,5248,5248,0,0,0,0,0,5248
GEN10_REC_GEN9_CURVEWINDOW,196613,5248,5248,0,0,0,0,0,5248
GEN10_REC_GEN9_CURVEWINDOW,262147,5248,5248,0,0,0,0,0,5248
GEN10_REC_GEN9_PLUS,104729,5248,5248,0,0,0,0,0,5248
GEN10_REC_GEN9_PLUS,130363,5248,5248,0,0,0,0,0,5248
GEN10_REC_GEN9_PLUS,155921,5248,5248,0,0,0,0,0,5248
GEN10_REC_GEN9_PLUS,196613,5248,5248,0,0,0,0,0,5248
GEN10_REC_GEN9_PLUS,262147,5248,5248,0,0,0,0,0,5248
GEN10_REC_HYBRID,104729,5248,5248,0,0,0,0,0,5248
GEN10_REC_HYBRID,130363,5248,5248,0,0,0,0,0,5248
GEN10_REC_HYBRID,155921,5248,5248,0,0,0,0,0,5248
GEN10_REC_HYBRID,196613,5248,5248,0,0,0,0,0,5248
GEN10_REC_HYBRID,262147,5248,5248,0,0,0,0,0,5248
GEN10_REC_LOCAL,104729,5248,5248,0,0,0,0,0,5248
GEN10_REC_LOCAL,130363,5248,5248,0,0,0,0,0,5248
GEN10_REC_LOCAL,155921,5248,5248,0,0,0,0,0,5248
GEN10_REC_LOCAL,196613,5248,5248,0,0,0,0,0,5248
GEN10_REC_LOCAL,262147,5248,5248,0,0,0,0,0,5248
GEN10_REC_RANK,104729,5248,5248,0,0,0,0,0,5248
GEN10_REC_RANK,130363,5248,5248,0,0,0,0,0,5248
GEN10_REC_RANK,155921,5248,5248,0,0,0,0,0,5248
GEN10_REC_RANK,196613,5248,5248,0,0,0,0,0,5248
GEN10_REC_RANK,262147,5248,5248,0,0,0,0,0,5248
