scheme,metal_symbol,auxA_rows,rows_no_representation,rows_partial_representation
FROZEN_3,Am,1841,1841,0
FROZEN_3,Ba,32,32,0
FROZEN_3,Bi,21,21,0
FROZEN_3,Ca,34,34,0
FROZEN_3,Cd,4,4,0
FROZEN_3,Cf,7,7,0
FROZEN_3,Cm,136,136,0
FROZEN_3,Cr,1,1,0
FROZEN_3,Eu,78,0,0
FROZEN_3,Fe,37,37,0
FROZEN_3,Gd,1,0,0
FROZEN_3,Hf,5,5,0
FROZEN_3,In,5,5,0
FROZEN_3,Mo,1,1,0
FROZEN_3,Nd,5,0,0
FROZEN_3,Np,432,432,0
FROZEN_3,Pa,15,15,0
FROZEN_3,Pb,14,14,0
FROZEN_3,Pd,23,23,0
FROZEN_3,Pm,1,1,0
FROZEN_3,Pu,709,709,0
FROZEN_3,Ru,1,1,0
FROZEN_3,Sc,10,10,0
FROZEN_3,Sm,1,0,0
FROZEN_3,Sr,180,180,0
FROZEN_3,Tc,21,21,0
FROZEN_3,Th,761,761,0
FROZEN_3,U,995,995,0
FROZEN_3,Y,47,47,0
FROZEN_3,Zr,20,20,0
FROZEN_3_INDICATED,Am,1841,1841,0
FROZEN_3_INDICATED,Ba,32,32,0
FROZEN_3_INDICATED,Bi,21,21,0
FROZEN_3_INDICATED,Ca,34,34,0
FROZEN_3_INDICATED,Cd,4,4,0
FROZEN_3_INDICATED,Cf,7,7,0
FROZEN_3_INDICATED,Cm,136,136,0
FROZEN_3_INDICATED,Cr,1,1,0
FROZEN_3_INDICATED,Eu,78,0,0
FROZEN_3_INDICATED,Fe,37,37,0
FROZEN_3_INDICATED,Gd,1,0,0
FROZEN_3_INDICATED,Hf,5,5,0
FROZEN_3_INDICATED,In,5,5,0
FROZEN_3_INDICATED,Mo,1,1,0
FROZEN_3_INDICATED,Nd,5,0,0
FROZEN_3_INDICATED,Np,432,432,0
FROZEN_3_INDICATED,Pa,15,15,0
FROZEN_3_INDICATED,Pb,14,14,0
FROZEN_3_INDICATED,Pd,23,23,0
FROZEN_3_INDICATED,Pm,1,1,0
FROZEN_3_INDICATED,Pu,709,709,0
FROZEN_3_INDICATED,Ru,1,1,0
FROZEN_3_INDICATED,Sc,10,10,0
FROZEN_3_INDICATED,Sm,1,0,0
FROZEN_3_INDICATED,Sr,180,180,0
FROZEN_3_INDICATED,Tc,21,21,0
FROZEN_3_INDICATED,Th,761,761,0
FROZEN_3_INDICATED,U,995,995,0
FROZEN_3_INDICATED,Y,47,47,0
FROZEN_3_INDICATED,Zr,20,20,0
GENERAL,Am,1841,0,289
GENERAL,Ba,32,0,7
GENERAL,Bi,21,0,4
GENERAL,Ca,34,0,12
GENERAL,Cd,4,0,0
GENERAL,Cf,7,0,7
GENERAL,Cm,136,0,136
GENERAL,Cr,1,0,1
GENERAL,Eu,78,0,0
GENERAL,Fe,37,0,37
GENERAL,Gd,1,0,0
GENERAL,Hf,5,0,0
GENERAL,In,5,0,0
GENERAL,Mo,1,0,1
GENERAL,Nd,5,0,1
GENERAL,Np,432,0,250
GENERAL,Pa,15,0,0
GENERAL,Pb,14,0,4
GENERAL,Pd,23,0,23
GENERAL,Pm,1,0,0
GENERAL,Pu,709,0,193
GENERAL,Ru,1,0,1
GENERAL,Sc,10,0,10
GENERAL,Sm,1,0,0
GENERAL,Sr,180,0,86
GENERAL,Tc,21,0,21
GENERAL,Th,761,0,29
GENERAL,U,995,0,46
GENERAL,Y,47,0,19
GENERAL,Zr,20,0,7
NO_RADIUS,Am,1841,0,262
NO_RADIUS,Ba,32,0,7
NO_RADIUS,Bi,21,0,4
NO_RADIUS,Ca,34,0,12
NO_RADIUS,Cd,4,0,0
NO_RADIUS,Cf,7,0,0
NO_RADIUS,Cm,136,0,9
NO_RADIUS,Cr,1,0,1
NO_RADIUS,Eu,78,0,0
NO_RADIUS,Fe,37,0,37
NO_RADIUS,Gd,1,0,0
NO_RADIUS,Hf,5,0,0
NO_RADIUS,In,5,0,0
NO_RADIUS,Mo,1,0,1
NO_RADIUS,Nd,5,0,1
NO_RADIUS,Np,432,0,0
NO_RADIUS,Pa,15,0,0
NO_RADIUS,Pb,14,0,4
NO_RADIUS,Pd,23,0,0
NO_RADIUS,Pm,1,0,0
NO_RADIUS,Pu,709,0,16
NO_RADIUS,Ru,1,0,1
NO_RADIUS,Sc,10,0,10
NO_RADIUS,Sm,1,0,0
NO_RADIUS,Sr,180,0,86
NO_RADIUS,Tc,21,0,0
NO_RADIUS,Th,761,0,29
NO_RADIUS,U,995,0,46
NO_RADIUS,Y,47,0,19
NO_RADIUS,Zr,20,0,7
