scope,scheme,feature,is_informative,rows,rows_missing,frac_missing
auxA,FROZEN_3,Atomic Number_metal,True,5438,5353,0.984369
auxA,FROZEN_3,lanthanide_index,True,5438,5353,0.984369
auxA,FROZEN_3,Ionic Radius_metal,True,5438,5353,0.984369
auxA,FROZEN_3,<ALL informative missing>,False,5438,5353,0.984369
auxA,FROZEN_3,<ANY informative missing>,False,5438,5353,0.984369
auxA,FROZEN_3_INDICATED,Atomic Number_metal,True,5438,5353,0.984369
auxA,FROZEN_3_INDICATED,lanthanide_index,True,5438,5353,0.984369
auxA,FROZEN_3_INDICATED,Ionic Radius_metal,True,5438,5353,0.984369
auxA,FROZEN_3_INDICATED,metal_atomic_number_is_missing,False,5438,0,0.0
auxA,FROZEN_3_INDICATED,metal_lanthanide_index_is_missing,False,5438,0,0.0
auxA,FROZEN_3_INDICATED,metal_ionic_radius_is_missing,False,5438,0,0.0
auxA,FROZEN_3_INDICATED,metal_not_in_frozen_dict,False,5438,0,0.0
auxA,FROZEN_3_INDICATED,<ALL informative missing>,False,5438,5353,0.984369
auxA,FROZEN_3_INDICATED,<ANY informative missing>,False,5438,5353,0.984369
auxA,GENERAL,metal_atomic_number,True,5438,0,0.0
auxA,GENERAL,metal_oxidation_state,True,5438,552,0.101508
auxA,GENERAL,metal_effective_charge,True,5438,552,0.101508
auxA,GENERAL,metal_is_oxo_species,True,5438,552,0.101508
auxA,GENERAL,metal_ionic_radius_cn8_A,True,5438,1183,0.217543
auxA,GENERAL,metal_f_electron_count,True,5438,363,0.066752
auxA,GENERAL,metal_is_lanthanide,True,5438,0,0.0
auxA,GENERAL,metal_is_actinide,True,5438,0,0.0
auxA,GENERAL,metal_period,True,5438,0,0.0
auxA,GENERAL,metal_group,True,5438,0,0.0
auxA,GENERAL,metal_block_is_s,True,5438,0,0.0
auxA,GENERAL,metal_block_is_d,True,5438,0,0.0
auxA,GENERAL,metal_block_is_p,True,5438,0,0.0
auxA,GENERAL,metal_block_is_f,True,5438,0,0.0
auxA,GENERAL,metal_oxidation_state_is_missing,False,5438,0,0.0
auxA,GENERAL,metal_ionic_radius_is_missing,False,5438,0,0.0
auxA,GENERAL,metal_ionic_radius_is_assumed_trivalent,False,5438,0,0.0
auxA,GENERAL,metal_f_electron_count_is_missing,False,5438,0,0.0
auxA,GENERAL,metal_symbol_is_unknown,False,5438,0,0.0
auxA,GENERAL,<ALL informative missing>,False,5438,0,0.0
auxA,GENERAL,<ANY informative missing>,False,5438,1184,0.217727
auxA,NO_RADIUS,metal_atomic_number,True,5438,0,0.0
auxA,NO_RADIUS,metal_oxidation_state,True,5438,552,0.101508
auxA,NO_RADIUS,metal_effective_charge,True,5438,552,0.101508
auxA,NO_RADIUS,metal_is_oxo_species,True,5438,552,0.101508
auxA,NO_RADIUS,metal_f_electron_count,True,5438,363,0.066752
auxA,NO_RADIUS,metal_is_lanthanide,True,5438,0,0.0
auxA,NO_RADIUS,metal_is_actinide,True,5438,0,0.0
auxA,NO_RADIUS,metal_period,True,5438,0,0.0
auxA,NO_RADIUS,metal_group,True,5438,0,0.0
auxA,NO_RADIUS,metal_block_is_s,True,5438,0,0.0
auxA,NO_RADIUS,metal_block_is_d,True,5438,0,0.0
auxA,NO_RADIUS,metal_block_is_p,True,5438,0,0.0
auxA,NO_RADIUS,metal_block_is_f,True,5438,0,0.0
auxA,NO_RADIUS,metal_oxidation_state_is_missing,False,5438,0,0.0
auxA,NO_RADIUS,metal_f_electron_count_is_missing,False,5438,0,0.0
auxA,NO_RADIUS,metal_symbol_is_unknown,False,5438,0,0.0
auxA,NO_RADIUS,<ALL informative missing>,False,5438,0,0.0
auxA,NO_RADIUS,<ANY informative missing>,False,5438,552,0.101508
archive,FROZEN_3,Atomic Number_metal,True,16770,8718,0.519857
archive,FROZEN_3,lanthanide_index,True,16770,8718,0.519857
archive,FROZEN_3,Ionic Radius_metal,True,16770,8718,0.519857
archive,FROZEN_3,<ALL informative missing>,False,16770,8718,0.519857
archive,FROZEN_3,<ANY informative missing>,False,16770,8718,0.519857
archive,FROZEN_3_INDICATED,Atomic Number_metal,True,16770,8718,0.519857
archive,FROZEN_3_INDICATED,lanthanide_index,True,16770,8718,0.519857
archive,FROZEN_3_INDICATED,Ionic Radius_metal,True,16770,8718,0.519857
archive,FROZEN_3_INDICATED,metal_atomic_number_is_missing,False,16770,0,0.0
archive,FROZEN_3_INDICATED,metal_lanthanide_index_is_missing,False,16770,0,0.0
archive,FROZEN_3_INDICATED,metal_ionic_radius_is_missing,False,16770,0,0.0
archive,FROZEN_3_INDICATED,metal_not_in_frozen_dict,False,16770,0,0.0
archive,FROZEN_3_INDICATED,<ALL informative missing>,False,16770,8718,0.519857
archive,FROZEN_3_INDICATED,<ANY informative missing>,False,16770,8718,0.519857
archive,GENERAL,metal_atomic_number,True,16770,1918,0.114371
archive,GENERAL,metal_oxidation_state,True,16770,3286,0.195945
archive,GENERAL,metal_effective_charge,True,16770,3286,0.195945
archive,GENERAL,metal_is_oxo_species,True,16770,3286,0.195945
archive,GENERAL,metal_ionic_radius_cn8_A,True,16770,3306,0.197138
archive,GENERAL,metal_f_electron_count,True,16770,3094,0.184496
archive,GENERAL,metal_is_lanthanide,True,16770,1918,0.114371
archive,GENERAL,metal_is_actinide,True,16770,1918,0.114371
archive,GENERAL,metal_period,True,16770,1918,0.114371
archive,GENERAL,metal_group,True,16770,1918,0.114371
archive,GENERAL,metal_block_is_s,True,16770,1918,0.114371
archive,GENERAL,metal_block_is_d,True,16770,1918,0.114371
archive,GENERAL,metal_block_is_p,True,16770,1918,0.114371
archive,GENERAL,metal_block_is_f,True,16770,1918,0.114371
archive,GENERAL,metal_oxidation_state_is_missing,False,16770,0,0.0
archive,GENERAL,metal_ionic_radius_is_missing,False,16770,0,0.0
archive,GENERAL,metal_ionic_radius_is_assumed_trivalent,False,16770,0,0.0
archive,GENERAL,metal_f_electron_count_is_missing,False,16770,0,0.0
archive,GENERAL,metal_symbol_is_unknown,False,16770,0,0.0
archive,GENERAL,<ALL informative missing>,False,16770,1918,0.114371
