metal_symbol,archive_rows,frozen_atomic_number,archive_atomic_number_values,atomic_number_delta,frozen_lanthanide_index,archive_lanthanide_index_values,lanthanide_index_delta,frozen_ionic_radius,archive_ionic_radius_values,ionic_radius_delta,archive_ionic_radius_missing_rows,archive_lanthanide_index_missing_rows,archive_atomic_number_missing_rows,values_agree,coverage_agrees
La,538,57.0,57,0.0,1.0,1,0.0,1.16,1.16,0.0,86,0,0,True,False
Ce,416,58.0,58,0.0,2.0,2,0.0,1.143,1.143,0.0,21,0,0,True,False
Pr,481,59.0,59,0.0,3.0,3,0.0,1.126,1.126,0.0,21,0,0,True,False
Nd,796,60.0,60,0.0,4.0,4,0.0,1.109,1.109,0.0,253,0,0,True,False
Sm,472,62.0,62,0.0,6.0,6,0.0,1.079,1.079,0.0,40,0,0,True,False
Eu,2376,63.0,63,0.0,7.0,7,0.0,1.066,1.066,0.0,216,0,0,True,False
Gd,504,64.0,64,0.0,8.0,8,0.0,1.053,1.053,0.0,37,0,0,True,False
Tb,348,65.0,65,0.0,9.0,9,0.0,1.04,1.04,0.0,4,0,0,True,False
Dy,498,66.0,66,0.0,10.0,10,0.0,1.027,1.027,0.0,46,0,0,True,False
Ho,360,67.0,67,0.0,11.0,11,0.0,1.015,1.015,0.0,21,0,0,True,False
Er,402,68.0,68,0.0,12.0,12,0.0,1.004,1.004,0.0,25,0,0,True,False
Tm,207,69.0,69,0.0,13.0,13,0.0,0.994,0.994,0.0,4,0,0,True,False
Yb,320,70.0,70,0.0,14.0,14,0.0,0.985,0.985,0.0,14,0,0,True,False
Lu,334,71.0,71,0.0,15.0,15,0.0,0.977,0.977,0.0,12,0,0,True,False
