design,order,budget,macro_mae,flat,beats_flat
B,AOPT,6,0.6194516440714402,0.5885062528901843,False
B,AOPT,9,0.6047939584194246,0.5885062528901843,False
B,AOPT,12,0.570898418503917,0.5885062528901843,True
B,AOPT,16,0.5575896775151052,0.5885062528901843,True
B,AOPT,20,0.5195571206981904,0.5885062528901843,True
B,AOPT,24,0.5027682045752606,0.5885062528901843,True
B,MAXMIN,6,0.5868578786838133,0.5885062528901843,True
B,MAXMIN,9,0.5749072060610407,0.5885062528901843,True
B,MAXMIN,12,0.5799004085780897,0.5885062528901843,True
B,MAXMIN,16,0.5470072057479571,0.5885062528901843,True
B,MAXMIN,20,0.5282836541573189,0.5885062528901843,True
B,MAXMIN,24,0.5349977782368149,0.5885062528901843,True
B,RANDOM,6,0.601957290185547,0.5885062528901843,False
B,RANDOM,9,0.5746295648748072,0.5885062528901843,True
B,RANDOM,12,0.5523069405242735,0.5885062528901843,True
B,RANDOM,16,0.5332101809518148,0.5885062528901843,True
B,RANDOM,20,0.5271703452671636,0.5885062528901843,True
B,RANDOM,24,0.5143410718065713,0.5885062528901843,True
B,UNCERT,6,0.6359677973192687,0.5885062528901843,False
B,UNCERT,9,0.6420360649549396,0.5885062528901843,False
B,UNCERT,12,0.6138359967406067,0.5885062528901843,False
B,UNCERT,16,0.559820989070617,0.5885062528901843,True
B,UNCERT,20,0.5309265372892708,0.5885062528901843,True
B,UNCERT,24,0.5072786358036877,0.5885062528901843,True
BR,AOPT,6,0.5366607610339551,0.5885062528901843,True
BR,AOPT,9,0.544135801883569,0.5885062528901843,True
BR,AOPT,12,0.5157441309072102,0.5885062528901843,True
BR,AOPT,16,0.540741981465611,0.5885062528901843,True
BR,AOPT,20,0.5026383295816816,0.5885062528901843,True
BR,AOPT,24,0.4910193918581009,0.5885062528901843,True
BR,MAXMIN,6,0.5854366051464794,0.5885062528901843,True
BR,MAXMIN,9,0.5892509243116449,0.5885062528901843,False
BR,MAXMIN,12,0.5741267459420559,0.5885062528901843,True
BR,MAXMIN,16,0.5585070133360072,0.5885062528901843,True
