design,seed,fold,order,draw,k,cells_at_k,cell_share_at_k,overlap_top_k_by_cells,overlap_top_k_by_richcells
B,155921,3,MAXMIN,0,24,50.0,0.4716981132075472,0.6666666666666666,0.625
B,155921,3,RANDOM,0,6,19.0,0.1792452830188679,0.16666666666666666,0.16666666666666666
B,155921,3,RANDOM,0,9,23.0,0.2169811320754717,0.1111111111111111,0.1111111111111111
B,155921,3,RANDOM,0,12,30.0,0.2830188679245283,0.3333333333333333,0.3333333333333333
B,155921,3,RANDOM,0,16,45.0,0.42452830188679247,0.625,0.625
B,155921,3,RANDOM,0,20,65.0,0.6132075471698113,0.65,0.65
B,155921,3,RANDOM,0,24,81.0,0.7641509433962265,0.7083333333333334,0.6666666666666666
B,155921,3,UNCERT,0,6,30.0,0.2830188679245283,0.3333333333333333,0.3333333333333333
B,155921,3,UNCERT,0,9,37.0,0.3490566037735849,0.3333333333333333,0.5555555555555556
B,155921,3,UNCERT,0,12,44.0,0.41509433962264153,0.5,0.5
B,155921,3,UNCERT,0,16,59.0,0.5566037735849056,0.5625,0.5625
B,155921,3,UNCERT,0,20,66.0,0.6226415094339622,0.65,0.65
B,155921,3,UNCERT,0,24,73.0,0.6886792452830188,0.7083333333333334,0.7083333333333334
B,155921,4,AOPT,0,6,400.0,0.8048289738430584,0.3333333333333333,0.3333333333333333
B,155921,4,AOPT,0,9,407.0,0.8189134808853119,0.2222222222222222,0.4444444444444444
B,155921,4,AOPT,0,12,414.0,0.8329979879275654,0.4166666666666667,0.5
B,155921,4,AOPT,0,16,458.0,0.9215291750503019,0.75,0.75
B,155921,4,AOPT,0,20,475.0,0.9557344064386318,0.75,0.75
B,155921,4,AOPT,0,24,481.0,0.9678068410462777,0.7916666666666666,0.8333333333333334
B,155921,4,MAXMIN,0,6,6.0,0.012072434607645875,0.0,0.0
B,155921,4,MAXMIN,0,9,11.0,0.022132796780684104,0.0,0.0
B,155921,4,MAXMIN,0,12,17.0,0.03420523138832998,0.0,0.08333333333333333
B,155921,4,MAXMIN,0,16,33.0,0.06639839034205232,0.3125,0.375
B,155921,4,MAXMIN,0,20,56.0,0.11267605633802817,0.5,0.5
B,155921,4,MAXMIN,0,24,73.0,0.14688128772635814,0.625,0.6666666666666666
B,155921,4,RANDOM,0,6,29.0,0.05835010060362173,0.16666666666666666,0.16666666666666666
B,155921,4,RANDOM,0,9,35.0,0.07042253521126761,0.3333333333333333,0.4444444444444444
B,155921,4,RANDOM,0,12,39.0,0.07847082494969819,0.4166666666666667,0.5
B,155921,4,RANDOM,0,16,60.0,0.12072434607645875,0.5625,0.5
B,155921,4,RANDOM,0,20,64.0,0.12877263581488935,0.6,0.55
B,155921,4,RANDOM,0,24,446.0,0.89738430583501,0.7083333333333334,0.6666666666666666
B,155921,4,UNCERT,0,6,26.0,0.052313883299798795,0.16666666666666666,0.16666666666666666
B,155921,4,UNCERT,0,9,29.0,0.05835010060362173,0.1111111111111111,0.2222222222222222
