design,seed,fold,order,draw,k,cells_at_k,cell_share_at_k,overlap_top_k_by_cells,overlap_top_k_by_richcells
B,104729,3,UNCERT,0,9,419.0,0.8264299802761341,0.3333333333333333,0.3333333333333333
B,104729,3,UNCERT,0,12,434.0,0.8560157790927022,0.4166666666666667,0.4166666666666667
B,104729,3,UNCERT,0,16,459.0,0.9053254437869822,0.5625,0.5625
B,104729,3,UNCERT,0,20,480.0,0.9467455621301775,0.75,0.75
B,104729,3,UNCERT,0,24,485.0,0.9566074950690335,0.75,0.75
B,104729,4,AOPT,0,6,387.0,0.8045738045738046,0.16666666666666666,0.16666666666666666
B,104729,4,AOPT,0,9,390.0,0.8108108108108109,0.2222222222222222,0.2222222222222222
B,104729,4,AOPT,0,12,394.0,0.8191268191268192,0.25,0.3333333333333333
B,104729,4,AOPT,0,16,404.0,0.83991683991684,0.4375,0.5
B,104729,4,AOPT,0,20,440.0,0.9147609147609148,0.6,0.65
B,104729,4,AOPT,0,24,463.0,0.9625779625779626,0.75,0.7916666666666666
B,104729,4,MAXMIN,0,6,7.0,0.014553014553014554,0.0,0.0
B,104729,4,MAXMIN,0,9,11.0,0.02286902286902287,0.0,0.0
B,104729,4,MAXMIN,0,12,15.0,0.031185031185031187,0.0,0.08333333333333333
B,104729,4,MAXMIN,0,16,25.0,0.05197505197505198,0.375,0.4375
B,104729,4,MAXMIN,0,20,32.0,0.06652806652806653,0.45,0.45
B,104729,4,MAXMIN,0,24,61.0,0.12681912681912683,0.625,0.6666666666666666
B,104729,4,RANDOM,0,6,34.0,0.07068607068607069,0.3333333333333333,0.3333333333333333
B,104729,4,RANDOM,0,9,38.0,0.079002079002079,0.4444444444444444,0.3333333333333333
B,104729,4,RANDOM,0,12,51.0,0.10602910602910603,0.5,0.5833333333333334
B,104729,4,RANDOM,0,16,434.0,0.9022869022869023,0.625,0.625
B,104729,4,RANDOM,0,20,439.0,0.9126819126819127,0.65,0.65
B,104729,4,RANDOM,0,24,452.0,0.9397089397089398,0.7916666666666666,0.7916666666666666
B,104729,4,UNCERT,0,6,383.0,0.7962577962577962,0.16666666666666666,0.16666666666666666
B,104729,4,UNCERT,0,9,391.0,0.8128898128898129,0.2222222222222222,0.1111111111111111
B,104729,4,UNCERT,0,12,399.0,0.8295218295218295,0.3333333333333333,0.25
B,104729,4,UNCERT,0,16,424.0,0.8814968814968815,0.5625,0.5
B,104729,4,UNCERT,0,20,449.0,0.9334719334719335,0.7,0.65
B,104729,4,UNCERT,0,24,466.0,0.9688149688149689,0.7916666666666666,0.75
B,130363,0,AOPT,0,6,402.0,0.8056112224448898,0.3333333333333333,0.3333333333333333
B,130363,0,AOPT,0,9,409.0,0.8196392785571143,0.3333333333333333,0.4444444444444444
B,130363,0,AOPT,0,12,414.0,0.8296593186372746,0.5,0.5833333333333334
B,130363,0,AOPT,0,16,455.0,0.9118236472945892,0.6875,0.6875
B,130363,0,AOPT,0,20,478.0,0.9579158316633266,0.75,0.8
B,130363,0,AOPT,0,24,483.0,0.9679358717434869,0.75,0.7916666666666666
B,130363,0,MAXMIN,0,6,23.0,0.04609218436873747,0.16666666666666666,0.16666666666666666
B,130363,0,MAXMIN,0,9,27.0,0.05410821643286573,0.1111111111111111,0.1111111111111111
B,130363,0,MAXMIN,0,12,32.0,0.06412825651302605,0.16666666666666666,0.25
B,130363,0,MAXMIN,0,16,46.0,0.09218436873747494,0.3125,0.375
B,130363,0,MAXMIN,0,20,69.0,0.13827655310621242,0.45,0.5
B,130363,0,MAXMIN,0,24,79.0,0.15831663326653306,0.625,0.625
B,130363,0,RANDOM,0,6,36.0,0.07214428857715431,0.3333333333333333,0.3333333333333333
B,130363,0,RANDOM,0,9,39.0,0.0781563126252505,0.3333333333333333,0.3333333333333333
B,130363,0,RANDOM,0,12,71.0,0.14228456913827656,0.5,0.5
B,130363,0,RANDOM,0,16,86.0,0.17234468937875752,0.5625,0.5625
B,130363,0,RANDOM,0,20,93.0,0.18637274549098196,0.65,0.65
B,130363,0,RANDOM,0,24,101.0,0.20240480961923848,0.6666666666666666,0.625
B,130363,0,UNCERT,0,6,25.0,0.050100200400801605,0.16666666666666666,0.16666666666666666
B,130363,0,UNCERT,0,9,28.0,0.056112224448897796,0.1111111111111111,0.1111111111111111
B,130363,0,UNCERT,0,12,31.0,0.06212424849699399,0.16666666666666666,0.16666666666666666
B,130363,0,UNCERT,0,16,414.0,0.8296593186372746,0.375,0.375
B,130363,0,UNCERT,0,20,446.0,0.8937875751503006,0.6,0.6
B,130363,0,UNCERT,0,24,454.0,0.9098196392785571,0.75,0.75
B,130363,1,AOPT,0,6,388.0,0.841648590021692,0.3333333333333333,0.3333333333333333
B,130363,1,AOPT,0,9,391.0,0.8481561822125814,0.3333333333333333,0.2222222222222222
B,130363,1,AOPT,0,12,399.0,0.8655097613882863,0.5833333333333334,0.5833333333333334
B,130363,1,AOPT,0,16,433.0,0.9392624728850325,0.625,0.625
B,130363,1,AOPT,0,20,442.0,0.9587852494577006,0.65,0.65
B,130363,1,AOPT,0,24,448.0,0.9718004338394793,0.75,0.75
B,130363,1,MAXMIN,0,6,8.0,0.01735357917570499,0.0,0.0
B,130363,1,MAXMIN,0,9,13.0,0.028199566160520606,0.1111111111111111,0.1111111111111111
B,130363,1,MAXMIN,0,12,17.0,0.0368763557483731,0.25,0.25
B,130363,1,MAXMIN,0,16,22.0,0.04772234273318872,0.375,0.375
B,130363,1,MAXMIN,0,20,29.0,0.06290672451193059,0.5,0.55
B,130363,1,MAXMIN,0,24,38.0,0.0824295010845987,0.6666666666666666,0.625
B,130363,1,RANDOM,0,6,20.0,0.04338394793926247,0.16666666666666666,0.16666666666666666
B,130363,1,RANDOM,0,9,27.0,0.05856832971800434,0.4444444444444444,0.3333333333333333
B,130363,1,RANDOM,0,12,43.0,0.09327548806941431,0.5,0.5
B,130363,1,RANDOM,0,16,47.0,0.1019522776572668,0.5,0.5
B,130363,1,RANDOM,0,20,60.0,0.1301518438177874,0.55,0.5
B,130363,1,RANDOM,0,24,68.0,0.1475054229934924,0.6666666666666666,0.625
B,130363,1,UNCERT,0,6,383.0,0.8308026030368764,0.16666666666666666,0.16666666666666666
B,130363,1,UNCERT,0,9,387.0,0.8394793926247288,0.2222222222222222,0.2222222222222222
B,130363,1,UNCERT,0,12,391.0,0.8481561822125814,0.4166666666666667,0.4166666666666667
B,130363,1,UNCERT,0,16,416.0,0.9023861171366594,0.5,0.5
B,130363,1,UNCERT,0,20,432.0,0.9370932754880694,0.55,0.55
B,130363,1,UNCERT,0,24,443.0,0.9609544468546638,0.7083333333333334,0.7083333333333334
B,130363,2,AOPT,0,6,403.0,0.8207739307535642,0.3333333333333333,0.3333333333333333
B,130363,2,AOPT,0,9,408.0,0.8309572301425662,0.2222222222222222,0.4444444444444444
B,130363,2,AOPT,0,12,416.0,0.8472505091649695,0.5,0.5833333333333334
B,130363,2,AOPT,0,16,429.0,0.8737270875763747,0.625,0.625
B,130363,2,AOPT,0,20,450.0,0.9164969450101833,0.65,0.7
B,130363,2,AOPT,0,24,474.0,0.9653767820773931,0.7916666666666666,0.7916666666666666
B,130363,2,MAXMIN,0,6,9.0,0.018329938900203666,0.0,0.0
B,130363,2,MAXMIN,0,9,13.0,0.026476578411405296,0.1111111111111111,0.1111111111111111
B,130363,2,MAXMIN,0,12,17.0,0.034623217922606926,0.08333333333333333,0.08333333333333333
B,130363,2,MAXMIN,0,16,26.0,0.05295315682281059,0.3125,0.375
B,130363,2,MAXMIN,0,20,55.0,0.1120162932790224,0.5,0.55
B,130363,2,MAXMIN,0,24,83.0,0.1690427698574338,0.7083333333333334,0.6666666666666666
B,130363,2,RANDOM,0,6,12.0,0.024439918533604887,0.0,0.0
B,130363,2,RANDOM,0,9,19.0,0.038696537678207736,0.1111111111111111,0.1111111111111111
