design,budgets,n_budgets,point,ci_low,ci_high,p,seeds_positive,loco_stable,passes_P1,block_macro
B,6..24 (registered),6,-0.011907271695526769,-0.0552383170471835,0.036743510466329565,0.7826,2,False,False,0.019057102309605205
B,9..24,5,-0.010789855257453492,-0.0508554683316473,0.036807275527471345,0.7994,3,False,False,0.018531554123393242
B,12..24,4,-0.005946220685662517,-0.0408027109396366,0.037679095483190664,0.897,3,False,False,0.018885649860462955
B,16..24,3,-0.0017311349210022032,-0.027844066884040255,0.032979302227243705,0.97,3,False,False,0.01692777160191089
B,20..24,2,0.009593045900141902,-0.0019303796381622868,0.027077204569475776,0.1152,4,True,False,0.012375295663481051
BR,6..24 (registered),6,0.023452157942270364,0.013549740146217343,0.03593229161597854,0.0,5,True,True,0.023764682250427546
BR,9..24,5,0.015149177238609349,0.0017902553744990576,0.033872804580718126,0.0192,4,True,False,0.02167563973156929
BR,12..24,4,0.011451474471453664,0.0006061175776873136,0.028049393322926764,0.0366,4,True,False,0.017810257011626317
BR,16..24,3,0.00400511640217651,-0.011415082486071745,0.02504430024289208,0.6026,4,True,False,0.013981772767979956
BR,20..24,2,0.011007777601687679,0.001941786261770458,0.023028611824868442,0.012,5,True,False,0.012535508444686237
BQ,6..24 (registered),6,-0.003371720120869313,-0.03746935313597817,0.03554521017321915,0.9738,3,False,False,0.018487969687607766
BQ,9..24,5,-0.007071301596577943,-0.0445725928423194,0.03629793672203583,0.8534,2,False,False,0.019130344878476573
BQ,12..24,4,-0.012890780204888581,-0.05726870615464879,0.03810586107990352,0.7714,2,False,False,0.01929828424997937
BQ,16..24,3,-0.007702190357422667,-0.0423898876602256,0.03335719359705895,0.8186,1,False,False,0.016725946759081907
BQ,20..24,2,-0.004361442083256362,-0.02586902483725694,0.023951865776899554,0.8772,3,False,False,0.009606975415259206
A,6..24 (registered),6,0.03674649425775374,0.020355966225097003,0.050365596569392726,0.0,5,True,True,0.0351510448235346
A,9..24,5,0.03137879950386031,0.017400088595515187,0.04881628549394115,0.0,5,True,True,0.03377803364072326
A,12..24,4,0.02518739446874687,0.01070509615421418,0.04607003393893753,0.0004,5,True,True,0.02991515417410121
A,16..24,3,0.020827992890710717,0.0072809622849615875,0.040911664197562286,0.0012,5,True,True,0.026760610567638145
A,20..24,2,0.018836804949328077,0.006411370276257543,0.037067738347131736,0.001,4,True,False,0.025241729452502415
BP,6..24 (registered),6,0.05006531841752166,0.027153594953636187,0.06622523398987341,0.0,5,True,True,0.03932145106448544
BP,9..24,5,0.04876066908738063,0.025801813801683133,0.06484452007675376,0.0,5,True,True,0.03652276839688804
BP,12..24,4,0.03965496456776205,0.02291664581276766,0.05059922178351888,0.0,5,True,True,0.031300261362676614
BP,16..24,3,0.029835877447950666,0.01805687103924397,0.03983972618505963,0.0,5,True,True,0.025978951193428895
BP,20..24,2,0.014662494834631697,0.006752027884227773,0.02580865500916447,0.0012,5,True,False,0.015465842112036814
