band,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
far,P1_M_SELECTED_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,M_SELECTED,0.07262258347390581,-0.01648783811620425,0.14877521500451893,-0.01672558991237115,0.14813527350872324,0.103,0.04268644995207862,0.11952205986582012,0.0606477808711441,19,16,5,5,0.047264177962175115,0.09477890155731661,True,0.02,False,False
mid,P1_M_SELECTED_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,M_SELECTED,-0.020163378283225473,-0.10706278623641771,0.03758126896948469,-0.09768817096867231,0.042221741150395536,0.522,0.03630670108098631,0.10165876302676166,-0.057149071053352,30,12,3,5,-0.04015430066752686,-0.004450994190610267,True,0.02,False,False
near,P1_M_SELECTED_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,M_SELECTED,0.00891516902180743,-0.05058593091020381,0.06303102490691717,-0.07566667151575006,0.05085369347653357,0.676,0.028270166087901054,0.07915646504612295,0.01878628419828196,55,32,3,5,0.0007902781470105939,0.033515794705372796,True,0.02,False,False
