comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds,n_paired_ligands
acid_position: low minus mid,0.24354633720324603,0.17494025289389095,0.32177769428595393,0.17519106257627529,0.32275890321533923,0.28121027194021203,72,53,5,5,72
acid_position: high minus mid,0.05700100684681092,-0.0019411036682991632,0.10607115479148348,0.00564604896497996,0.11326236457018997,0.04837256840423855,76,47,5,5,76
extractant_position: low minus mid,0.08290619431472616,-0.00734258041398051,0.14410375315764876,-0.002076519900132588,0.15154488778392644,0.07178122802317016,26,17,5,5,26
extractant_position: high minus mid,0.11101984479127713,0.015593031211520683,0.2807561270054741,0.035244357226081026,0.3590733246934731,0.15703009078428545,29,21,5,5,29
metal_position: extreme minus central,0.0949133207096647,0.05714365063506656,0.13359093369198233,0.05978002119303677,0.13753490381341926,0.110802273139219,85,68,5,5,85
prediction_position: low minus mid,0.14283876072283497,0.08252453392406711,0.18655990670471653,0.09572032465039156,0.19731914591027377,0.12078861431459738,143,107,5,5,143
prediction_position: high minus mid,0.039597413056826826,0.008136582650213591,0.0744657398601151,0.009038175972166817,0.0749242422331665,0.04896296382911317,142,85,5,5,142
