primary_axis,one_shot_mae,n_ligands,n_candidate_rows
metal_series,0.6008612166554943,86,13395
contact_time,0.7139403823314208,8,255
acid,0.9571425426146014,69,7750
metal_concentration,1.026400576431187,4,425
none,1.1184831760315954,31,560
extractant,1.1509500773245647,25,3510
temperature,1.2515302125573367,5,210
