extractant_position,one_shot_mae,n_ligands,n_candidate_rows
single,0.5674451328372906,102,6630
mid,1.010491088827166,34,8305
low,1.1231244334921007,33,4820
high,1.1673950466746892,36,6345
missing,3.0949843569639546,1,5
