acid_position,one_shot_mae,n_ligands,n_candidate_rows
single,0.455337477186051,61,4175
mid,0.8323724111680894,77,7370
high,0.8725807406567779,81,7395
low,1.0458392831145735,77,7150
missing,2.1933708225045603,2,15
