calibration_axis,target_axis,mae,zero_shot,n_ligands,gain
acid,acid,0.9210746657069889,1.1109206885865934,69,0.1898460228796045
acid,contact_time,0.9352266839342489,1.6268445174150317,7,0.6916178334807828
acid,extractant,1.2378479486865017,1.209563718088807,24,-0.028284230597694693
acid,metal_concentration,1.2108081285125676,0.6117377600797184,3,-0.5990703684328492
acid,metal_series,1.1126211199048006,0.9511431501397275,18,-0.16147796976507311
acid,none,1.101109145008382,0.9393081976179745,21,-0.16180094739040762
acid,temperature,0.9885498969289218,0.9485624246304716,4,-0.03998747229845023
contact_time,acid,0.9352266839342489,1.3500984126901092,7,0.4148717287558603
contact_time,contact_time,0.09469857350404219,1.8642391854433153,8,1.7695406119392731
contact_time,extractant,1.247564643482487,1.8538757344192038,5,0.6063110909367169
contact_time,metal_concentration,2.226300842207727,0.6203699730961065,1,-1.6059308691116203
contact_time,metal_series,2.179233820226088,1.0110969981697888,1,-1.168136822056299
contact_time,none,0.7195821596757676,2.0348263973272895,3,1.3152442376515219
contact_time,temperature,0.8055612758697315,1.806527403943568,1,1.0009661280738364
extractant,acid,1.2378479486865017,1.1721958963975514,24,-0.06565205228895032
extractant,contact_time,1.247564643482487,2.052624543336297,5,0.8050598998538101
extractant,extractant,0.9719830568498868,1.2144978292650126,25,0.24251477241512576
extractant,metal_concentration,1.2322558017054974,0.6117377600797184,3,-0.6205180416257791
extractant,metal_series,1.148060236983496,0.9679367536639731,11,-0.18012348331952288
extractant,none,1.3453989202959213,1.0097232937223795,18,-0.3356756265735419
extractant,temperature,1.1173959224056174,0.8349964414848874,5,-0.28239948092073
metal_concentration,acid,1.2108081285125676,1.0435645231896251,3,-0.16724360532294247
metal_concentration,contact_time,2.226300842207727,2.5155983383871092,1,0.2892974961793824
metal_concentration,extractant,1.2322558017054972,1.275522305951622,3,0.04326650424612488
metal_concentration,metal_concentration,0.6342820674689215,0.5889640365529809,4,-0.045318030915940555
metal_concentration,metal_series,1.016681909594868,0.719747351604246,3,-0.29693455799062207
metal_concentration,none,1.3424129809169654,1.30973278614029,4,-0.032680194776675275
metal_concentration,temperature,1.605495401104546,1.806527403943568,1,0.201032002839022
metal_series,acid,1.1126211199048006,1.0770653160772872,18,-0.035555803827513444
metal_series,contact_time,2.1792338202260875,2.5155983383871092,1,0.33636451816102175
metal_series,extractant,1.148060236983496,1.1638400278141976,11,0.01577979083070158
metal_series,metal_concentration,1.016681909594868,0.6117377600797184,3,-0.4049441495151497
metal_series,metal_series,0.5547044869275614,0.8868151033273525,85,0.3321106163997911
metal_series,none,1.4335834420206612,1.3453236161842725,14,-0.0882598258363887
metal_series,temperature,1.357116956385846,0.8349964414848874,5,-0.5221205149009587
none,acid,1.101109145008382,1.123187802147967,21,0.022078657139585012
none,contact_time,0.7195821596757676,2.5424851141098372,3,1.8229029544340696
none,extractant,1.3453989202959213,1.1300643403146151,18,-0.21533457998130623
none,metal_concentration,1.3424129809169654,0.5889640365529809,4,-0.7534489443639845
none,metal_series,1.4335834420206612,0.8439245877040392,14,-0.589658854316622
none,none,1.0224265183359054,0.9045625253336139,14,-0.11786399300229145
none,temperature,1.2078568236139686,0.8910339618615085,4,-0.3168228617524601
temperature,acid,0.9885498969289218,0.788411190721504,4,-0.2001387062074178
temperature,contact_time,0.8055612758697315,2.5155983383871092,1,1.7100370625173777
temperature,extractant,1.1173959224056174,0.9793094625461525,5,-0.13808645985946488
temperature,metal_concentration,1.605495401104546,0.6203699730961065,1,-0.9851254280084394
temperature,metal_series,1.357116956385846,1.133773072625567,5,-0.22334388376027903
temperature,none,1.2078568236139686,1.2295183630975592,4,0.02166153948359062
temperature,temperature,0.8103445939509377,0.8349964414848874,5,0.024651847533949667
