model,set,target,held_out_chemotype,rho
NAIVE,S8,a,sc000,-0.09314799425851779
NAIVE,S8,a,sc001,-0.09314799425851779
NAIVE,S8,a,sc007,-0.1119513484928609
NAIVE,S8,a,sc008,-0.07049180327868851
NAIVE,S8,a,sc009,-0.2752944729688916
NAIVE,S8,a,sc010,-0.09317821258593337
NAIVE,S8,a,sc012,-0.09561078794288734
NAIVE,S8,a,sc015,-0.09825489159175038
NAIVE,S8,a,sc017,-0.09314799425851779
NAIVE,S8,a,sc018,-0.09314799425851779
NAIVE,S8,a,sc019,-0.1040190375462718
NAIVE,S8,a,sc020,-0.09314799425851779
NAIVE,S8,a,sc021,-0.06176626123744049
NAIVE,S8,a,sc027,-0.09063568010936433
NAIVE,S8,a,sc028,-0.15782161711586556
NAIVE,S8,a,sc029,-0.07843366452367038
NAIVE,S8,a,sc030,-0.12686409307244842
NAIVE,S8,a,sc031,-0.02395109752709086
NAIVE,S8,a,sc033,-0.11374933897408777
NAIVE,S8,a,sc036,-0.034565156988052244
NAIVE,S8,a,sc055,-0.09264939185616075
NAIVE,S8,a,sc057,-0.0921734531993654
NAIVE,S8,a,sc058,-0.09314799425851779
NAIVE,S8,a,sc059,-0.1013220518244315
NAIVE,S8,a,sc060,-0.10909571655208883
NAIVE,S8,a,sc061,-0.10319533203667687
NAIVE,S8,a,sc068,-0.034790365744870655
NAIVE,S8,a,sc069,-0.08852459016393444
NAIVE,S8,a,sc070,-0.09314799425851779
NAIVE,S8,a,sc071,-0.0946060285563194
NAIVE,S8,a,sc075,-0.08492860920148068
NAIVE,S8,a,sc076,-0.09317821258593337
NAIVE,S8,a,sc077,-0.09037546271813854
NAIVE,S8,a,sc078,-0.09116869381279745
NAIVE,S8,a,sc083,-0.071602326811211
NAIVE,S8,a,sc084,-0.09314799425851779
NAIVE,S8,a,sc085,-0.09314799425851779
NAIVE,S8,a,sc086,-0.06641988365943945
NAIVE,S8,a,sc096,-0.09314799425851779
NAIVE,S8,a,sc097,-0.09314799425851779
NAIVE,S8,abs_a,sc000,-0.059102012036967085
NAIVE,S8,abs_a,sc001,-0.059102012036967085
NAIVE,S8,abs_a,sc007,-0.045267054468535156
NAIVE,S8,abs_a,sc008,-0.08090957165520887
NAIVE,S8,abs_a,sc009,0.06312292358803986
NAIVE,S8,abs_a,sc010,-0.058646218931782124
NAIVE,S8,abs_a,sc012,-0.058646218931782124
NAIVE,S8,abs_a,sc015,-0.05795875198307772
NAIVE,S8,abs_a,sc017,-0.059102012036967085
NAIVE,S8,abs_a,sc018,-0.059102012036967085
NAIVE,S8,abs_a,sc019,-0.052406134320465356
NAIVE,S8,abs_a,sc020,-0.059102012036967085
NAIVE,S8,abs_a,sc021,-0.09804336329984134
NAIVE,S8,abs_a,sc027,0.01715652768284347
NAIVE,S8,abs_a,sc028,-0.0639066407335371
NAIVE,S8,abs_a,sc029,-0.06534190531852718
NAIVE,S8,abs_a,sc030,-0.06356425171866736
NAIVE,S8,abs_a,sc031,-0.0737427063073076
NAIVE,S8,abs_a,sc033,-0.04362771020624008
NAIVE,S8,abs_a,sc036,-0.11492081133648238
NAIVE,S8,abs_a,sc055,-0.05928080380750925
NAIVE,S8,abs_a,sc057,-0.0641988365943945
NAIVE,S8,abs_a,sc058,-0.059102012036967085
NAIVE,S8,abs_a,sc059,-0.05827604442094129
NAIVE,S8,abs_a,sc060,-0.06636700158646218
NAIVE,S8,abs_a,sc061,-0.05823839955543207
NAIVE,S8,abs_a,sc068,-0.05281614322187703
NAIVE,S8,abs_a,sc069,-0.07090858571825509
NAIVE,S8,abs_a,sc070,-0.059102012036967085
NAIVE,S8,abs_a,sc071,-0.04167107350608143
NAIVE,S8,abs_a,sc075,-0.0683765203595981
NAIVE,S8,abs_a,sc076,-0.03897408778424114
NAIVE,S8,abs_a,sc077,-0.05526176626123744
NAIVE,S8,abs_a,sc078,-0.045531464833421464
NAIVE,S8,abs_a,sc083,-0.1007932310946589
NAIVE,S8,abs_a,sc084,-0.059102012036967085
NAIVE,S8,abs_a,sc085,-0.059102012036967085
NAIVE,S8,abs_a,sc086,-0.08762559492332099
NAIVE,S8,abs_a,sc096,-0.059102012036967085
NAIVE,S8,abs_a,sc097,-0.059102012036967085
NAIVE,S8,b,sc000,-0.18657298985167836
NAIVE,S8,b,sc001,-0.18657298985167836
NAIVE,S8,b,sc007,-0.1991538868323638
NAIVE,S8,b,sc008,-0.1994182971972501
NAIVE,S8,b,sc009,-0.3038356991845364
NAIVE,S8,b,sc010,-0.1879957694341618
NAIVE,S8,b,sc012,-0.1873083024854574
NAIVE,S8,b,sc015,-0.19476467477525114
NAIVE,S8,b,sc017,-0.18657298985167836
NAIVE,S8,b,sc018,-0.18657298985167836
NAIVE,S8,b,sc019,-0.18783712321523
NAIVE,S8,b,sc020,-0.18657298985167836
NAIVE,S8,b,sc021,-0.18503437334743517
NAIVE,S8,b,sc027,-0.10423786739576214
NAIVE,S8,b,sc028,-0.16171158655182
NAIVE,S8,b,sc029,-0.19275277615429576
NAIVE,S8,b,sc030,-0.17382337387625593
NAIVE,S8,b,sc031,-0.1370380661294804
NAIVE,S8,b,sc033,-0.1994182971972501
NAIVE,S8,b,sc036,-0.12358988607946655
NAIVE,S8,b,sc055,-0.19518773135906925
NAIVE,S8,b,sc057,-0.19180327868852454
NAIVE,S8,b,sc058,-0.18657298985167836
NAIVE,S8,b,sc059,-0.18662083553675302
NAIVE,S8,b,sc060,-0.20650449497620305
NAIVE,S8,b,sc061,-0.19138649624895807
NAIVE,S8,b,sc068,-0.1786274570119044
NAIVE,S8,b,sc069,-0.17938316198944154
NAIVE,S8,b,sc070,-0.18657298985167836
NAIVE,S8,b,sc071,-0.18693812797461656
NAIVE,S8,b,sc075,-0.18239026969857217
NAIVE,S8,b,sc076,-0.2131676361713379
NAIVE,S8,b,sc077,-0.24140666314119508
NAIVE,S8,b,sc078,-0.1940243257535695
NAIVE,S8,b,sc083,-0.16129032258064516
NAIVE,S8,b,sc084,-0.18657298985167836
NAIVE,S8,b,sc085,-0.18657298985167836
NAIVE,S8,b,sc086,-0.1607615018508725
NAIVE,S8,b,sc096,-0.18657298985167836
NAIVE,S8,b,sc097,-0.18657298985167836
NAIVE,S14,a,sc000,-0.04149797570850203
NAIVE,S14,a,sc001,-0.04149797570850203
NAIVE,S14,a,sc007,-0.0723273881168618
NAIVE,S14,a,sc008,-0.04149797570850203
NAIVE,S14,a,sc009,-0.2530769230769231
NAIVE,S14,a,sc010,-0.04149797570850203
NAIVE,S14,a,sc012,-0.04149797570850203
NAIVE,S14,a,sc015,-0.04149797570850203
NAIVE,S14,a,sc017,-0.04149797570850203
NAIVE,S14,a,sc018,-0.04149797570850203
NAIVE,S14,a,sc019,-0.04956778640989167
NAIVE,S14,a,sc020,-0.04149797570850203
NAIVE,S14,a,sc021,0.032498085129664074
