model,set,target,value,rho,p,n,loco_min,loco_max,loco_sign_stable,n_loco,partial_rho_n_metals,ci95_low,ci95_high,n_boot,ci_excludes_zero,rho_chemotype_means,n_chemotypes,clears_familywise_bar
NAIVE,S8,a,quad,0.15000881367882954,0.24453282797364354,62,0.08602389552653517,0.2789187556629417,True,40,0.1593127327886568,-0.14079284197506237,0.49966340675991866,2000,False,0.12019704433497534,29,False
NAIVE,S8,abs_a,quad,0.08755760368663594,0.4985962749249342,62,0.004989747095010253,0.13926090580716868,True,40,0.0653540792751904,-0.19032891213491432,0.32622103902898214,2000,False,0.00689655172413793,29,False
NAIVE,S8,b,quad,0.13505074160811867,0.29530562049594444,62,0.062337662337662345,0.22138326789489582,True,40,0.17072821929215876,-0.14941694833861452,0.4182659243243847,2000,False,-0.004926108374384235,29,False
NAIVE,S14,a,quad,0.1048582995951417,0.5252396483683945,39,0.0398970398970399,0.18461538461538463,True,40,0.10730753939408576,-0.19668016764262947,0.48597434585821314,1895,False,0.01547987616099071,18,False
NAIVE,S14,abs_a,quad,0.07530364372469636,0.6486643462805395,39,-0.03865546218487395,0.16846153846153847,False,40,0.05613821329002105,-0.25621581475005867,0.47573054798960807,1895,False,0.052631578947368425,18,False
NAIVE,S14,b,quad,0.12489878542510123,0.44869698686329523,39,-0.013445378151260503,0.26076923076923075,False,40,0.16514139234964365,-0.23194541135796196,0.5241622613655366,1895,False,0.1475748194014448,18,False
NAIVE,S3,a,quad,0.2965676728334956,0.007956100951137362,79,0.2568147641831852,0.3523318786476681,True,40,0.28333787138435695,0.06415347296943147,0.5176146332038484,2000,True,0.2721304300251669,38,False
NAIVE,S3,abs_a,quad,-0.16531158714703018,0.14540930798448132,79,-0.21609280513390106,-0.13041695146958304,True,40,-0.13075403970504992,-0.34442354188882307,0.038384901484824964,2000,False,-0.19947477842214684,38,False
NAIVE,S3,b,quad,0.07979552093476143,0.484521237229349,79,0.022522522522522525,0.18120300751879698,True,40,0.057695653768864534,-0.18461018358182177,0.35654949868121955,2000,False,0.005799321588795273,38,False
ELEM,S8,a,quad,0.04983505829618998,0.7004930125504057,62,0.013170325090302864,0.11869963878855241,True,40,0.07167700120033166,-0.2553460224669521,0.33000292464606096,2000,False,-0.01379310344827586,29,False
