target,family_size,n_chemotype_units,perm_reps,null_p95_max_abs_rho,null_p50_max_abs_rho,observed_max_abs_rho,observed_argmax,familywise_p
a,12,40,2000,0.6087912087912088,0.37254901960784315,0.21478260869565213,slope__SPECIES_CONST__S3,0.941
abs_a,12,40,2000,0.6160990712074303,0.3766769865841073,0.4984520123839009,slope__ELEM__S14,0.178
b,12,40,2000,0.6020576796961977,0.3663570691434469,0.4359605911330048,slope__ELEM__S8,0.2975
