term,coef,se,model
series::CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC||water,4.46389655825312,1.008754900625346,NAIVE
series::CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC||water,5.109863387730341,0.6865730041844585,NAIVE
series::CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C||water,4.1186642179306165,0.686573004184458,NAIVE
series::CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1||nitrate,3.732196830847613,1.2181281145996057,NAIVE
series::CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC||water,3.17065385531944,2.386294685809292,NAIVE
series::CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC||water,1.9634806010167187,2.3862946858092893,NAIVE
series::CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC||water,3.256279377360003,2.3862946858092955,NAIVE
series::CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC||water,3.9757669017021806,2.386294685809291,NAIVE
series::CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC||water,3.8974959772002444,0.7079911828325591,NAIVE
series::CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O||nitrate,1.1557917670197702,0.6865730041844581,NAIVE
series::CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||nitrate,3.7868009179450315,2.3847524471538386,NAIVE
series::CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||nitrate,1.3004885141630491,1.0980726121608944,NAIVE
series::CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||nitrate,8.276099793208193,0.7080662737527815,NAIVE
series::CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||water,6.53754550398237,0.6865730041844584,NAIVE
series::CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1||nitrate,-7.678431353052997,2.3843935492867385,NAIVE
series::CCCCCCCCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1||nitrate,6.966744617577245,2.384393549286731,NAIVE
series::CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate,2.5423621055990684,0.8289593359935298,NAIVE
series::CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC||nitrate,1.3737017896412111,0.6865730041844582,NAIVE
series::CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC||water,4.939127773095693,1.008669270647809,NAIVE
series::CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate,1.1411050133504843,0.9398587033167651,NAIVE
series::CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate,1.9894082897206178,0.6865730041844588,NAIVE
series::CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate,0.9443997049734794,0.7599641369656374,NAIVE
series::CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1||nitrate,0.4445668796646367,0.6865730041844584,NAIVE
series::CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC||nitrate,4.989954800769711,0.9399713960067942,NAIVE
series::CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC||nitrate,-0.2300089499426896,0.7324627707451528,NAIVE
series::CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC||nitrate,2.0645688965181623,0.8398690450346645,NAIVE
series::CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||nitrate,0.250374912020026,0.7079818049132336,NAIVE
series::CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water,4.474255413558195,0.6865730041844585,NAIVE
series::CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1||nitrate,2.0289805468474142,2.3843935492867416,NAIVE
series::CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water,4.6327017800031385,0.6865730041844584,NAIVE
