extractant,a,b,abs_a,n_metals,n_cells,chemotype,slope__NAIVE__S8,slope__NAIVE__S14,slope__NAIVE__S3,slope__ELEM__S8,slope__ELEM__S14,slope__ELEM__S3,slope__SPECIES__S8,slope__SPECIES__S14,slope__SPECIES__S3,slope__SPECIES_CONST__S8,slope__SPECIES_CONST__S14,slope__SPECIES_CONST__S3,slope__SPECIES_NFILLCOL__S8,slope__SPECIES_NFILLCOL__S14,slope__SPECIES_NFILLCOL__S3
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0.07601097493086181,0.08206296817636363,0.07601097493086181,5.0,1,sc000,,,921.9134125305252,,,0.3302223697908432,,,0.2413027875129135,,,0.2848820228683391,,,1.9943133333889698
C1COCCOCCOCCOCCOCCO1,0.05620718295732292,0.12910069076729588,0.05620718295732292,5.0,1,sc001,,,946.1696302459702,,,0.04662335364694029,,,-0.0494515542287661,,,0.01737663084364592,,,1.7696306305064604
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,-0.39938883955557464,-0.1699606779354635,0.39938883955557464,14.0,1,sc007,-480.3619543674249,-480.3619543674249,-480.3619543674249,-1.2374453223947928,-1.2374453223947928,-1.2374453223947928,-0.01846426838357758,-0.01846426838357758,-0.01846426838357758,,,,-0.09320537680494084,-0.09320537680494084,-0.09320537680494084
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.049124075720208875,-0.15507499511061024,0.049124075720208875,6.0,1,sc008,,,-380.1439062609713,,,-1.5894078535711684,,,-1.4622422737746246,,,-1.789150443033018,,,-2.1903911442755053
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,-0.2693053833143338,-0.05096963941908241,0.2693053833143338,8.0,1,sc010,-11.57344252213735,,-11.57344252213735,2.2210319655571964,,2.2210319655571964,-0.017517420857748975,,-0.017517420857748975,,,,-0.17469087846241832,,-0.17469087846241832
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,-0.16376265295219228,-0.30430381692878367,0.16376265295219228,14.0,1,sc012,931.3323257726748,,931.3323257726748,-1.537020809387992,,-1.537020809387992,0.17548285431443744,,0.17548285431443744,0.20359433611761066,,0.20359433611761066,-3.038351213064718,,-3.038351213064718
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,-1.1208407620802023,-0.3852941095623312,1.1208407620802023,14.0,1,sc015,807.7982185496933,,807.7982185496933,-1.6303997518911602,,-1.6303997518911602,-0.20464442954588657,,-0.20464442954588657,-0.2723084884236534,,-0.2723084884236534,-2.9697549394079643,,-2.9697549394079643
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,-0.4482833055526018,-0.2596426328844968,0.4482833055526018,14.0,1,sc009,-156.01357956361812,-156.01357956361812,-156.01357956361812,-0.5770921314786099,-0.5770921314786099,-0.5770921314786099,0.04113568894677519,0.04113568894677519,0.04113568894677519,,,,-0.033605419474333376,-0.033605419474333376,-0.033605419474333376
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.2600410324986765,-0.03929510873838907,0.2600410324986765,11.0,4,sc009,-723.4999308243146,-723.4999308243146,-723.4999308243146,-1.6094055696160547,-1.6094055696160547,-1.6094055696160547,0.13491217150390614,0.13491217150390614,0.13491217150390614,,,,0.06017106307946493,0.06017106307946493,0.06017106307946493
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.03929164417066978,-0.11854091718079607,0.03929164417066978,6.0,1,sc017,,,-75.63774148236948,,,0.008026334285609922,,,0.018474158792937782,,,-0.2930928842875047,,,-0.033910920632148234
