extractant,n_metals,slope_full,slope_odd,slope_even,jk_se
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,14,1.3659747334472259,1.575634827313445,1.100197323470371,0.31880297496709314
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,8,4.623486414386645,4.474160217363306,4.793229023108879,0.9589540463429007
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,13,2.0056076428195593,1.7832090579241697,2.1502143422197344,0.12240605719852783
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,13,1.7255089837998057,1.5099450716100353,1.8698993020265975,0.17835066190867752
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,14,1.3577257765472033,1.6359345576878621,1.0168229267216118,0.2114816651491811
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,23,2.593146383085684,2.6508571636340736,2.560096709867157,0.692090980020232
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6,0.9430177940300852,0.4080932984969956,1.7302849530072701,0.7669436502364622
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,14,1.2303004593076219,1.5489178224803555,0.9526164952224593,0.39517825120142686
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,14,1.9396130709390895,2.5506053491148135,1.18094471754023,0.8939731170645608
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,13,1.369178225824804,1.2614443170281273,1.4425826414430203,0.28138231737022873
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,14,4.888105375309776,4.422180817258989,5.40152802319055,0.4406872559013341
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,27,1.472283207591022,0.5357738392372559,2.4068952337595713,0.627155221491705
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,9,4.080900204355992,5.053443514349022,3.5585152704229523,1.5330360723638323
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,20,3.2756043861887756,3.3632243950343215,3.386694078175856,0.9300205616906224
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,7,5.898941397338033,7.228030466617266,5.518065059497634,0.9272897113509971
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,14,4.723876381888734,4.6067743263875665,4.663808481751586,0.6003232200709021
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,11,5.0262292681341,5.101538226197784,4.947391092169964,0.4873269595415449
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,14,4.476072283707945,4.481104601300783,4.353911191287956,0.29525280406417626
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,7,2.873410316026898,7.0141765005785315,1.4880894741854147,1.5651452016269565
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,12,5.034110404270454,5.012231894219524,4.999675832860056,0.34769217876034575
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,9,1.7515501354966128,1.3818099913557396,1.8747910384985942,0.4514985293530923
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,27,2.7476224191744127,2.164581977752203,3.1848313610479657,0.6144469960473733
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,1.3257020289138293,1.4340554003165966,1.228400317435439,0.18995952699166313
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,8,4.991487244187002,4.288761167411938,5.924350878222906,1.3260252204276928
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,8,4.885327887445012,4.214471249827075,5.794245475887642,1.2048624805054808
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,14,1.1297393574813221,1.1656886650586216,1.0873114536507187,0.3246314721242799
