design,model,n_strong_extractants,macro_accuracy_strong,macro_accuracy_weak
B,ALWAYS_HEAVY,43,0.7805094130675525,0.3138306138306138
B,LOGIT_TOPO39,43,0.9200442967884827,0.7517793317793319
B,LOGIT_STERIC7,43,0.28925802879291246,0.6041181041181042
B,LOGIT_TOPO_STERIC,43,0.8363233665559245,0.724926184926185
B,ET_TOPO_STERIC,43,0.8223698781838314,0.6683605283605284
BR,ALWAYS_HEAVY,43,0.7805094130675525,0.3138306138306138
BR,LOGIT_TOPO39,43,0.9200442967884827,0.7404972804972806
BR,LOGIT_STERIC7,43,0.3218161683277962,0.5596736596736598
BR,LOGIT_TOPO_STERIC,43,0.8270210409745292,0.7061849261849262
BR,ET_TOPO_STERIC,43,0.8409745293466223,0.6622066822066822
BQ,ALWAYS_HEAVY,43,0.7805094130675525,0.3138306138306138
BQ,LOGIT_TOPO39,43,0.9200442967884827,0.7517793317793319
BQ,LOGIT_STERIC7,43,0.34042081949058695,0.5791608391608392
BQ,LOGIT_TOPO_STERIC,43,0.8502768549280176,0.724926184926185
BQ,ET_TOPO_STERIC,43,0.8270210409745292,0.6693861693861693
A,ALWAYS_HEAVY,43,0.7805094130675525,0.3138306138306138
A,LOGIT_TOPO39,43,0.9293466223698782,0.7302408702408701
A,LOGIT_STERIC7,43,0.3776301218161683,0.6304428904428904
A,LOGIT_TOPO_STERIC,43,0.8428349944629013,0.7548562548562548
A,ET_TOPO_STERIC,43,0.8642303433001108,0.7268220668220666
BP,ALWAYS_HEAVY,43,0.7805094130675525,0.3138306138306138
BP,LOGIT_TOPO39,43,0.9200442967884827,0.7107536907536908
BP,LOGIT_STERIC7,43,0.2287929125138427,0.5716394716394717
BP,LOGIT_TOPO_STERIC,43,0.7198228128460687,0.720979020979021
BP,ET_TOPO_STERIC,43,0.8549280177187153,0.6304739704739705
