control,design,level,mean,sd,n,lo,hi
real,A,TOPO39,0.8346499841621794,0.0,1,,
constant,A,-,0.5585524231865696,0.0,1,,
straw,A,extractant,0.475490972442192,0.05402704390139236,20,0.38987118572484425,0.5638084679548094
straw,A,chemotype,0.7149567099567099,0.026433115560835368,20,0.6738221940660966,0.7622479146869391
straw,A,publication_id,0.680592261904762,0.025392102004566923,20,0.6260394009784254,0.7172372974811999
real,B,TOPO39,0.8400158378207159,0.0,1,,
constant,B,-,0.5585524231865696,0.0,1,,
straw,B,extractant,0.4611341991341991,0.05650397480157098,20,0.35122479146869395,0.5521982895153628
straw,B,chemotype,0.4757389927146024,0.08755295373145695,20,0.31400380107697184,0.6354925562242636
straw,B,publication_id,0.5875304782728564,0.03307971188242418,20,0.52814948263119,0.6355687390748366
real,BR,TOPO39,0.8346499841621794,0.0,1,,
constant,BR,-,0.5585524231865696,0.0,1,,
straw,BR,extractant,0.46408953647978046,0.04707696761313085,20,0.37706789145813535,0.5396040544821032
straw,BR,chemotype,0.46103790518424664,0.07986631587871097,20,0.3099387604265653,0.5984489494245592
straw,BR,publication_id,0.5683059295041002,0.03563546573653371,20,0.5047845323150201,0.6358721653233849
real,BQ,TOPO39,0.8400158378207159,0.0,1,,
constant,BQ,-,0.5585524231865696,0.0,1,,
straw,BQ,extractant,0.4623816914792524,0.05790930427103906,20,0.3821592228909302,0.5658652729384437
straw,BQ,chemotype,0.4682307042550945,0.08121558743676043,20,0.3115647766867279,0.6120652518213494
straw,BQ,publication_id,0.5820381427515573,0.03268332604106464,20,0.5020269770879527,0.6233531306092283
real,BP,TOPO39,0.8205036426987645,0.0,1,,
constant,BP,-,0.5585524231865696,0.0,1,,
straw,BP,extractant,0.44486981311371554,0.04114659644480239,20,0.3643216133460036,0.5127409988385597
straw,BP,chemotype,0.4366260162601626,0.07528047030997354,20,0.2971903706050048,0.5672906768028719
straw,BP,publication_id,0.44623818542568544,0.06751177752926626,20,0.32009949964218254,0.531604576543601
