design,ave_bias,ave_sd,n_folds,mean_nn_tanimoto_distance
A,0.31214782247455514,0.0846833448036174,25,0.2807737251332892
B,0.08732355074335274,0.09838517386634307,25,0.4450767790596046
BR,0.08400751877385541,0.09574793789658226,25,0.45060647842467305
BQ,0.08694016844907936,0.09843625314265823,25,0.44800369103090953
BP,0.025619902283268613,0.07733403363253757,25,0.5271084130020014
