design,control,scope,mean,sd,n,flip_rate,lo,hi
BP,real,movable,0.8034280303030303,0.0,1,,,
BP,real,all,0.8205036426987645,0.0,1,,,
BP,perm2_within_pub,movable,0.7924905303030303,0.008558164961018171,6,0.28787878787878785,0.7815530303030304,0.8003030303030303
BP,perm2_global_flipmatched:0.2879,movable,0.7268592171717173,0.07670424187806242,6,0.3055555555555555,0.581344696969697,0.7828030303030303
A,real,movable,0.8153030303030303,0.0,1,,,
A,real,all,0.8346499841621794,0.0,1,,,
A,perm2_within_pub,movable,0.8305113636363637,0.0064670639912302345,6,0.28787878787878785,0.8221780303030303,0.8353030303030303
A,perm2_global_flipmatched:0.2879,movable,0.6837910353535354,0.12739088097435247,6,0.3055555555555555,0.43077651515151516,0.7678030303030303
