design,reference,candidate,gain,ci_low,ci_high,p_two_sided,n_units,units_better,units_worse,loco_min,loco_max,loco_sign_stable
B,ALWAYS_HEAVY,G13_ET_TOPO39,0.2634146341463415,0.10706937799043063,0.5069027093596058,0.0004,82,28,6,0.22564102564102567,0.36271186440677966,True
B,ALWAYS_HEAVY,LOGIT_TOPO39,0.2814634146341463,0.12236946326211569,0.5323333333333329,0.0,82,28,6,0.2446153846153846,0.3898305084745763,True
B,ALWAYS_HEAVY,LOGIT_ALLCELLS,0.2878048780487805,0.1209633503672948,0.5448300849575212,0.0,82,28,5,0.2512820512820513,0.4,True
B,ALWAYS_HEAVY,LOGIT_EXTLABEL,0.28731707317073174,0.12854919864011657,0.5381950146627564,0.0,82,28,4,0.25076923076923074,0.3966101694915254,True
B,ALWAYS_HEAVY,LOGIT_EXTLABEL_ALL,0.29073170731707315,0.12371701588763528,0.5484870129870131,0.0,82,29,5,0.25435897435897437,0.4033898305084746,True
B,ALWAYS_HEAVY,LOGIT_L1,0.2673170731707317,0.11175076288659794,0.5127272727272727,0.0,82,27,5,0.22974358974358977,0.3694915254237288,True
B,ALWAYS_HEAVY,LOGIT_L1_C03,0.26097560975609757,0.1076923076923077,0.5,0.0002,82,27,5,0.22307692307692306,0.3593220338983051,True
B,ALWAYS_HEAVY,LOGIT_RANK,0.2580487804878049,0.09952351916376309,0.5050892060660125,0.0012,82,28,9,0.22,0.3559322033898305,True
B,ALWAYS_HEAVY,LOGIT_PCA5,0.28,0.12052478580171361,0.5321428571428571,0.0,82,28,5,0.24307692307692308,0.38644067796610165,True
B,ALWAYS_HEAVY,LOGIT_PCA8,0.2878048780487805,0.1282051282051282,0.5373180970149253,0.0,82,29,5,0.2512820512820513,0.3966101694915254,True
B,ALWAYS_HEAVY,SVM_TOPO39,0.28341463414634144,0.12385690789473684,0.5357256838905773,0.0,82,28,5,0.24666666666666665,0.3932203389830508,True
B,ALWAYS_HEAVY,LOGIT_C3,0.2858536585365854,0.12506779990286546,0.5384677419354839,0.0,82,28,5,0.2492307692307692,0.3966101694915254,True
B,ALWAYS_HEAVY,LOGIT_C10,0.2853658536585366,0.12472514812376563,0.5393939393939393,0.0,82,27,5,0.2487179487179487,0.3966101694915254,True
B,G13_ET_TOPO39,ALWAYS_HEAVY,-0.2634146341463415,-0.5069027093596059,-0.10706937799043065,0.0004,82,6,28,-0.36271186440677966,-0.22564102564102567,True
B,G13_ET_TOPO39,LOGIT_TOPO39,0.018048780487804877,-0.011358024691358024,0.06666666666666667,0.2618,82,6,5,0.008395061728395062,0.027118644067796613,True
B,G13_ET_TOPO39,LOGIT_ALLCELLS,0.024390243902439025,-0.0021058230683090695,0.07241379310344827,0.0758,82,6,3,0.014814814814814817,0.03728813559322034,True
B,G13_ET_TOPO39,LOGIT_EXTLABEL,0.023902439024390244,-0.006801717171717171,0.07692307692307693,0.1578,82,6,4,0.011851851851851851,0.03389830508474576,True
B,G13_ET_TOPO39,LOGIT_EXTLABEL_ALL,0.02731707317073171,-0.0012371134020618545,0.07924528301886793,0.0644,82,6,3,0.01569620253164557,0.04067796610169492,True
B,G13_ET_TOPO39,LOGIT_L1,0.0039024390243902435,-0.03910573836276083,0.04745762711864406,0.8132,82,6,4,-0.0034567901234567903,0.016296296296296295,False
B,G13_ET_TOPO39,LOGIT_L1_C03,-0.0024390243902439033,-0.050909090909090904,0.04045269500081416,0.9682,82,5,4,-0.009876543209876543,0.009876543209876541,False
B,G13_ET_TOPO39,LOGIT_RANK,-0.005365853658536583,-0.056,0.04495357142857141,0.795,82,4,9,-0.017777777777777774,0.007000000000000001,False
B,G13_ET_TOPO39,LOGIT_PCA5,0.016585365853658534,-0.007142857142857141,0.056003508771929784,0.2098,82,5,3,0.00691358024691358,0.023728813559322035,True
B,G13_ET_TOPO39,LOGIT_PCA8,0.02439024390243903,-0.006249999999999998,0.07755254340542185,0.1172,82,7,5,0.012345679012345682,0.03389830508474576,True
B,G13_ET_TOPO39,SVM_TOPO39,0.02,-0.008636363636363635,0.0694257662835249,0.199,82,6,4,0.010370370370370372,0.03050847457627119,True
B,G13_ET_TOPO39,LOGIT_C3,0.022439024390243905,-0.007142857142857141,0.07619047619047618,0.161,82,6,5,0.010370370370370372,0.03389830508474576,True
B,G13_ET_TOPO39,LOGIT_C10,0.021951219512195124,-0.004761904761904761,0.07119249394673115,0.1192,82,6,4,0.012345679012345678,0.03389830508474576,True
B,LOGIT_TOPO39,ALWAYS_HEAVY,-0.2814634146341463,-0.5323333333333332,-0.12236946326211579,0.0,82,6,28,-0.3898305084745763,-0.2446153846153846,True
B,LOGIT_TOPO39,G13_ET_TOPO39,-0.018048780487804877,-0.06666666666666667,0.011358024691358024,0.2618,82,5,6,-0.027118644067796613,-0.008395061728395062,True
B,LOGIT_TOPO39,LOGIT_ALLCELLS,0.006341463414634148,-0.025753656837706064,0.04137931034482759,0.6856,82,3,2,-0.0035443037974683548,0.0162962962962963,False
B,LOGIT_TOPO39,LOGIT_EXTLABEL,0.005853658536585364,0.0,0.015384615384615382,0.0866,82,3,0,0.003456790123456789,0.006779661016949151,True
B,LOGIT_TOPO39,LOGIT_EXTLABEL_ALL,0.009268292682926829,-0.024659739958207572,0.049999999999999996,0.5998,82,3,2,-0.0030379746835443038,0.01925925925925926,False
B,LOGIT_TOPO39,LOGIT_L1,-0.014146341463414633,-0.04406779661016949,0.0026666666666666657,0.112,82,2,4,-0.02033898305084746,-0.006913580246913581,True
B,LOGIT_TOPO39,LOGIT_L1_C03,-0.020487804878048778,-0.05818441558441558,-0.0008161203875489616,0.042,82,2,6,-0.030508474576271188,-0.013333333333333334,True
B,LOGIT_TOPO39,LOGIT_RANK,-0.023414634146341463,-0.0815033163265306,0.010864197530864197,0.233,82,4,6,-0.033898305084745756,-0.009,True
B,LOGIT_TOPO39,LOGIT_PCA5,-0.0014634146341463428,-0.021235618597320725,0.01575869809203141,0.8554,82,3,3,-0.006419753086419754,0.003456790123456789,False
B,LOGIT_TOPO39,LOGIT_PCA8,0.006341463414634148,-0.00714285714285714,0.023732608145712063,0.3298,82,4,2,0.001481481481481482,0.009000000000000001,True
B,LOGIT_TOPO39,SVM_TOPO39,0.0019512195121951224,-0.0009230769230769213,0.009499999999999998,0.7334,82,1,1,-0.0004938271604938262,0.0033898305084745753,False
B,LOGIT_TOPO39,LOGIT_C3,0.004390243902439026,-0.0007619047619047605,0.015384615384615387,0.2432,82,2,1,0.001975308641975309,0.006779661016949153,True
B,LOGIT_TOPO39,LOGIT_C10,0.0039024390243902448,-0.0015384615384615376,0.015384615384615385,0.3078,82,2,1,0.0014814814814814814,0.006779661016949153,True
BR,ALWAYS_HEAVY,G13_ET_TOPO39,0.2570731707317073,0.10085184331797235,0.5,0.0006,82,28,7,0.21897435897435896,0.3559322033898305,True
BR,ALWAYS_HEAVY,LOGIT_TOPO39,0.2760975609756098,0.11770892857142858,0.5250105932203388,0.0,82,28,5,0.23897435897435898,0.38305084745762713,True
BR,ALWAYS_HEAVY,LOGIT_ALLCELLS,0.2804878048780488,0.11538288288288288,0.5356033898305084,0.0002,82,28,6,0.24358974358974358,0.3898305084745763,True
BR,ALWAYS_HEAVY,LOGIT_EXTLABEL,0.2790243902439024,0.1213596206425154,0.5280031250000001,0.0,82,28,4,0.24205128205128204,0.38644067796610165,True
BR,ALWAYS_HEAVY,LOGIT_EXTLABEL_ALL,0.28097560975609753,0.11674418604651161,0.5353870967741935,0.0,82,29,5,0.2441025641025641,0.3898305084745763,True
BR,ALWAYS_HEAVY,LOGIT_L1,0.26146341463414635,0.10683122362869199,0.5035747354497353,0.0002,82,28,5,0.22358974358974357,0.36271186440677966,True
BR,ALWAYS_HEAVY,LOGIT_L1_C03,0.2546341463414634,0.10145206133285604,0.49296138902379794,0.0002,82,27,5,0.21641025641025635,0.35254237288135587,True
BR,ALWAYS_HEAVY,LOGIT_RANK,0.2614634146341463,0.10262066818842085,0.510449725058916,0.001,82,28,7,0.22358974358974357,0.36271186440677966,True
BR,ALWAYS_HEAVY,LOGIT_PCA5,0.2770731707317073,0.11698472075869334,0.5272793148880104,0.0,82,27,4,0.24,0.38305084745762713,True
BR,ALWAYS_HEAVY,LOGIT_PCA8,0.2863414634146342,0.12512727272727273,0.5375051229508196,0.0,82,29,4,0.24974358974358976,0.3966101694915254,True
