design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds,family
A,REAL_209REG,0.437349005100162,0.012135497738445593,0.5168839569519228,0.17715089061977393,0.5569581095728207,0.8262294758258903,0.5384798984237295,0.4732582358857777,0.1615889667356403,0.705132607463683,0.8831788406871833,90,83,88,86,5,REAL_209REG
A,DIR_ORACLE,0.47838071332269827,0.0036397252913509355,0.521962862627164,0.19101592988618918,0.631565598990842,0.8413786326697312,0.5227572694667353,0.4867815846335209,0.1702039431794973,0.7231159271299324,0.9049066864417253,90,83,88,86,5,DIR_ORACLE
A,REAL_1BIT,0.49213393784744824,0.010436668747165393,0.5444543521521373,0.1884761577560658,0.6451991179908991,0.8084723143535989,0.5111303834901167,0.4937334554735816,0.1635088768451623,0.7453321878071688,0.9130638981584477,90,83,88,86,5,REAL_1BIT
A,STRAW209_chemotype_2,0.5158744483532002,0.006069916559069752,0.585699568897534,0.19671497174391545,0.6816143938783835,0.7632147431756471,0.45971598441783046,0.5187896414972212,0.16827326556617428,0.7870383444153147,0.871536274873316,90,83,88,86,5,STRAW209_chemotype
A,STRAW209_chemotype_1,0.520910113682057,0.008109528992602042,0.6000236374282089,0.19595092950817924,0.6894110385754572,0.7516437127613067,0.42463538008447566,0.5199004837245641,0.16790401240638644,0.7892804252673021,0.8519342479297985,90,83,88,86,5,STRAW209_chemotype
A,STRAW209_chemotype_0,0.5219126586338227,0.006577044975169796,0.5960445631889303,0.19687594835522512,0.6884748932157343,0.7654168738653478,0.4583884420589528,0.5229488605115316,0.168394048910443,0.7947288695460308,0.8483252997157336,90,83,88,86,5,STRAW209_chemotype
A,STRAW209_chemotype_3,0.5246419161533306,0.0049527292146693425,0.6043931334707284,0.19621873965726025,0.6922344074926183,0.7642515244424305,0.46886209033648163,0.5208137719257739,0.1678605278187799,0.7917316531767973,0.8762328513162774,90,83,88,86,5,STRAW209_chemotype
A,STRAW1BIT_publication_id_3,0.5465985214894964,0.0018214814552328382,0.6001988431276504,0.20223698448567426,0.747812796744707,0.6959766678234793,0.34190936319347326,0.5721360351583756,0.18151580154825953,0.8653698532023792,0.7554566802620195,90,83,88,86,5,STRAW1BIT_publication_id
A,STRAW1BIT_chemotype_3,0.5589075087293951,0.004513468398474461,0.6670999359131027,0.20018830239349752,0.7491563510307985,0.702397799690349,0.3442769229434135,0.5234686664235908,0.16730264438852335,0.7963633614664833,0.8541836608577432,90,83,88,86,5,STRAW1BIT_chemotype
A,STRAW1BIT_chemotype_0,0.5668301549515419,0.025985944768992908,0.6848748585085287,0.2044383564413307,0.7714353143315004,0.6756847635715684,0.29489948307798175,0.5502784384604169,0.17271915720298384,0.8395430082654539,0.7990854035347917,90,83,88,86,5,STRAW1BIT_chemotype
A,STRAW1BIT_publication_id_2,0.5671172210501025,0.006778474651741698,0.6265648954901514,0.20231702928933926,0.7631703908949337,0.6659104320185838,0.32190447516080695,0.6456739419175663,0.19450809189322277,0.9846527696476264,0.5979730564825114,90,83,88,86,5,STRAW1BIT_publication_id
A,STRAW1BIT_chemotype_2,0.5689606958872038,0.011870018274551121,0.6784528887560553,0.2033731248158522,0.7679603942138639,0.6610864946363165,0.30159088332067385,0.5500412461097232,0.1725777514307746,0.837934815350662,0.7980966505994315,90,83,88,86,5,STRAW1BIT_chemotype
A,STRAW1BIT_chemotype_1,0.576356440868009,0.011834821777240073,0.7024134664896894,0.20419004316008124,0.778168302306471,0.6617958137635152,0.2915435245991356,0.5521950707931029,0.17255709794167526,0.8427329669356798,0.792806822395254,90,83,88,86,5,STRAW1BIT_chemotype
A,STRAW1BIT_publication_id_1,0.5775102774060352,0.011879066686731837,0.6349829921551953,0.2046172223799208,0.7906810712519614,0.6465709197775003,0.2928853977178451,0.6588790203239245,0.19355322829140492,1.01547827398051,0.5854406130268199,90,83,88,86,5,STRAW1BIT_publication_id
A,MEAN_CURVE,0.5831886108961208,0.002495521599002778,0.6194545435177782,0.2014511601245498,0.793442240943697,0.6085874695569309,0.28926376268141074,0.6008281834322248,0.17762917732667283,0.9279541799948872,0.735459152144358,90,83,88,86,5,MEAN_CURVE
A,STRAW1BIT_publication_id_0,0.5847314340779624,0.012401797988935715,0.6284020877055754,0.20580962064187708,0.8021533505056635,0.6260514350705012,0.27560454964080594,0.7063465206765449,0.20239687329656147,1.0919794986876599,0.471462118403164,90,83,88,86,5,STRAW1BIT_publication_id
BP,DIR_ORACLE,0.4864300947790248,0.011500060723747783,0.5286137648696313,0.19168981778995092,0.644343734947004,0.8521133732755206,0.5238400997462688,0.5014630463659392,0.170773261410648,0.7494558164824765,0.9090841675936225,90,83,88,86,5,DIR_ORACLE
BP,REAL_1BIT,0.5000794414203691,0.01579982613981003,0.5491389793670566,0.19012718046266608,0.6587344933567273,0.8122458223013377,0.5037694544333655,0.5106278431235807,0.16563653089157898,0.7734534206797732,0.9026819923371647,90,83,88,86,5,REAL_1BIT
BP,REAL_209REG,0.5522751764799076,0.023092843411450948,0.6115587044225205,0.20455847698394872,0.7321215458191033,0.6892316659389282,0.3803532115157259,0.5563044995121886,0.17401781637401884,0.8427830271000253,0.7498455073538499,90,83,88,86,5,REAL_209REG
