design,reference,candidate,gain,ci_low,ci_high,p_two_sided,n_units,units_better,units_worse,loco_min,loco_max,loco_sign_stable
B,LOGIT_TOPO39,ALWAYS_HEAVY,-0.2814634146341463,-0.5323333333333332,-0.12236946326211579,0.0,82,6,28,-0.3898305084745763,-0.2446153846153846,True
B,LOGIT_TOPO39,LOGIT_STERIC7,-0.40100728539752933,-0.5360976430976432,-0.17435897435897438,0.0002,82,10,55,-0.4360324675324675,-0.33538777606574216,True
B,LOGIT_TOPO39,LOGIT_TOPO_STERIC,-0.05667405764966741,-0.11738807245386193,-0.015754385964912326,0.0046,82,3,11,-0.07272727272727272,-0.0450280583613917,True
B,LOGIT_TOPO39,ET_TOPO_STERIC,-0.09089430894308943,-0.173337899543379,-0.02447488584474886,0.0082,82,5,13,-0.10734463276836158,-0.06822510822510823,True
BR,LOGIT_TOPO39,ALWAYS_HEAVY,-0.2760975609756098,-0.5250105932203389,-0.11770892857142864,0.0,82,5,28,-0.38305084745762713,-0.23897435897435898,True
BR,LOGIT_TOPO39,LOGIT_STERIC7,-0.3997064723893993,-0.5354493025493027,-0.17472156728346402,0.0,82,10,59,-0.4296991341991342,-0.33425783256291725,True
BR,LOGIT_TOPO39,LOGIT_TOPO_STERIC,-0.06509977827050997,-0.11578947368421053,-0.030597632228373254,0.0002,82,4,18,-0.07765793528505394,-0.053557800224466885,True
BR,LOGIT_TOPO39,ET_TOPO_STERIC,-0.07869918699186991,-0.15047710622710622,-0.018753550543024244,0.0096,82,4,13,-0.09378531073446328,-0.060432900432900435,True
BQ,LOGIT_TOPO39,ALWAYS_HEAVY,-0.2814634146341463,-0.5320786696514231,-0.1231562954347194,0.0,82,5,28,-0.3898305084745763,-0.2446153846153846,True
BQ,LOGIT_TOPO39,LOGIT_STERIC7,-0.3860479358040334,-0.5194714017545876,-0.18966767270288404,0.0002,82,9,57,-0.42069913419913424,-0.33757803599908864,True
BQ,LOGIT_TOPO39,LOGIT_TOPO_STERIC,-0.049356984478935696,-0.10719269266316638,-0.010525953922238757,0.0094,82,3,12,-0.062557781201849,-0.037620650953984286,True
BQ,LOGIT_TOPO39,ET_TOPO_STERIC,-0.08796747967479675,-0.16084656084656085,-0.029122009569378007,0.0032,82,5,14,-0.103954802259887,-0.07030303030303028,True
A,LOGIT_TOPO39,ALWAYS_HEAVY,-0.2760975609756098,-0.5218789724576272,-0.1197216005204945,0.0,82,4,28,-0.3830508474576271,-0.23897435897435898,True
A,LOGIT_TOPO39,LOGIT_STERIC7,-0.33677964312110653,-0.46653152315809693,-0.11578415736310481,0.0026,82,11,53,-0.3651991341991342,-0.2732408834103749,True
A,LOGIT_TOPO39,LOGIT_TOPO_STERIC,-0.03365853658536586,-0.10557415686923886,0.029851313054978266,0.251,82,7,15,-0.05449999999999999,-0.02172839506172839,True
A,LOGIT_TOPO39,ET_TOPO_STERIC,-0.03577235772357723,-0.09239954725523486,0.03846153846153846,0.2836,82,8,11,-0.056666666666666664,-0.02386831275720165,True
BP,LOGIT_TOPO39,ALWAYS_HEAVY,-0.26195121951219513,-0.5060653409090908,-0.1050519480519481,0.0008,82,5,26,-0.3627118644067797,-0.2241025641025641,True
BP,LOGIT_TOPO39,LOGIT_STERIC7,-0.42864956182029346,-0.5742370708327854,-0.18118974389306208,0.0002,82,10,61,-0.4643658008658008,-0.3195685670261942,True
BP,LOGIT_TOPO39,LOGIT_TOPO_STERIC,-0.10013092598458452,-0.16234760211053315,-0.014964971063052102,0.009,82,6,28,-0.1080359990886307,-0.05536723163841808,True
BP,LOGIT_TOPO39,ET_TOPO_STERIC,-0.0723281596452328,-0.12408430951988121,-0.029090909090909098,0.0024,82,4,17,-0.07815937149270484,-0.06334455667789,True
