adapter,0,1,2,3,5
SHRINK_FITTED,,0.6958,0.6333,0.6139,0.6287
CNPRES_shrinkage,1.0018,0.7094,0.6366,0.6158,0.6288
OFFSET_K1,,0.7232,0.6398,0.6162,0.6282
OFFSET_K2,,0.7232,0.6252,0.5853,0.5652
OFFSET_K3,,0.7232,0.5984,0.5408,0.5136
CNPRES_absolute_x,1.0008,0.7271,0.6454,0.622,0.6352
CNPRES_conditions_only,1.0055,0.7275,0.6371,0.6077,0.622
SHRINK_ANALYTIC,,0.733,0.6599,0.6312,0.6415
CNPRES_attentive,1.012,0.7368,0.6552,0.6308,0.6388
CNPRES_ligand,1.0268,0.739,0.6593,0.6354,0.6452
CNPRES_ligand_recovered,1.01,0.7395,0.6554,0.6305,0.6393
NEAREST_OBSERVED,,0.8459,0.6719,0.5889,0.5619
NO_MODEL,,0.8459,0.7538,0.7293,0.7687
CNP_conditions_only,1.1992,0.8815,0.8417,0.8308,0.859
ZERO_SHOT,,0.995,0.995,0.999,1.0605
CNP_ligand,1.203,1.0559,1.0423,1.035,1.0808
CNP_ligand_recovered,1.2423,1.1377,1.1286,1.1206,1.1799
ZERO_SHOT_REF,0.995,,,,
