baseline,adapter,k,n_ligands,mae,baseline_mae,delta,ci_low,ci_high,win_rate,beats
OFFSET_K1,CNPRES_absolute_x,1,143,0.7271240376220466,0.7231899498047505,0.003934087817296098,-0.0005227338010747391,0.00884785588934574,0.4825174825174825,False
OFFSET_K1,CNPRES_absolute_x,2,143,0.6454010768108213,0.6398054726822178,0.005595604128603334,0.0013396211932730586,0.010538116271111838,0.46153846153846156,False
OFFSET_K1,CNPRES_absolute_x,3,140,0.6220016799976672,0.6162227315031255,0.005778948494541779,0.0014506168133397092,0.011129303425367144,0.4857142857142857,False
OFFSET_K1,CNPRES_absolute_x,5,99,0.6352479511990828,0.628229511117698,0.007018440081384632,0.0031035113389080034,0.011803610322359366,0.45454545454545453,False
OFFSET_K1,CNPRES_absolute_x@k0,1,143,1.0008135748447908,0.7231899498047505,0.27762362504004057,0.17143410246748172,0.3975100132669201,0.3916083916083916,False
OFFSET_K1,CNPRES_absolute_x@k0,2,143,1.0008135748447908,0.6398054726822178,0.3610081021625732,0.25782465291658674,0.47544693619248707,0.2937062937062937,False
OFFSET_K1,CNPRES_absolute_x@k0,3,140,1.0051305127647912,0.6162227315031255,0.3889077812616659,0.28831539231231296,0.503205555002124,0.25,False
OFFSET_K1,CNPRES_absolute_x@k0,5,99,1.067187376829487,0.628229511117698,0.4389578657117891,0.32048428377905946,0.5704738743496025,0.2222222222222222,False
OFFSET_K1,CNPRES_attentive,1,143,0.7367942701446274,0.7231899498047505,0.013604320339876923,0.0015687737046831567,0.026906888045513118,0.40559440559440557,False
OFFSET_K1,CNPRES_attentive,2,143,0.6551572651957774,0.6398054726822178,0.015351792513559686,0.0034648318966444902,0.02749518782594652,0.4125874125874126,False
OFFSET_K1,CNPRES_attentive,3,140,0.6307710823677455,0.6162227315031255,0.014548350864620141,0.0032394319851088618,0.026265302255010243,0.40714285714285714,False
OFFSET_K1,CNPRES_attentive,5,99,0.6388396503856936,0.628229511117698,0.010610139267995537,-0.0013775598281113358,0.022954434207789746,0.41414141414141414,False
OFFSET_K1,CNPRES_attentive@k0,1,143,1.0120199221053034,0.7231899498047505,0.2888299723005531,0.18479028962429148,0.40657822418002587,0.34965034965034963,False
OFFSET_K1,CNPRES_attentive@k0,2,143,1.0120199221053034,0.6398054726822178,0.3722144494230856,0.2671397435035354,0.4838474057029917,0.2727272727272727,False
OFFSET_K1,CNPRES_attentive@k0,3,140,1.0160657290001154,0.6162227315031255,0.39984299749699,0.29807700306658774,0.5126242937536403,0.25,False
OFFSET_K1,CNPRES_attentive@k0,5,99,1.0748624961650608,0.628229511117698,0.44663298504736265,0.32941904955381063,0.5785750902827509,0.2222222222222222,False
OFFSET_K1,CNPRES_conditions_only,1,143,0.7275024212608862,0.7231899498047505,0.0043124714561357524,-0.01483845073790513,0.02556708220112923,0.5244755244755245,False
OFFSET_K1,CNPRES_conditions_only,2,143,0.6371105177358565,0.6398054726822178,-0.0026949549463614153,-0.02049403379292559,0.015074878399150641,0.5944055944055944,False
