feature_set,split_seed,fold,n_blocks,n_candidates,n_ligands,skipped_ligands,identity_exact_share,identity_max_gap,identity_mean_gap,identity_spearman_median,blend_alpha,blend_anchor,blend_selection
geometry,104729,0,992,10368,124,6,0.5715725806451613,0.8776509226582214,0.021905291741791507,0.9369085332332696,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6797732743020698, ""dist_medoid_l1@0.25"": 0.6731197823050592, ""dist_medoid_l1@0.5"": 0.6717709164353328, ""dist_medoid_l1@0.75"": 0.670430276716725, ""dist_medoid_l1@1.0"": 0.6603803606032117, ""dist_centre_l2@0.0"": 0.6797732743020698, ""dist_centre_l2@0.25"": 0.6706334939228071, ""dist_centre_l2@0.5"": 0.6624275497741748, ""dist_centre_l2@0.75"": 0.6499291971599744, ""dist_centre_l2@1.0"": 0.6446604644539575}"
geometry,104729,1,600,5232,75,7,0.61,0.8776509226582214,0.020699055719659156,0.9285714285714288,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.5808908607005716, ""dist_medoid_l1@0.25"": 0.5635671703467738, ""dist_medoid_l1@0.5"": 0.5542046741280212, ""dist_medoid_l1@0.75"": 0.552791072039009, ""dist_medoid_l1@1.0"": 0.5447911601086958, ""dist_centre_l2@0.0"": 0.5808908607005716, ""dist_centre_l2@0.25"": 0.5596134434005643, ""dist_centre_l2@0.5"": 0.5459825498896671, ""dist_centre_l2@0.75"": 0.5451842971761303, ""dist_centre_l2@1.0"": 0.5373395935290247}"
geometry,104729,2,1000,10704,125,9,0.586,0.6503816123103956,0.0205228936249421,0.9419540335376921,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7007761691036226, ""dist_medoid_l1@0.25"": 0.6898128721307373, ""dist_medoid_l1@0.5"": 0.6595422011580825, ""dist_medoid_l1@0.75"": 0.6452800283365138, ""dist_medoid_l1@1.0"": 0.6377051170450229, ""dist_centre_l2@0.0"": 0.7007761691036226, ""dist_centre_l2@0.25"": 0.6719067671952835, ""dist_centre_l2@0.5"": 0.653672914115194, ""dist_centre_l2@0.75"": 0.6398285848230949, ""dist_centre_l2@1.0"": 0.6279633985702714}"
geometry,104729,3,1016,10568,127,7,0.577755905511811,0.8776509226582214,0.02125956825850542,0.9414380376656593,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7300882704418202, ""dist_medoid_l1@0.25"": 0.7200239285248026, ""dist_medoid_l1@0.5"": 0.6866329131215994, ""dist_medoid_l1@0.75"": 0.676224647226429, ""dist_medoid_l1@1.0"": 0.671321819006109, ""dist_centre_l2@0.0"": 0.7300882704418202, ""dist_centre_l2@0.25"": 0.6996828369069737, ""dist_centre_l2@0.5"": 0.6777954846580406, ""dist_centre_l2@0.75"": 0.6695172708156965, ""dist_centre_l2@1.0"": 0.6549234777211863}"
geometry,104729,4,968,10552,121,7,0.5929752066115702,0.8776509226582214,0.02193170657521587,0.9456140350877192,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7088491607989461, ""dist_medoid_l1@0.25"": 0.6945228113117892, ""dist_medoid_l1@0.5"": 0.6849872108706774, ""dist_medoid_l1@0.75"": 0.6839469529795811, ""dist_medoid_l1@1.0"": 0.6732147831137413, ""dist_centre_l2@0.0"": 0.7088491607989461, ""dist_centre_l2@0.25"": 0.6854451516268685, ""dist_centre_l2@0.5"": 0.6857485442282054, ""dist_centre_l2@0.75"": 0.6761750930845022, ""dist_centre_l2@1.0"": 0.6576701998245855}"
geometry,130363,0,728,5552,91,7,0.6236263736263736,0.789823827524619,0.018505217021607775,0.9330033256567918,0.75,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6234911289185524, ""dist_medoid_l1@0.25"": 0.6129841231376734, ""dist_medoid_l1@0.5"": 0.5940187163612968, ""dist_medoid_l1@0.75"": 0.5981930476895067, ""dist_medoid_l1@1.0"": 0.6053504280184655, ""dist_centre_l2@0.0"": 0.6234911289185524, ""dist_centre_l2@0.25"": 0.5914116720871733, ""dist_centre_l2@0.5"": 0.5848774549091413, ""dist_centre_l2@0.75"": 0.5796185677209077, ""dist_centre_l2@1.0"": 0.583857592993078}"
geometry,130363,1,992,10640,124,7,0.5655241935483871,0.789823827524619,0.02167336552746028,0.942857142857143,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7080780709382235, ""dist_medoid_l1@0.25"": 0.6908941159633079, ""dist_medoid_l1@0.5"": 0.6750451175007073, ""dist_medoid_l1@0.75"": 0.6670255316176207, ""dist_medoid_l1@1.0"": 0.657117638234924, ""dist_centre_l2@0.0"": 0.7080780709382235, ""dist_centre_l2@0.25"": 0.6775848239902514, ""dist_centre_l2@0.5"": 0.6665470378197303, ""dist_centre_l2@0.75"": 0.6546358611377704, ""dist_centre_l2@1.0"": 0.6361831926909562}"
geometry,130363,2,936,10088,117,8,0.5758547008547008,0.6636447666496708,0.02136101485452406,0.9326733179802502,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7549412026440971, ""dist_medoid_l1@0.25"": 0.7130017124498187, ""dist_medoid_l1@0.5"": 0.7027775414177029, ""dist_medoid_l1@0.75"": 0.703562423605679, ""dist_medoid_l1@1.0"": 0.695595317576683, ""dist_centre_l2@0.0"": 0.7549412026440971, ""dist_centre_l2@0.25"": 0.7111943050372098, ""dist_centre_l2@0.5"": 0.696183242422675, ""dist_centre_l2@0.75"": 0.6947230527016242, ""dist_centre_l2@1.0"": 0.679704731825823}"
geometry,130363,3,952,10232,119,5,0.5882352941176471,0.789823827524619,0.02028403738590916,0.942857142857143,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7026054287316664, ""dist_medoid_l1@0.25"": 0.688448399214435, ""dist_medoid_l1@0.5"": 0.6884148483517873, ""dist_medoid_l1@0.75"": 0.6899232441969894, ""dist_medoid_l1@1.0"": 0.6739456521721923, ""dist_centre_l2@0.0"": 0.7026054287316664, ""dist_centre_l2@0.25"": 0.6935712691942674, ""dist_centre_l2@0.5"": 0.6855046278872634, ""dist_centre_l2@0.75"": 0.6695357561412894, ""dist_centre_l2@1.0"": 0.6511831163627556}"
geometry,130363,4,968,10912,121,9,0.5640495867768595,0.789823827524619,0.020872680488828826,0.942857142857143,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7257807219421669, ""dist_medoid_l1@0.25"": 0.6986454298149057, ""dist_medoid_l1@0.5"": 0.6742788129906285, ""dist_medoid_l1@0.75"": 0.6841770214502898, ""dist_medoid_l1@1.0"": 0.6753320979733168, ""dist_centre_l2@0.0"": 0.7257807219421669, ""dist_centre_l2@0.25"": 0.6841106680768781, ""dist_centre_l2@0.5"": 0.6839711134117149, ""dist_centre_l2@0.75"": 0.6862549638238964, ""dist_centre_l2@1.0"": 0.6711262797092673}"
