comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
LEARNED_BLEND[geometry] vs MEDOID,-0.005240028674507867,-0.017765680225146394,0.014164402460315357,-0.01926423209758547,0.011082209928116316,-0.0038590027318293404,143,53,0,5
LEARNED_BLEND[geometry] vs CENTRAL,-0.0013227410877752108,-0.004940143503992771,0.0035913843948455937,-0.005920473160942512,0.002551656651555041,0.000757942544460878,143,17,3,5
LEARNED_BLEND[geometry] vs RANDOM,0.06994626240426552,0.028413770177489226,0.09893995015290273,0.03712299486893947,0.10918007533336804,0.04392001709811882,143,99,5,5
LEARNED_BLEND[geometry] vs MIN_GP_DESIGN_VAR,0.021634284406151096,-0.0058796072424984755,0.03858560758918092,-0.0037798889257366253,0.03965420261235531,0.010233273582938116,143,75,5,5
LEARNED_BLEND[full] vs MEDOID,-0.007269834850218792,-0.019795640096354688,0.010890350900944517,-0.022422184904417775,0.00734857326629154,-0.00361126860619192,143,61,0,5
LEARNED_BLEND[full] vs CENTRAL,-0.003352547263486138,-0.00842120225987391,0.0042163982137082175,-0.009546440764862838,0.0027977419711874276,0.0010056766700982987,143,44,1,5
LEARNED_BLEND[full] vs RANDOM,0.06791645622855459,0.028743494801252725,0.09577879007882384,0.037131034416865626,0.10570763504124972,0.04416775122375624,143,97,5,5
LEARNED_BLEND[full] vs MIN_GP_DESIGN_VAR,0.019604478230440165,-0.004380595982309822,0.034948667433978384,-0.002007212022489146,0.03642986667892997,0.010481007708575537,143,78,5,5
LEARNED_SCALAR[geometry] vs MEDOID,-0.008038103523926664,-0.028443406211310758,0.023663741282422757,-0.033197051864781855,0.016863082568530058,0.01087282348170112,143,75,1,5
LEARNED_SCALAR[geometry] vs CENTRAL,-0.004120815937194008,-0.019452566352714123,0.021869016696152335,-0.021202855698331746,0.01791600741677714,0.015489768757991339,143,81,1,5
LEARNED_SCALAR[geometry] vs RANDOM,0.06714818755484674,0.027937100641436223,0.09454931964256921,0.035580010526170054,0.10262509240492249,0.058651843311649285,143,94,5,5
