policy,mae,regret,gap_recovered,rank_percentile,frac_harmed,matches_surrogate,n_ligands
ORACLE,0.48121816348656066,0.0,1.0,0.00030714266679261726,0.08094405594405595,1.0,143
SURROGATE_ORACLE,0.5006020984792205,0.019383934992659935,0.5326478671371025,0.11541505190209755,0.12552447552447552,1.0,143
MEDOID,0.6452847416607226,0.164066578174162,-5.03057079567482,0.431886881604973,0.3036713286713287,0.25297202797202795,143
CENTRAL,0.6492020292474553,0.16798386576089466,-3.3192578963537973,0.4302373508196318,0.3118881118881119,0.24562937062937062,143
LEARNED_BLEND[geometry],0.6505247703352305,0.16930660684866988,-3.5402270536372344,0.42985216281437627,0.31276223776223777,0.24930069930069929,143
LEARNED_BLEND[full],0.6525545765109414,0.1713364130243808,-4.160119121509369,0.4305556717723716,0.3068181818181818,0.25,143
LEARNED_SCALAR[geometry],0.6533228451846492,0.17210468169808868,-5.671404070117384,0.43911219161334536,0.31486013986013983,0.24615384615384617,143
LEARNED_BLEND[geometry+prediction],0.6534025273281957,0.1721843638416351,-6.114940159837295,0.43203953182066573,0.31048951048951046,0.24143356643356642,143
LEARNED_BLEND[full_shuffled],0.655251706919005,0.17403354343244445,-4.233000738361206,0.43724784904775355,0.3129370629370629,0.24510489510489508,143
LEARNED_SCALAR[full],0.6573492514404208,0.17613108795386026,-6.402361139610317,0.43107690156707745,0.31363636363636366,0.23583916083916084,143
MAX_CONDITION_COVERAGE,0.661186534062909,0.17996837057634835,-5.216417837411771,0.4329774441953036,0.3208041958041958,0.25017482517482514,143
LEARNED_RANK[full_shuffled],0.6613190740137295,0.1801009105271689,-7.095946770153329,0.4426332832013853,0.3194055944055944,0.23094405594405593,143
LEARNED_RANK[geometry+prediction],0.6633686457289503,0.18215048224238972,-6.891562087655943,0.4400175047669004,0.3166083916083916,0.22832167832167832,143
LEARNED_RANK[geometry],0.6637028950599108,0.18248473157335013,-5.6258255482149595,0.43575785335560996,0.31416083916083914,0.24632867132867134,143
LEARNED_SCALAR[full_shuffled],0.6647301567946973,0.18351199330813664,-6.702758944038562,0.4477369970033843,0.3160839160839161,0.21625874125874125,143
LEARNED_SCALAR[geometry+prediction],0.6647365080862893,0.1835183445997287,-6.5208926143206565,0.4428003344298901,0.31153846153846154,0.21083916083916082,143
LEARNED_RANK[full],0.6669994739518191,0.18578131046525853,-7.929458120468587,0.43965258165794935,0.3194055944055944,0.2375874125874126,143
MIN_GP_DESIGN_VAR,0.6721590547413816,0.19094089125482097,-5.230926421132733,0.4708545295791273,0.32482517482517487,0.20367132867132867,143
MEDIAN_PREDICTION,0.6731578843706372,0.19193972088407657,-5.02567349718905,0.4580743800147337,0.3263986013986014,0.2298951048951049,143
MAX_PREDICTION,0.6815437256418204,0.20032556215525982,-9.216789484773237,0.4986914868541406,0.3486013986013986,0.16573426573426572,143
MID_ACID,0.692674791630653,0.2114566281440924,-5.643057798382404,0.4929116379018413,0.3328671328671329,0.181993006993007,143
MAX_ENSEMBLE_SD,0.7123839093013484,0.23116574581478783,-8.476537556579721,0.5051644209940547,0.35384615384615387,0.17657342657342656,143
RANDOM,0.720471032739496,0.23925286925293543,-9.353986637957968,0.49877553110712536,0.3571678321678322,0.2117132867132867,143
MIN_ENSEMBLE_SD,0.7226964442481526,0.24147828076159197,-6.028314724839305,0.5050947816595766,0.34038461538461534,0.1882867132867133,143
FARTHEST_FROM_EXISTING,0.794576761909717,0.3133585984231565,-10.678473679231523,0.5575884660808234,0.4062937062937063,0.1417832167832168,143
MIN_PREDICTION,0.81747280651056,0.3362546430239993,-10.609524192260848,0.5902164066353044,0.39353146853146853,0.13496503496503498,143
