contrast,value,ci_low,ci_high,p_two_sided,n_units,n_chemotypes
topo39_et - donors13_et,0.07463414634146341,0.02222023809523809,0.15088978611959838,0.0056,82,40
topo39_et - lean209_et,0.04739755276340641,0.0004957165449589665,0.09631402546708917,0.0488,82,40
topo39_et - chem137_et,0.03463414634146341,-0.014814814814814815,0.06958333333333333,0.1986,82,40
topo39_lg - donors13_lg,0.4623672262696653,0.2485876244967154,0.590973207521645,0.0001,82,40
topo39_lg - lean209_lg,0.23290537488708218,0.13174817550505052,0.29881040372966994,0.0001,82,40
topo39_lg - chem137_lg,0.12251293422025131,0.04947689459135241,0.2053063973063973,0.0026,82,40
