tag,note,n_cells,n_ext,n_chem,macro,baseline_heavy,acc_lo,acc_hi,gain,gain_lo,gain_hi,p
thr>=4,topo39 ET BP,321,84,42,0.7912470796399366,0.5436280320208892,0.6677155172413793,0.867948885478146,0.24761904761904763,0.09486363636363637,0.4800161290322581,0.00025
thr>=5,topo39 ET BP,289,82,40,0.7683085207475452,0.5585524231865696,0.629886998289776,0.8499848885446711,0.2097560975609756,0.06964091614906832,0.4237326081457121,0.003
thr>=6,topo39 ET BP,268,77,36,0.768122095873292,0.5940961218473181,0.6175852375176213,0.8489904371297472,0.17402597402597403,0.04493962770417575,0.3818341307814993,0.0075
thr>=8,topo39 ET BP,188,72,33,0.8421296296296296,0.6310185185185185,0.6714258028792912,0.933341121495327,0.2111111111111111,0.07075000000000002,0.41431318681318696,0.0055
thr>=14,topo39 ET BP,45,33,23,0.743939393939394,0.6,0.5714231601731602,0.89375,0.14393939393939395,-0.078125,0.3394004702194357,0.1955
label=OLS,topo39 ET BP,289,82,40,0.7679213740189351,0.5581652764579593,0.6298838622069753,0.8494176170131584,0.2097560975609756,0.06964091614906832,0.4237326081457121,0.003
drop_sc009,topo39 ET BP,124,59,39,0.7287108371854134,0.44396507447354905,0.5883107472237907,0.8405762405231163,0.2847457627118644,0.1,0.4697138047138048,0.004
|amp|>=0.05,"topo39 ET BP, band dropped everywhere",235,73,35,0.832696280127787,0.591600389716828,0.6863684523809523,0.9124457046473313,0.2410958904109589,0.08392495173745175,0.4777941176470589,0.003
|amp|>=0.1,"topo39 ET BP, band dropped everywhere",179,56,28,0.8898526077097506,0.723781179138322,0.7296839488636364,0.959617542065135,0.1660714285714286,0.048713768115942024,0.36668918918918925,0.0085
|amp|>=0.2,"topo39 ET BP, band dropped everywhere",142,47,22,0.8482269503546099,0.7872340425531915,0.607280943627451,0.9537655086848635,0.06099290780141844,-0.03218660201149426,0.18691468253968258,0.182
|amp|>=0.3,"topo39 ET BP, band dropped everywhere",112,35,18,0.8471428571428571,0.7714285714285715,0.6113636363636364,0.9576086956521737,0.07571428571428572,-0.0312530637254902,0.2213194444444445,0.1455
