source,description,across_ligand_rho_mean,across_ligand_rho_min,across_ligand_rho_max,seeds_positive,n_seeds
u_tree_sd,tree-ensemble sd (sibling TREE_MC_ecfp_massaction),0.47527058272785505,0.4219848976861475,0.5127200997155789,5,5
u_tree_sd_mean,"tree-ensemble sd, mean of the 3 TREE_MC arms",0.4418261143685228,0.38513144664364435,0.4700999785572784,5,5
u_model_spread,"deep-ensemble spread, sd over 5 finalists",0.3770853213573447,0.31618613798128836,0.4539093127938842,5,5
u_cond_nn1,"condition space, 1-NN distance to fold train",0.32940358545341175,0.28223734077108087,0.3677993704718381,5,5
u_cond_nn5,"condition space, 5-NN distance to fold train",0.30307764125499903,0.27422270737762916,0.32270140997243923,5,5
u_gp_var_design,RBF-GP LOO variance over the ligand condition axes,-0.12590921865853677,-0.205494437255887,-0.04147826179688058,0,5
u_gp_var_train,RBF-GP variance vs the fold training design,0.30030051305250616,0.27397833768793933,0.32555044060642385,5,5
u_lig_tanimoto,1 - nn_train_tanimoto (ligand-level),0.09230526872822145,0.03366102357722199,0.13163853735841136,5,5
u_lig_mech,mechanistic distance to nearest train ligand (ligand-level),0.25839685584453675,0.179277361505356,0.3135477526833424,5,5
