comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds,budget_M
RANDOM_budget - ORACLE_gain,0.22958043866646585,0.14817155147360805,0.3319836251911169,0.16171327254513268,0.354625028390017,0.21466865495604276,143,94,5,5,29
RANDOM_budget - u_model_spread,0.04278751898665493,-0.031109786117804617,0.09384911115684744,-0.017104745933147016,0.10779563017826167,0.0008183544170399847,143,67,5,5,29
RANDOM_budget - u_tree_sd,0.028379380362211555,-0.045533048061275956,0.08833792367748919,-0.03271067524110208,0.10784967815879536,-0.0003729791691817012,143,59,5,5,29
RANDOM_budget - u_lig_mech,0.024772440506972263,-0.050243402052738036,0.08232963701416476,-0.03569984849850679,0.10037619458602699,0.013592230164134588,143,60,5,5,29
RANDOM_budget - u_tree_sd_mean,0.02157165373424543,-0.05201867850305755,0.07258336993835601,-0.03877783174593408,0.08804116863155335,-0.017527688619835544,143,64,5,5,29
RANDOM_budget - u_cond_nn5,0.018460419301096646,-0.05474308570051142,0.07027126036703399,-0.03880997112995435,0.0899196031797457,-0.03784611888147563,143,59,4,5,29
RANDOM_budget - u_lig_tanimoto,0.011014109193983275,-0.04149678470997225,0.053382020902924036,-0.03688303816455044,0.05691729991763097,0.029053439787500437,143,60,5,5,29
RANDOM_budget - u_cond_nn1,0.010024071624116296,-0.06388693117259159,0.062143314739644094,-0.048043516660077924,0.08204058227490155,-0.04736640880733036,143,59,4,5,29
RANDOM_budget - u_gp_var_design,0.009645756750417265,-0.04039624213504928,0.08302390441514956,-0.03596038546189023,0.095131272893417,0.037513885879906214,143,62,4,5,29
RANDOM_budget - u_gp_var_train,0.005243277711452867,-0.06565299502881042,0.0543784108733898,-0.05061830372317852,0.07234995077087468,-0.054122663459343516,143,57,4,5,29
RANDOM_budget - ORACLE_gain,0.2437652817834833,0.19018872564243444,0.2998597990274132,0.19902245554586664,0.312058733772932,0.2269550689517162,143,134,5,5,72
RANDOM_budget - u_lig_mech,0.029185391748558383,-0.0533522588902347,0.09905052411572081,-0.06679833919742552,0.09128268601525764,0.06205807237911018,143,69,5,5,72
RANDOM_budget - u_model_spread,0.028607356035397644,-0.05137639092439594,0.08240884829707326,-0.0483603093324861,0.08384316843307404,0.01227454784779936,143,80,4,5,72
RANDOM_budget - u_tree_sd_mean,0.019271896456991434,-0.05364426984231939,0.06512763690200894,-0.05268204054580729,0.066528461018759,-0.004413764204006067,143,76,5,5,72
RANDOM_budget - u_tree_sd,0.018096430382127177,-0.0718815247270215,0.07818627786820445,-0.059980121438596816,0.08718833063457848,-0.024521309179808506,143,74,4,5,72
RANDOM_budget - u_cond_nn5,0.011968560126050984,-0.05318449921331209,0.06018725747755736,-0.05504834371131518,0.059067546842378464,0.007169491809726616,143,72,5,5,72
RANDOM_budget - u_lig_tanimoto,0.006225430635511199,-0.09810156613695374,0.06953014322197931,-0.08056419366324577,0.07772130224622278,-0.019247705528204925,143,70,2,5,72
RANDOM_budget - u_cond_nn1,0.006131827919385665,-0.06250444323013593,0.05675394245834658,-0.06416037569487222,0.05526890403207998,-0.000889966061549028,143,69,3,5,72
RANDOM_budget - u_gp_var_train,-0.006146390890685653,-0.07308961196788684,0.03680327269876745,-0.07198121706117427,0.03720557404555726,-0.01490761246558089,143,58,2,5,72
RANDOM_budget - u_gp_var_design,-0.017031854889180444,-0.1224623882585097,0.053717599972213204,-0.11585785915157276,0.0571448645546833,-0.013701250884566628,143,73,1,5,72
