source,quintile,realised_mae,centred_mae,n_ligands
u_tree_sd,1,0.9539808735823143,-0.13006229082297663,91
u_tree_sd,2,1.0194392409868007,-0.06460392341849028,91
u_tree_sd,3,1.1036704763336254,0.019627311928334387,91
u_tree_sd,4,1.1589524845268726,0.07490932012158151,91
u_tree_sd,5,1.18640566512349,0.10236250071819893,91
u_tree_sd_mean,1,0.9254825575441065,-0.1585606068611846,91
u_tree_sd_mean,2,1.0401821572398762,-0.04386100716541487,91
u_tree_sd_mean,3,1.1395636747506908,0.0555205103453997,91
u_tree_sd_mean,4,1.145764515110263,0.0617213507049719,91
u_tree_sd_mean,5,1.1796668959769727,0.09562373157168164,91
u_model_spread,1,1.0555562168207797,-0.028486947584511382,91
u_model_spread,2,1.0528103029372444,-0.03123286146804658,91
u_model_spread,3,1.1029063861917745,0.01886322178648346,91
u_model_spread,4,1.1079618785268195,0.023918714121528576,91
u_model_spread,5,1.1020122753830521,0.017969110977761084,91
u_cond_nn1,1,0.9886348257867664,-0.09656325892888105,91
u_cond_nn1,2,1.0795956425340192,-0.005602442181628312,91
u_cond_nn1,3,1.0790632145429928,-0.006134870172654665,91
u_cond_nn1,4,1.1106782302511442,0.02548014553549656,91
u_cond_nn1,5,1.1624718074880223,0.07727372277237476,91
u_cond_nn5,1,1.0298211351454143,-0.054203765651139886,91
u_cond_nn5,2,1.0548730956635004,-0.02915180513305372,91
u_cond_nn5,3,1.0636929887370417,-0.020331912059512288,91
u_cond_nn5,4,1.0916971662553594,0.007672265458805334,91
u_cond_nn5,5,1.1759909561714936,0.09196605537493957,91
u_gp_var_design,1,1.1078835442135113,0.02384037980822032,91
u_gp_var_design,2,1.0343297073746,-0.049713457030690876,91
u_gp_var_design,3,1.0636758080137778,-0.020367356391513075,91
u_gp_var_design,4,1.079040369602464,-0.005002794802827167,91
u_gp_var_design,5,1.1291292737412018,0.04508610933591065,91
u_gp_var_train,1,0.9985943787019794,-0.08544878570331167,91
u_gp_var_train,2,1.0634831811827539,-0.02055998322253714,91
u_gp_var_train,3,1.13205643509509,0.04801327068979887,91
u_gp_var_train,4,1.074943214554444,-0.009099949850847108,91
u_gp_var_train,5,1.1537856068881525,0.06974244248286142,91
