quantity,within_ligand_rho,ci_low,ci_high,n_cells
abs(r - median r) ranks candidate quality,0.9773812083408635,0.9740865144095493,0.9806671147974262,700
abs(r) ranks candidate quality,0.25496115427979416,0.17778408491511044,0.32138211564283914,700
abs(r) ranks abs(r - median r),0.23255051672669041,0.1506272735807411,0.30058901579686076,700
