source,within_ligand_rho_own_cells,n_cells_own,within_ligand_rho_common_cells,n_cells_common,n_cells_possible
u_tree_sd,0.13860492834447438,696,0.13695489127256621,594,760
u_tree_sd_mean,0.11611989428130115,696,0.11766536910570122,594,760
u_model_spread,0.040060286745425375,700,0.05102922082444494,594,760
u_cond_nn1,0.012400959412013643,598,0.012400959412013645,594,760
u_cond_nn5,0.0194129312655996,685,0.01089317054932266,594,760
u_gp_var_design,0.00956027943710564,700,0.005300450651410579,594,760
u_gp_var_train,0.030393606817480264,700,0.021696082586342577,594,760
