source,decile,mean_u,realised_mae,n
u_tree_sd,1,0.5755010439826374,0.6744509045491499,2624
u_tree_sd,2,0.756477625514256,0.9703952271513882,2624
u_tree_sd,3,0.8478543224164018,1.002805448443242,2624
u_tree_sd,4,0.9281585460441041,1.0790403749738229,2624
u_tree_sd,5,0.9997180156057615,1.1311904977872722,2624
u_tree_sd,6,1.0700307014101356,1.226943363200208,2624
u_tree_sd,7,1.1533324853292886,1.343219279056128,2624
u_tree_sd,8,1.2461817431986395,1.3850822351350396,2624
u_tree_sd,9,1.3786485457250863,1.3551976991365737,2624
u_tree_sd,10,1.6594501150996104,1.421574611480942,2624
u_tree_sd_mean,1,0.5174032119331875,0.6830538445114148,2624
u_tree_sd_mean,2,0.7561181198842939,0.8966305074576912,2624
u_tree_sd_mean,3,0.8636723847924848,1.0740750879860979,2624
u_tree_sd_mean,4,0.9491304197448286,1.0561806927602095,2624
u_tree_sd_mean,5,1.0216730678929622,1.1978518889262249,2624
u_tree_sd_mean,6,1.0886648966824795,1.23979528207287,2624
u_tree_sd_mean,7,1.161914928355946,1.2144997097962031,2624
u_tree_sd_mean,8,1.2471677414981035,1.3444378749867072,2624
u_tree_sd_mean,9,1.3644172224721056,1.4161034159635248,2624
u_tree_sd_mean,10,1.60770108681773,1.467271336452823,2624
u_model_spread,1,0.07762131603219828,0.8917944664932609,2624
u_model_spread,2,0.1299089427043973,1.0037172549591675,2624
u_model_spread,3,0.16568661121656422,1.017923176536712,2624
u_model_spread,4,0.2009652335274352,1.1041905180813396,2624
u_model_spread,5,0.23678738189308668,1.2204378647545282,2624
u_model_spread,6,0.2733224807218518,1.1843884165088738,2624
u_model_spread,7,0.31279982935869194,1.236879870511688,2624
u_model_spread,8,0.3685189159273573,1.2501083507020223,2624
u_model_spread,9,0.47095597559987123,1.2642979715128335,2624
u_model_spread,10,0.7410814384574456,1.4161617508533402,2624
u_cond_nn1,1,0.0,0.855997917152927,2624
u_cond_nn1,2,0.03804585884760342,0.9770212238356952,2624
u_cond_nn1,3,0.6450892514909514,0.8823258115828604,2624
u_cond_nn1,4,1.1675835583427094,1.18475679208648,2624
u_cond_nn1,5,1.5372809456563183,1.2117063783294728,2624
u_cond_nn1,6,2.253826082635383,1.1248696652074612,2624
u_cond_nn1,7,3.0039634756551274,1.4303338432534713,2624
u_cond_nn1,8,3.5322042658298423,1.4471251542091728,2624
u_cond_nn1,9,3.8495261685810362,1.2918587640882635,2624
u_cond_nn1,10,5.640686600173903,1.1839040911679617,2624
u_cond_nn5,1,0.20843557203978036,0.9598908626192023,2624
u_cond_nn5,2,0.6507977319889834,0.8717734446126584,2624
u_cond_nn5,3,1.0662576390033192,0.9924599175165141,2624
u_cond_nn5,4,1.4301832381967114,1.1297156796549872,2624
u_cond_nn5,5,1.798661507470519,1.1543401997520464,2624
u_cond_nn5,6,2.5450602375898836,1.2558246556284074,2624
u_cond_nn5,7,3.3560635921224318,1.539637040662576,2624
u_cond_nn5,8,3.7632617198997504,1.2671869678380538,2624
u_cond_nn5,9,4.207809776332936,1.2654969646944743,2624
u_cond_nn5,10,14.338881441830326,1.1535739079348464,2624
u_gp_var_design,1,5.374343949580848e-06,1.2922966161453004,2624
u_gp_var_design,2,1.1906051286688332e-05,1.1378563211215584,2624
u_gp_var_design,3,3.1650028623998696e-05,1.1793584136776567,2624
u_gp_var_design,4,6.962647144381452e-05,1.204403544458244,2624
u_gp_var_design,5,0.000113334048845523,1.212524065632557,2624
u_gp_var_design,6,0.00019414814837642548,1.190048575386627,2624
u_gp_var_design,7,0.0003276484072965186,1.229726227424404,2624
u_gp_var_design,8,0.0005089370262953019,1.137843806164304,2624
u_gp_var_design,9,0.0009064072675301046,1.0071976905791173,2624
u_gp_var_design,10,0.06463135499334365,0.9986443803239968,2624
u_gp_var_train,1,8.329235158204774e-05,0.9530311418479896,2624
u_gp_var_train,2,0.00025296160905000027,0.9862989723859509,2624
u_gp_var_train,3,0.0006862476217721965,1.0151205652323867,2624
u_gp_var_train,4,0.0016442415655184195,1.1167359633145604,2624
u_gp_var_train,5,0.005211675933178704,1.0410992477359007,2624
u_gp_var_train,6,0.018994160854317446,1.3294720365057127,2624
u_gp_var_train,7,0.041898700432236834,1.4383258066768176,2624
u_gp_var_train,8,0.05377762263331869,1.5160744008623896,2624
u_gp_var_train,9,0.12102029752306573,1.1388783107796752,2624
u_gp_var_train,10,0.24986927403979586,1.0548631955723826,2624
u_lig_tanimoto,1,0.31326535497338104,1.0610995656687465,2624
u_lig_tanimoto,2,0.3142857142857143,1.125896038221229,2624
u_lig_tanimoto,3,0.31768478933614525,1.1853265008120648,2624
u_lig_tanimoto,4,0.3227375935130149,1.3219230357712513,2624
u_lig_tanimoto,5,0.3258155025000456,1.109580945328277,2624
u_lig_tanimoto,6,0.34260999655197444,1.2142092115824676,2624
u_lig_tanimoto,7,0.35926701233810504,0.792935704830631,2624
u_lig_tanimoto,8,0.4229585375859582,0.9399782022940943,2624
u_lig_tanimoto,9,0.49725661381246783,1.2664387343191406,2624
u_lig_tanimoto,10,0.6287477979612794,1.5725117020858637,2624
u_lig_mech,1,0.11616499046627267,0.9922283429283956,2624
u_lig_mech,2,0.15603841014972042,1.2449710308906137,2624
u_lig_mech,3,0.1576239295762335,1.1614620250181373,2624
u_lig_mech,4,0.166625415845715,1.2736168701608508,2624
u_lig_mech,5,0.27060226506255564,0.8800370516159337,2624
u_lig_mech,6,0.47726786324833737,1.1249850882064931,2624
u_lig_mech,7,0.599008949915689,1.0190631669948758,2624
u_lig_mech,8,0.8861800112146343,1.104376380874265,2624
u_lig_mech,9,1.558881844597243,1.52563838999427,2624
u_lig_mech,10,5.15729849061567,1.2635212942299314,2624
