arm,macro_mae,macro_pctile,n_ligands,seed_104729,seed_130363,seed_155921,seed_196613,seed_262147,macro_centrality
ORACLE_LEVEL(best constant),0.4796199022594993,,143,0.47716169517023344,0.4925442833810755,0.4691838145919406,0.4808351336639634,0.47837458449028336,
ORACLE_MIN_MEDIAN_DEV,0.5220128262307815,0.5026802848273673,143,0.5193586776310871,0.5351057863312033,0.5104997477844055,0.5242531657271579,0.5208467536800535,0.03291799903688629
ORACLE_1SHOT,0.5220128262307815,0.49858573640300236,143,0.519358677631087,0.5351057863312033,0.5104997477844054,0.5242531657271579,0.5208467536800535,0.03296170533059259
MIN[u_gp_var_design],0.6390592644641239,0.536880536528646,143,0.6218606938271409,0.6563636657129173,0.6311538150352334,0.6494122493098734,0.6365058984354542,0.21703518971653388
MIN[u_gp_var_train],0.6746421495894128,0.48857002363944635,143,0.6742179642153905,0.6965430468049635,0.6569344715501674,0.6638410646488603,0.6816742007276828,0.23656694578515838
MIN[u_cond_nn5],0.6985632166071,0.491007150616135,143,0.6787823423025022,0.7183639276192344,0.6765305909525298,0.7178611561192604,0.7012780660419733,0.25147897066222513
MAX[u_lig_mech],0.7030330244712223,0.49672038930803997,143,0.644407411127259,0.7632166221119798,0.6825696660556138,0.7307475491137347,0.6942238739475235,0.241666555848426
MIN[u_cond_nn1],0.7080378077396139,0.4913501121176668,143,0.6882226025194952,0.7283268080982968,0.6594889618665315,0.7385676053956076,0.7255830608181386,0.25347794590804057
RANDOM(expected),0.7091537049325158,,143,0.7050779037393783,0.7259174295156238,0.6935889538682654,0.7143234448677308,0.706860792671581,
MAX[u_lig_tanimoto],0.7128947320864151,0.48646197544939984,143,0.6886763680531927,0.7673515457683381,0.7053737360390518,0.6924396229346206,0.7106323876368721,0.25304365681902274
MIN[u_lig_tanimoto],0.7179048541484119,0.5193289527059695,143,0.7070553357465121,0.7587740488972904,0.6983631148684911,0.7155809249486594,0.7097508462811064,0.2515024689955924
MIN[u_lig_mech],0.7216592908734092,0.5049905910669258,143,0.7161595807734824,0.7182770518951043,0.7465989833679126,0.7300507773018812,0.6972100610286657,0.24994049709728647
MIN[u_tree_sd_mean],0.7270693243547323,0.4496821050089673,143,0.7639001527313927,0.722003950707573,0.7155224788025276,0.6974281301674365,0.7364919093647315,0.26847263596620735
MIN[u_tree_sd],0.7522165232299272,0.45676307857202236,143,0.8088126018493728,0.760417797729323,0.7011387729447428,0.7243700747777083,0.7663433688484889,0.2762271428235419
MAX[u_cond_nn1],0.77204126756846,0.49864646376265775,143,0.7489090081193966,0.7973387477142491,0.7620264004277536,0.7963853955031894,0.7555467860777115,0.2738237617473553
ORACLE_MIN_ABS_RESID,0.7795951921446175,0.4658926612324762,143,0.790966346914553,0.7756904188117852,0.7737069504047387,0.7713790542308767,0.786233190361134,0.3090734616801182
MIN[u_model_spread],0.796407886719429,0.46111564616306966,143,0.7473868146298337,0.7875314394261368,0.774892827817965,0.8307354856125867,0.841492866110623,0.2863934740801581
MAX[u_tree_sd_mean],0.8007009300684881,0.5110346373065362,143,0.780987566842633,0.813882961391549,0.7922411598695651,0.8002117057095358,0.8161812565291573,0.29547226413019134
MAX[u_model_spread],0.8029688277465643,0.525885616329129,143,0.7736758037740926,0.8453044760548222,0.78536263758484,0.8230611036467153,0.7874401176723513,0.30012168394768013
MAX[u_tree_sd],0.804614239201588,0.5111324750811882,143,0.7432993052915138,0.857277500978827,0.794669301751247,0.8027860474494647,0.8250390405368876,0.30095929754825956
MAX[u_cond_nn5],0.8981909074446475,0.4768437140700282,143,0.8897132809018257,0.959348764017002,0.855146517916701,0.8900699454121773,0.8966760289755308,0.29765526324805347
MAX[u_gp_var_train],0.9029197925645063,0.4837723371195778,143,0.8968254023965238,0.9603465666605938,0.8731422625484868,0.8869959591827037,0.8972887720342231,0.32683621620465964
MAX[u_gp_var_design],0.9769018422979471,0.42454396547478146,143,0.9775598094993948,0.9958295020016591,0.946268678919333,0.9954375113443511,0.9694137097249973,0.3421907047857186
ZERO_SHOT,0.9951517478301956,,143,1.0056866119763195,0.9884264550821857,0.9686463556374347,0.9827329785251543,1.0302663379298838,
ORACLE_MAX_ABS_RESID,1.1215827539498766,0.5475962655506462,143,1.1259116577188393,1.1514589272981126,1.094169895672833,1.127505203674372,1.1088680853852264,0.4528379839626173
WORST_1SHOT,1.3247464251955468,0.4381772221609673,143,1.3159321396355257,1.3570888121572398,1.2989400310127224,1.337482638056454,1.3142885051157929,0.4528379839626173
