source,description,rho_vs_gain_from_one_shot,seeds_positive_gain,rho_vs_zero_shot_mae,seeds_positive_zero
u_tree_sd,tree-ensemble sd (sibling TREE_MC_ecfp_massaction),0.12199253283110498,5,0.505030854076107,5
u_tree_sd_mean,"tree-ensemble sd, mean of the 3 TREE_MC arms",0.09437030870916134,5,0.4818671021075335,5
u_model_spread,"deep-ensemble spread, sd over 5 finalists",0.15169129981086282,5,0.41856414263167885,5
u_cond_nn1,"condition space, 1-NN distance to fold train",-0.02673854154695691,1,0.3331937416182746,5
u_cond_nn5,"condition space, 5-NN distance to fold train",-0.030427637293740102,1,0.3010227790510375,5
u_gp_var_design,RBF-GP LOO variance over the ligand condition axes,0.007095029836290181,4,-0.14851619382568718,0
u_gp_var_train,RBF-GP variance vs the fold training design,-0.11035505755937577,0,0.3113258118169509,5
u_lig_tanimoto,1 - nn_train_tanimoto (ligand-level),0.07367526711649555,5,0.10278706708344239,5
u_lig_mech,mechanistic distance to nearest train ligand (ligand-level),0.12735146722863208,5,0.26675681274461555,5
