curve_type,n_curves,n_rows,n_ligands,n_chemotypes,median_points,median_linear_r2,median_slope,iqr_slope,median_y_span,pct_monotone
metal_series,386,3094,89,44,7.0,0.8849558623762052,0.08700013490894615,"[0.02, 0.18]",0.9229456873751292,43.523316062176164
acid,496,2751,74,41,5.0,0.9182068490638204,1.5725470512212572,"[0.76, 2.28]",1.7319543536951447,63.10483870967742
extractant,241,1078,27,10,4.0,0.9964335769359088,2.3052811009604786,"[1.96, 2.99]",1.540733639767417,80.08298755186722
temperature,35,149,6,3,4.0,0.9890170833269013,-0.039807600429534504,"[-0.05, -0.03]",1.129840546697056,85.71428571428571
metal_concentration,10,85,4,1,7.0,0.7662384418224122,-1.1399111282011565,"[-1.51, -0.07]",0.8870254889452289,30.0
contact_time,8,50,8,3,5.5,0.1646628381999693,0.00014296899524398737,"[-0.00, 0.00]",0.06287846248431395,12.5
