arm,n_rows,n_extractants,equal_extractant_macro_mae,pooled_micro_mae,median_extractant_mae,worst_quartile_extractant_mae,fraction_extractants_improved_vs_A2,extractants_improved_vs_A2,pooled_r2,equal_extractant_macro_r2,median_extractant_r2,extractants_in_r2_metrics,pearson_squared_scale_free,prediction_dispersion_ratio,adjacent_ln_mae,nonadjacent_ln_mae,sign_accuracy,pooled_statistics_are_row_weighted,split_seed,within_pair_r2,median_pair_level_r2
A2_refit,6699,34,0.31599692310467087,0.41680820939669055,0.27215969802912343,0.5772784712722846,0.0,0,0.32530555767163083,-0.5560048027429779,0.5605311751139597,31,0.37236536873050324,0.7569578980746913,0.1188505449315415,0.47414039794899143,0.8435587401104643,True,104729,-0.06937048059400897,-0.17640502416286674
A2_lig2d,6699,34,0.3111713049250621,0.39889667833121645,0.264058253989034,0.5766486165639595,0.47058823529411764,16,0.3884317026064872,-0.6229389874512861,0.5052323061168617,31,0.4201408156098718,0.6796504276381353,0.11363714127045946,0.453785528377973,0.8563964770861323,True,104729,0.1073054122675502,-0.10636063685949848
PRIOR,6699,34,0.30618799839587935,0.3986705564543003,0.27680902011430997,0.5602929346315779,0.6176470588235294,21,0.37255297529205955,-0.38192846101662425,0.6017775600676953,31,0.4057190615564264,0.7404460620172274,0.11531215564967,0.453193595128171,0.851619644723093,True,104729,-0.037704623000431425,-0.13294241968533838
PRIOR_lig2d,6699,34,0.3141168377165779,0.4011263190694644,0.2764668163189231,0.5660488175218712,0.5,17,0.38596857262605744,-0.6059217589454023,0.4962281488064054,31,0.41889455128862685,0.6735586207863307,0.11468096321896824,0.456243341083417,0.8525153007911629,True,104729,0.11567789869482537,-0.09278693504338054
SCALE_s50,6699,34,0.3070819771183428,0.46620146676667823,0.26219791217030486,0.5835705365199557,0.5882352941176471,20,0.10134640322671318,-0.8054470261277534,0.5272601248822324,31,0.25500421938467294,0.809893996442151,0.12518327561827858,0.5318192425999675,0.767577250335871,True,104729,-0.24150690750982196,-0.44534744969961904
A2_refit_TP,6699,34,0.31554325192264365,0.4165382298661248,0.2737319813413515,0.5746820946647838,0.5882352941176471,20,0.3289723792345369,-0.5427772432396297,0.5646521623827034,31,0.3742339094125387,0.7535192827281735,0.12246466366782546,0.47312305098758467,0.8420659799970145,True,104729,-0.06605147745801432,-0.21421439992691305
A2_lig2d_TP,6699,34,0.30918137685526087,0.398476199334705,0.2690059464346536,0.5707796437373446,0.4411764705882353,15,0.39061129828111574,-0.6140577721404242,0.5181269415424214,31,0.4246199380667628,0.6840105807025376,0.11550260776537674,0.45292519408131304,0.8586356172563069,True,104729,0.11090040006441149,-0.10768222987997622
PRIOR_TP,6699,34,0.3041848349275104,0.3984562688817094,0.27810479298008944,0.5581923540359576,0.6176470588235294,21,0.3754207309595611,-0.36934619027866883,0.6033501402631554,31,0.4101003976831598,0.7433409781083814,0.11861114210856363,0.45230329309704764,0.8468428123600538,True,104729,-0.0348611183017129,-0.12475666939869057
PRIOR_lig2d_TP,6699,34,0.31191005073817113,0.4006438400766651,0.2795425247079334,0.5629040188701737,0.5294117647058824,18,0.3881744868604011,-0.5957294196282145,0.5016584305745544,31,0.4246551410566293,0.6806842486573322,0.11529894522509222,0.4555491144331175,0.8499776085982983,True,104729,0.11946775276181953,-0.12795646008057227
SCALE_s50_TP,6699,34,0.3060262344701007,0.46355499774562214,0.2654743377196076,0.5839596293373787,0.5882352941176471,20,0.10457801918676946,-0.795806613333175,0.5311168649307743,31,0.25404814446519997,0.8051323761445747,0.12492465028377484,0.5287133113102817,0.7751903269144649,True,104729,-0.23896733327623654,-0.43645256828645884
A2_run,6699,34,0.3164422949099717,0.4155549170373346,0.27454923869333925,0.5794627656642568,0.4411764705882353,15,0.32497446643281624,-0.535718085102144,0.5574055304368588,31,0.3715585192193731,0.7509346747695284,0.1163886453836073,0.4731196624374199,0.8450515002239141,True,104729,-0.06650776184732576,-0.17459654645105327
A2_run_TP,6699,34,0.3161718193082467,0.4160798851816205,0.27527338023876957,0.5777392566010645,0.4411764705882353,15,0.328477753809164,-0.5234572056616985,0.563248049481542,31,0.3741219176373891,0.7490558542094995,0.12123356448751721,0.4728133975828888,0.8420659799970145,True,104729,-0.06274260027230172,-0.22488461795201808
PAIRMEAN_baseline,6699,34,0.453040823865695,0.3860344773582971,0.3655566360358,0.7868713025621753,0.29411764705882354,10,0.43695091389346363,-1.488606282355384,0.27662618232334923,31,0.43792072343585786,0.6878057324677831,0.12117705394929565,0.436997609203283,0.8508732646663681,True,104729,0.0,-0.11457598550603754
A2_refit,6699,34,0.3101580063998229,0.4168203208858297,0.27594358348496256,0.5513659186016429,0.0,0,0.32771326181152605,-0.845670681830261,0.5639313130939015,31,0.37495317466192724,0.7455454257370117,0.12016174034344504,0.4739025433077447,0.8465442603373637,True,130363,-0.0531941769561981,-0.17851631280107494
A2_lig2d,6699,34,0.3323690719834042,0.4165633589779247,0.3130448160951792,0.5725071910388748,0.2647058823529412,9,0.35151360532329534,-1.0660525470518991,0.4789448884117281,31,0.39097706092424955,0.6763114073841537,0.11698020291896552,0.474208320120633,0.8537095088819227,True,130363,0.07161958108307542,-0.17137945439420044
PRIOR,6699,34,0.31139869123658664,0.4040198188211442,0.27181959785182985,0.5495524985012912,0.5294117647058824,18,0.3681124912349302,-0.7625989314329178,0.549498552350032,31,0.4016798022026247,0.729483567226824,0.11629643233224678,0.45938275595081635,0.8529631288251978,True,130363,-0.027940718587840863,-0.12740827325020176
PRIOR_lig2d,6699,34,0.333174271910812,0.41787839518528364,0.2833680099203839,0.5797039987568978,0.2647058823529412,9,0.34292996675754917,-1.1380201816975999,0.4326879404435775,31,0.3813388475505263,0.688850879538074,0.11674474628171881,0.47582169786679906,0.8574414091655471,True,130363,0.054863748549461855,-0.15193898726969146
SCALE_s50,6699,34,0.3476606158083826,0.48551481385683753,0.3034876439561389,0.6229411395148947,0.3235294117647059,11,0.06988637681073762,-1.200048711257237,0.5618594686350217,31,0.24085743148665678,0.8126812183803578,0.12829871028199943,0.5542493471363678,0.7683236303925959,True,130363,-0.30169580165662446,-0.5210998229508408
A2_refit_TP,6699,34,0.3078138620255388,0.4158763261582521,0.27815118856203214,0.5515523330354128,0.6764705882352942,23,0.3315112290472616,-0.8365581191345303,0.5647732027334648,31,0.37764927893303984,0.74321125946389,0.12187875757035758,0.47244652403000614,0.8474399164054337,True,130363,-0.049642748453629704,-0.19021705561395552
A2_lig2d_TP,6699,34,0.33038025456984615,0.41627837583561517,0.3158329370869102,0.5696523071024173,0.2647058823529412,9,0.3539962631640209,-1.0560055264864048,0.4824010018142294,31,0.3950846329129032,0.6786122006847788,0.11900545632529233,0.47347880766022515,0.8560979250634423,True,130363,0.07506933576308805,-0.1789784798157772
PRIOR_TP,6699,34,0.30950977151923403,0.40434072196485343,0.2698840122624364,0.5470847020919032,0.5882352941176471,20,0.37102905876315573,-0.7549364611201155,0.5575308992424669,31,0.4060059248814273,0.7320155149342897,0.1190518098434221,0.45923522427942576,0.8511718166890581,True,130363,-0.024605112315162936,-0.11543579523860203
PRIOR_lig2d_TP,6699,34,0.331772386339491,0.41838254538041053,0.28799398630365713,0.5787118428148861,0.35294117647058826,12,0.345261934650121,-1.1284128961440179,0.4473714712363829,31,0.38623472203703785,0.6933489892679843,0.11878011159804507,0.4760312158892636,0.8562472010747872,True,130363,0.0577236173054132,-0.19450781077781265
SCALE_s50_TP,6699,34,0.34641630832494325,0.4823321949317431,0.30352502607561305,0.6203918414017393,0.29411764705882354,10,0.07327560712015069,-1.1923486779668124,0.5663703428616722,31,0.23935884045711459,0.8072922498335868,0.12788766094242526,0.5505334304679577,0.7753396029258098,True,130363,-0.29890538258597,-0.5503372380205862
A2_run,6699,34,0.3103453516775655,0.41585534342754854,0.2677531922768207,0.5507460752989823,0.5,17,0.3293963478164008,-0.8699892750166257,0.5554678416123533,31,0.3745228223634445,0.7411364654736348,0.11872562223929796,0.47302822142763723,0.8475891924167787,True,130363,-0.04432924968643892,-0.15663799086847607
A2_run_TP,6699,34,0.30779765208640103,0.4154153258078627,0.27036777767470443,0.5504722548070284,0.5588235294117647,19,0.3332580468922952,-0.8605111277251855,0.5609025843721159,31,0.378137150925941,0.7403575185191273,0.1214538050005342,0.4719785874655207,0.8477384684281236,True,130363,-0.04038020278915799,-0.20740078084641045
PAIRMEAN_baseline,6699,34,0.45071441935848994,0.38573934722004,0.3572546913425108,0.7915104019326513,0.29411764705882354,10,0.4392303110597373,-1.573894427871252,0.24290038097712796,31,0.4402304412475193,0.6906251931338918,0.12239510631871088,0.4364113166779141,0.8480370204508135,True,130363,0.0,-0.10866271046562459
A2_refit,6699,34,0.31437698636399364,0.41727143016138635,0.27998917269669976,0.5654447560610829,0.0,0,0.32933331266729227,-0.8173596996127664,0.5558185495995323,31,0.37582174417820435,0.7373023533045241,0.11857919212477162,0.474744963325783,0.8465442603373637,True,155921,-0.052286380333682825,-0.16229005432961996
A2_lig2d,6699,34,0.3232648995300065,0.4074487390462928,0.2530379136562627,0.5703832468913846,0.35294117647058826,12,0.37355352247785356,-0.966922940390713,0.39279179958386023,31,0.4095024973451873,0.6804788719263413,0.116353326194492,0.46346051214931816,0.851918196745783,True,155921,0.09698919956017149,-0.14823821023428851
PRIOR,6699,34,0.3181844483804117,0.4059522777096431,0.30323219688535186,0.5518528030832089,0.5,17,0.36928070764108945,-0.6349939789380977,0.5231749278577844,31,0.40426956934595737,0.7279361964981309,0.11606472316079328,0.46173163806338224,0.8525153007911629,True,155921,-0.03374480913927025,-0.1314148508349342
PRIOR_lig2d,6699,34,0.32829935034338475,0.4138506409613035,0.2518998177780914,0.5868738235367021,0.38235294117647056,13,0.34965353048834014,-1.1169222021459797,0.4421501763032939,31,0.38694485345583207,0.6870389737524171,0.1175391580740201,0.4708660758137694,0.8560979250634423,True,155921,0.06679689251210474,-0.15520772551098472
SCALE_s50,6699,34,0.35098020684528103,0.4892832043557634,0.2992736888003684,0.64408965914705,0.29411764705882354,10,0.05308708799670403,-1.685223899249988,0.4527112463748242,31,0.22684160477183057,0.8100971618596711,0.12905002688314268,0.5585982746384088,0.7689207344379758,True,155921,-0.2852538097923125,-0.54539935609234
A2_refit_TP,6699,34,0.3123229474971295,0.41621076223667514,0.28143459973677304,0.5641876485942195,0.7352941176470589,25,0.33303725913318927,-0.8067192689094053,0.5700900328087171,31,0.37877257863629893,0.7354818146782824,0.12138352925263154,0.4729406018336404,0.8469920883713987,True,155921,-0.04932264998398517,-0.18591012204025614
