arm,equal_extractant_macro_mae,pooled_micro_mae,median_extractant_mae,worst_quartile_extractant_mae,pooled_r2,equal_extractant_macro_r2,median_extractant_r2,pearson_squared_scale_free,prediction_dispersion_ratio,adjacent_ln_mae,nonadjacent_ln_mae,sign_accuracy,within_pair_r2,median_pair_level_r2,macro_mae_split_sd,mean_delta_vs_A2_refit,positive_split_seeds,split_seed_count,per_seed_delta
PRIOR_TP,0.3144642182695635,0.4054317032455693,0.29072877053478063,0.5524497393625998,0.36872966220133974,-0.624151004503187,0.5438785675934878,0.4046560027598403,0.7318395999063858,0.11901093399550111,0.4605439943739644,0.8497984773846843,-0.026527256073918214,-0.1280075546889731,0.00849106720872234,0.004311865551669935,4,5,+0.0118;+0.0006;-0.0009;+0.0055;+0.0045
PRIOR,0.3168336723820599,0.4056014033975758,0.2919182603461752,0.5554998259258259,0.3657888057237091,-0.6358534922224606,0.5389021473527762,0.40019479833868027,0.7291265833621173,0.11605530379289411,0.4613150619366754,0.8529332736229287,-0.030114567604043564,-0.13405970213016416,0.008907312445399,0.0019424114391735636,3,5,+0.0098;-0.0012;-0.0038;+0.0035;+0.0015
A2_refit_TP,0.3171976890263167,0.4191089315478152,0.28422579169304013,0.5661996616446039,0.32564586722351435,-0.7764863168167542,0.5428478735877083,0.37232585135762275,0.7415637652123862,0.12203549345538492,0.4762709797104918,0.8463352739214809,-0.055504649882052705,-0.20814727312149386,0.008317627508761787,0.001578394794916793,5,5,+0.0005;+0.0023;+0.0021;+0.0011;+0.0020
A2_run_TP,0.3174635416663392,0.41867087600805186,0.2790776846136209,0.5662006452413497,0.3268786766797634,-0.7784364057149705,0.5367993184232892,0.37320611737891757,0.7397888921754656,0.12137798770627257,0.47587515017220694,0.8463352739214809,-0.0504456716243646,-0.21915393404782724,0.007911405767963516,0.0013125421548942473,4,5,-0.0002;+0.0024;+0.0012;+0.0002;+0.0030
A2_refit,0.31877608382123346,0.4198691035511081,0.2834872125016266,0.567859371012947,0.3219804808350417,-0.7870217339300691,0.5386657361822502,0.36998338072449904,0.744260047222322,0.11915482471888472,0.47773171220501237,0.8458277354829079,-0.05923251243735721,-0.17554019223428688,0.008205125676425411,0.0,0,5,+0.0000;+0.0000;+0.0000;+0.0000;+0.0000
A2_run,0.31922069395861274,0.4189101707708727,0.27800246389707434,0.5676522092109534,0.32326106027273716,-0.78896574606945,0.5312858816868895,0.3701365825851525,0.7410818413080075,0.11755850331747515,0.47689542397790774,0.8470517987759367,-0.05462800371639487,-0.17327678263242158,0.007793789072016498,-0.0004446101373792977,1,5,-0.0004;-0.0002;-0.0013;-0.0010;+0.0007
A2_lig2d_TP,0.3250309978387306,0.4111291658156122,0.27748375413444304,0.5753338114300319,0.3631713292588031,-0.9122371170291999,0.4446687108494429,0.4024782446844575,0.6800955024777391,0.11757395007520392,0.4676142473776239,0.8569935811315121,0.08022688270193609,-0.16489452923828152,0.015169307975796147,-0.006254914017497093,2,5,+0.0068;-0.0202;-0.0067;+0.0059;-0.0171
A2_lig2d,0.3268657380135545,0.4112590505641987,0.2755481125480888,0.5773924107775622,0.36075946832702793,-0.9227035940135592,0.4314933313262115,0.39798889883105476,0.676670104907142,0.11557790268914551,0.46815319809943057,0.8550529929840275,0.07687119761306553,-0.1558684859185279,0.014922496166993895,-0.00808965419232106,2,5,+0.0048;-0.0222;-0.0089;+0.0042;-0.0183
PRIOR_lig2d_TP,0.32694117488298496,0.41368154958074366,0.2700361290911588,0.580704223322085,0.3534703281773795,-0.9671989830270006,0.45401905046959073,0.3947966532256114,0.683467654418459,0.11745404764640596,0.47068082505084313,0.8543364681295715,0.07325875679969987,-0.18255049878640536,0.012619133276753694,-0.008165091061751529,2,5,+0.0041;-0.0216;-0.0117;+0.0023;-0.0139
PRIOR_lig2d,0.32881292773879756,0.4137791094185717,0.27121936502419974,0.5823580842691436,0.35101979249951115,-0.9790084569247878,0.43752108960656544,0.38922935529762337,0.6778908332435274,0.11633375377567964,0.4710127209262197,0.8568144499178981,0.0693750537467029,-0.14173643585693263,0.01239015923068359,-0.01003684391756413,2,5,+0.0019;-0.0230;-0.0139;+0.0004;-0.0156
SCALE_s50_TP,0.3423381760929631,0.4805689281233015,0.3005638261018791,0.6264614853217789,0.07014893853070989,-1.33155059304982,0.4663217629758334,0.23469210698379542,0.8007770810257304,0.127294307547615,0.5485450521607378,0.774175250037319,-0.2760745353376658,-0.523901653242054,0.024339143285422145,-0.023562092271729652,1,5,+0.0100;-0.0363;-0.0356;-0.0143;-0.0417
SCALE_s50,0.3433419554224156,0.48357014744393834,0.3005139291367361,0.6266932476003868,0.06688293165308683,-1.3401047787113494,0.4598914099205601,0.2361820181742754,0.8060736324798435,0.1277493042891709,0.5520362085778479,0.7669502910882221,-0.27859101763268335,-0.5161864289537121,0.02432338751769564,-0.02456587160118211,1,5,+0.0089;-0.0375;-0.0366;-0.0150;-0.0426
PAIRMEAN_baseline,0.4481814482251588,0.3825171013638665,0.3656292623153095,0.7879740045087898,0.4444868188946899,-1.5040035162548848,0.23435516258837677,0.4453427254899611,0.6914573955515713,0.12148867661031881,0.4327434678926285,0.8498581877892223,-4.4408920985006264e-17,-0.1014418151180291,0.003913768080884249,-0.1294053644039254,0,5,-0.1370;-0.1406;-0.1294;-0.1266;-0.1134
