comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_candidate_better,extractants_improved,extractants_total,bootstrap_replicates,bootstrap_seed,bootstrap_unit,positive_delta_means_improvement,multiplicity_preserved
A2_refit_vs_A2_lig2d,A2_refit,A2_lig2d,-0.008089654192321027,-0.023493674587220015,0.007813665497031922,0.1434,13,34,5000,8675309,extractant,True,True
A2_refit_vs_PRIOR,A2_refit,PRIOR,0.001942411439173604,-0.007039728148559676,0.010749396833952398,0.666,17,34,5000,8675309,extractant,True,True
A2_refit_vs_PRIOR_lig2d,A2_refit,PRIOR_lig2d,-0.01003684391756411,-0.026578558950626288,0.006608290395775982,0.1086,13,34,5000,8675309,extractant,True,True
A2_refit_vs_SCALE_s50,A2_refit,SCALE_s50,-0.024565871601182076,-0.04881236287736863,0.0013869973243370612,0.0306,13,34,5000,8675309,extractant,True,True
A2_refit_vs_A2_refit_TP,A2_refit,A2_refit_TP,0.0015783947949168217,-0.00011980258318969844,0.0033629581209468407,0.9642,23,34,5000,8675309,extractant,True,True
A2_refit_vs_A2_lig2d_TP,A2_refit,A2_lig2d_TP,-0.006254914017497067,-0.02159058881456251,0.009836742511944845,0.1994,11,34,5000,8675309,extractant,True,True
A2_refit_vs_PRIOR_TP,A2_refit,PRIOR_TP,0.004311865551669967,-0.0043150275584922515,0.012840035592956373,0.8398,18,34,5000,8675309,extractant,True,True
A2_refit_vs_PRIOR_lig2d_TP,A2_refit,PRIOR_lig2d_TP,-0.008165091061751506,-0.024481424795989037,0.008683144936007532,0.1492,13,34,5000,8675309,extractant,True,True
A2_refit_vs_SCALE_s50_TP,A2_refit,SCALE_s50_TP,-0.023562092271729635,-0.04799062545446082,0.002580821092780342,0.0362,13,34,5000,8675309,extractant,True,True
A2_refit_vs_A2_run,A2_refit,A2_run,-0.00044461013737929307,-0.0017278481624837074,0.0007393870943153836,0.2478,13,34,5000,8675309,extractant,True,True
A2_refit_vs_A2_run_TP,A2_refit,A2_run_TP,0.0013125421548942594,-0.0009380186212947249,0.00360651594224176,0.88,23,34,5000,8675309,extractant,True,True
A2_refit_vs_PAIRMEAN_baseline,A2_refit,PAIRMEAN_baseline,-0.12940536440392536,-0.19358400476039062,-0.06745310696740306,0.0,11,34,5000,8675309,extractant,True,True
