extractant,chemotype,n_publications,n_cells,mean_amp,between_publication_sd,within_publication_sd,range_of_publication_means,direction_flips_between_labs
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,sc009,3,4,-0.2600410324986765,0.03299457990065388,0.0,0.06566895237203135,False
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,sc009,2,11,-0.05578616328538173,0.2012724861625188,0.08999902706769339,0.2846422796635852,True
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,5,27,-0.6453826421271317,0.262282459076277,0.3546534529814773,0.6264959946438995,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,10,63,-0.3255745912705605,0.34613204421316895,0.19771383659305264,0.9412564385849689,True
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,sc061,2,16,-0.6836791670144732,0.005245312217107124,0.1510164083401209,0.007417991676314184,False
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,sc009,2,5,-0.4749290822009562,0.2247570058731796,0.08933895790430818,0.31785440594421993,False
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,sc076,3,11,-0.062445406491785004,0.12669739175203776,0.07978615302001311,0.22750297961246052,False
