budget,draw,k_actual,n_cells,arm,macro_mae,macro_mae_far,sign_acc
6,0,6.0,97.88784843205575,MEAN_CURVE,0.5952616131527287,0.7819587104648087,0.49240016034021633
6,0,6.0,97.88784843205575,G14,0.6202907578851105,0.8287243387009438,0.5546009370355944
6,1,6.0,135.28611815573942,MEAN_CURVE,0.5848304073069196,0.7803642409423622,0.512743205824449
6,1,6.0,135.28611815573942,G14,0.6253940364693985,0.8394374302735363,0.5614545339859531
6,2,6.0,68.68913313977603,G14,0.6113878719116714,0.8243189992395796,0.6855596880676859
6,2,6.0,68.68913313977603,MEAN_CURVE,0.6173160556134558,0.8366313962307717,0.563683039084822
6,3,6.0,113.24440122583687,G14,0.5941813551642311,0.7724536989448321,0.6650906764081135
6,3,6.0,113.24440122583687,MEAN_CURVE,0.6706899886789838,0.8993558858061235,0.4153397671236073
9,0,9.0,75.1127007693346,G14,0.553038782443745,0.7473990997271759,0.7542616009686871
9,0,9.0,75.1127007693346,MEAN_CURVE,0.6554259727785616,0.9183535691258384,0.4289018250323887
9,1,9.0,51.89770097442144,G14,0.602590127071989,0.807768336084755,0.7046745511053969
9,1,9.0,51.89770097442144,MEAN_CURVE,0.6627522891378586,0.9149533749105597,0.4989303180064564
9,2,9.0,65.24363250883393,G14,0.6102737999643211,0.8374101817950945,0.65099185693081
9,2,9.0,65.24363250883393,MEAN_CURVE,0.6209880781967299,0.8572548799101005,0.5063427387714841
9,3,9.0,88.33023381034234,MEAN_CURVE,0.6328641708270651,0.8568673728511271,0.4483298232099494
9,3,9.0,88.33023381034234,G14,0.6335492588379081,0.86361374249948,0.6465125164184327
12,0,12.0,115.40860777385159,G14,0.5695749643802003,0.7645294988642881,0.7094854615308153
12,0,12.0,115.40860777385159,MEAN_CURVE,0.6200646489513814,0.8500802062457836,0.5422971468644189
12,1,12.0,87.53212142348548,G14,0.5615012963398806,0.7714604829175576,0.7256348900412528
12,1,12.0,87.53212142348548,MEAN_CURVE,0.6090231647636019,0.8439231993315268,0.5371607616943941
12,2,12.0,69.61907165935841,G14,0.5522849829553996,0.7358586902208478,0.7732601069361719
12,2,12.0,69.61907165935841,MEAN_CURVE,0.6701397447931543,0.9303141936663663,0.4323290282757176
12,3,12.0,101.0836183745583,G14,0.5885489921600874,0.7971664948646893,0.668489430758165
12,3,12.0,101.0836183745583,MEAN_CURVE,0.6507130865379362,0.8999179947413746,0.4682699320386277
16,0,16.0,125.45173144876325,G14,0.5352094148072363,0.7140363551987117,0.750665040753774
16,0,16.0,125.45173144876325,MEAN_CURVE,0.6154338183682604,0.8456615635070376,0.507810172639589
16,1,16.0,110.09062897526502,G14,0.5762755734156967,0.7832249192750091,0.6969713608575063
16,1,16.0,110.09062897526502,MEAN_CURVE,0.6577738170442109,0.9139180842905956,0.45816749936085416
16,2,16.0,101.07078445229682,G14,0.547526614261129,0.7345797971705401,0.7227179366149713
16,2,16.0,101.07078445229682,MEAN_CURVE,0.632764457039146,0.8740237334593635,0.4938442286782457
16,3,16.0,144.68288339222616,G14,0.5175123564186848,0.6837711762189905,0.781039087265486
16,3,16.0,144.68288339222616,MEAN_CURVE,0.609369604042706,0.8355895678782688,0.4831335971031985
20,0,20.0,174.62271378091873,G14,0.5259323999473411,0.6981994442444471,0.7717358730174466
20,0,20.0,174.62271378091873,MEAN_CURVE,0.6167082012966293,0.8460199388970903,0.5249900765411046
20,1,20.0,172.3183038869258,G14,0.5552544313977862,0.7495349081016128,0.7297461350621605
20,1,20.0,172.3183038869258,MEAN_CURVE,0.6287095429695413,0.8684909313398531,0.46884049089515456
20,2,20.0,160.60282685512368,G14,0.5575948174018329,0.7500048735645499,0.7055365633238097
20,2,20.0,160.60282685512368,MEAN_CURVE,0.6196282007783053,0.8520292708790208,0.5200383878180965
20,3,20.0,159.97328621908127,G14,0.5122979156502933,0.6829512577359894,0.8099892638109163
20,3,20.0,159.97328621908127,MEAN_CURVE,0.6179174907556011,0.8488903355331587,0.5110807716649653
24,0,24.0,196.48917314487633,G14,0.5088841381859923,0.672643870765141,0.8084233628343986
24,0,24.0,196.48917314487633,MEAN_CURVE,0.6231368392756029,0.8572644303274863,0.5078500630703437
24,1,24.0,157.74968197879858,G14,0.5096679781191849,0.6752462647947997,0.7963080711705613
24,1,24.0,157.74968197879858,MEAN_CURVE,0.6202625143556176,0.8530066888497666,0.5202615533620432
24,2,24.0,188.4335406360424,G14,0.5033854271346285,0.6618527920680078,0.8102414053435034
24,2,24.0,188.4335406360424,MEAN_CURVE,0.6215382834378543,0.8552641543072721,0.5008450669269376
24,3,24.0,166.2636890459364,G14,0.5030985594626647,0.6650665000425593,0.813642114052158
24,3,24.0,166.2636890459364,MEAN_CURVE,0.6202707300206309,0.8534222238591992,0.5039727238574525
28,0,26.805964664310952,216.64636042402827,G14,0.5042214005339093,0.667254743614565,0.8096301670164212
28,0,26.805964664310952,216.64636042402827,MEAN_CURVE,0.6242538042925992,0.8597931918247184,0.5107510252804384
28,1,26.805964664310952,219.06350530035337,G14,0.4999654930798176,0.6596959301891394,0.8096011238948109
28,1,26.805964664310952,219.06350530035337,MEAN_CURVE,0.622472537120514,0.8566024576477262,0.5112843423864512
28,2,26.805964664310952,219.20057950530034,G14,0.5012616470693809,0.6643079894487839,0.8133689873645326
28,2,26.805964664310952,219.20057950530034,MEAN_CURVE,0.6234657364401008,0.8587525255487873,0.5115432379483441
28,3,26.805964664310952,215.23522261484098,G14,0.5026825162340647,0.6626033333490187,0.8103277121642473
28,3,26.805964664310952,215.23522261484098,MEAN_CURVE,0.6233713520119408,0.8586955270229506,0.5053709166458071
32,0,27.500452296819788,226.8089187279152,G14,0.4991257679745984,0.6581410804709957,0.8109279928439733
32,0,27.500452296819788,226.8089187279152,MEAN_CURVE,0.6214269089843607,0.8553130201388909,0.5117663507880204
32,1,27.500452296819788,227.2006077738516,G14,0.5001601956401946,0.6588426383511591,0.8122458223013377
32,1,27.500452296819788,227.2006077738516,MEAN_CURVE,0.6211612748398403,0.8548870343622404,0.5117730683100377
32,2,27.500452296819788,226.58491872791518,G14,0.4971331732090868,0.6565185662794593,0.8154327301394083
32,2,27.500452296819788,226.58491872791518,MEAN_CURVE,0.6237456887974009,0.8589597051533241,0.5108680294387429
32,3,27.500452296819788,227.23187279151944,G14,0.5006999448817023,0.6595831365944589,0.8122458223013377
32,3,27.500452296819788,227.23187279151944,MEAN_CURVE,0.6220895078381261,0.8563406342068275,0.5116614294512487
29,0,27.631024734982333,227.51057243816254,G14,0.5000794414203691,0.6587344933567273,0.8122458223013377
29,0,27.631024734982333,227.51057243816254,MEAN_CURVE,0.6217330292820759,0.855764037026175,0.5117685801091951
