cell_id,pred_amp,pred_amp_oracle_dir,p_heavy,mag,amp,n_metals,extractant,chemotype,n_pred
001f596e6e90825f,0.16625288961422535,-0.2685210647287268,0.21268293537115732,0.2685210647287268,-0.04272973939996971,14,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,sc029,5
01ee039385fc7c75,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.061029137817010574,8,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
029b985df55ed873,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.11277723084911935,14,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
03d73939b53041d6,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.0006713389579556887,4,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,5
04eecc879c91a669,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.01076162233297487,2,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
0566ed2ca037d109,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.007901435386004383,8,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,sc009,5
05a73c87538dea60,-0.23835784502386237,0.23835784502386237,0.6757870503420847,0.23835784502386237,0.012136134739347286,2,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,sc009,5
05a9d42bc9a52c2f,-0.2773995818740942,0.2773995818740942,0.7528607073752991,0.2773995818740942,0.0235839534834872,6,CCN(CC)C(=O)COCC(=O)N(CC)CC,sc071,5
05c3538c00451781,-0.23835784502386237,0.23835784502386237,0.6757870503420847,0.23835784502386237,0.00016353494009387022,2,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,5
0656e632ce1a7169,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.5725460869384329,13,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
06bdf21af7ecb9fc,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.06454421418074353,2,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
070747aae4dc989c,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.2784663136765176,6,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,5
070f43b8e6fa53cc,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.01818630490320741,2,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,5
0711104e8af2bd43,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.02669366926218271,2,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,5
07308b2583d8c4cd,-0.23835784502386237,0.23835784502386237,0.6757870503420847,0.23835784502386237,0.014952641025629633,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
07f266b8e7152849,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.22778675663523465,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
084576c4c03d3466,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.9171030704452288,13,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
08c04f254321daed,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.769162655167501,9,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
097373dc643a54b1,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.7147960905941085,14,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
0973c72a8ec4d510,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.1846261025326994,2,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,5
099cafc95a99e1db,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.753296558172859,2,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,5
0a152227108b8080,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.061152751286080755,8,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
0abbcf420e23e3c7,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-1.054566143291935,14,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,5
0b799dd83f93411e,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.11924855705482966,6,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,sc009,5
0bfe8db0dedc76b3,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.4981367549574969,2,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,sc009,5
0c8dfe9e52efea32,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.14469702058787134,2,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,5
0cf584c973b138fa,-0.23835784502386237,0.23835784502386237,0.6757870503420847,0.23835784502386237,0.0011981790392144003,3,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,5
0e0915921cb03b61,-0.23835784502386237,-0.23835784502386237,0.6757870503420847,0.23835784502386237,-0.0018219311673660944,2,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,5
