arm,budget,k_actual,n_cells,macro_mae,draw_sd,macro_mae_far,sign_acc,boot_low,boot_high,G
G14,6,6.0,103.77687523835202,0.6128135053576029,0.013703631148537511,0.816233616789723,0.6166764588743368,0.512852023796702,0.7149041832863371,45
G14,9,9.0,70.14606701573308,0.5998629920794908,0.03387768863728102,0.8140478400266263,0.6891101313558317,0.48542118805060586,0.6905507253933572,45
G14,12,12.0,93.41085480781345,0.567977558958892,0.015426540843268102,0.7672537917168457,0.7192174723166013,0.46776401935526585,0.6693314051813933,45
G14,16,16.0,120.32400706713781,0.5441309897256867,0.02471808153793435,0.7289030619658129,0.7378483563729344,0.4407163988981082,0.648638803846829,45
G14,20,20.0,166.87928268551238,0.5377698910993134,0.022268696881480365,0.7201726209116498,0.7542519588035832,0.4272110389875724,0.6433068963565571,45
G14,24,24.0,177.23402120141344,0.5062590257256177,0.0035003946307342678,0.6687023569176269,0.8071537383501554,0.40896028625202746,0.6086479779732168,45
G14,28,26.805964664310952,217.53641696113073,0.5020327642292931,0.0018330792146325303,0.6634654991503768,0.8107319976100029,0.40625843789283367,0.613704959539617,45
G14,29,27.631024734982333,227.51057243816254,0.5000794414203691,,0.6587344933567273,0.8122458223013377,0.39872444293723025,0.6022757229060429,45
G14,32,27.500452296819788,226.95657950530034,0.49927977042639554,0.0015730692302116836,0.6582713554240183,0.8127130918965142,0.40121223764737834,0.6017525977706412,45
MEAN_CURVE,6,6.0,103.77687523835202,0.617024516188022,0.03825420468430718,0.8245775583610165,0.49604154309327364,0.4992423378334833,0.7452115877673038,45
MEAN_CURVE,9,9.0,70.14606701573308,0.6430076277350538,0.01942350146468577,0.8868572991994065,0.47062617625506964,0.5076143904247263,0.7486158219332529,45
MEAN_CURVE,12,12.0,93.41085480781345,0.6374851612615184,0.028017014631220857,0.8810588984962628,0.4950142172182896,0.5115730807698231,0.7352932440630955,45
MEAN_CURVE,16,16.0,120.32400706713781,0.6288354241235808,0.02169015961768835,0.8672982372838164,0.4857388744454718,0.49367564148731785,0.7340113000018962,45
MEAN_CURVE,20,20.0,166.87928268551238,0.6207408589500192,0.005445844560175051,0.8538576191622808,0.5062374317298303,0.48920786630913216,0.72887972178361,45
MEAN_CURVE,24,24.0,177.23402120141344,0.6213020917724265,0.001362169002221006,0.8547393743359311,0.5082323518041942,0.4896098360586218,0.729341643970433,45
MEAN_CURVE,28,26.805964664310952,217.53641696113073,0.6233908574662888,0.0007289208475483076,0.8584609255110456,0.5097373805652602,0.48732397123644733,0.7290329861602733,45
MEAN_CURVE,29,27.631024734982333,227.51057243816254,0.6217330292820759,,0.855764037026175,0.5117685801091951,0.481716440479171,0.7301739100319925,45
MEAN_CURVE,32,27.500452296819788,226.95657950530034,0.6221058451149319,0.0011608217611572271,0.8563750984653207,0.5115172194970123,0.49002577191839203,0.7268505328159639,45
