grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,2d_second_unshrunk_mae,2d_second_unshrunk_rmse,2d_second_unshrunk_sign_accuracy,2d_second_unshrunk_r2,2d_ensemble_mae,2d_ensemble_rmse,2d_ensemble_sign_accuracy,2d_ensemble_r2,delta3d_unshrunk_mae,delta3d_unshrunk_rmse,delta3d_unshrunk_sign_accuracy,delta3d_unshrunk_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction_delta3d_vs_2d_ensemble
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,471,0.12494782913622945,0.17591295213059283,0.8004246284501062,-0.17676736414138894,0.13414985088220552,0.20214700246971787,0.732484076433121,-0.5539233518917486,0.12494782913622945,0.17591295213059283,0.8004246284501062,-0.17676736414138894,0.1116359730368535,0.15682441568869745,0.8110403397027601,0.06476158383442077,0.1116359730368535,0.15682441568869745,0.8110403397027601,0.06476158383442077,0.013311856099375949
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,95,0.17066367820691605,0.24896155632997777,0.7052631578947368,-0.1928560366697838,0.17117396156418618,0.25005760767191204,0.7052631578947368,-0.2033822356342181,0.17117396156418618,0.25005760767191204,0.7052631578947368,-0.2033822356342181,0.1599899090243938,0.2306092293791616,0.8105263157894737,-0.023474016197995384,0.16097164854114107,0.2406558339973737,0.7052631578947368,-0.11459281972543889,0.010202313023045112
extractant,CCN(CC)C(=O)COCC(=O)N(CC)CC,66,0.0964369018858006,0.12184781778699706,0.45454545454545453,-0.2254184627682969,0.09179305816960265,0.10851976795564493,0.45454545454545453,0.027999203255301364,0.09179305816960265,0.10851976795564493,0.45454545454545453,0.027999203255301364,0.10080835212464004,0.11853766848592819,0.45454545454545453,-0.15974275928234016,0.09919512708412229,0.11761758532198359,0.45454545454545453,-0.1418089063585415,-0.007402068914519638
extractant,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,57,0.12193827548453089,0.16778522278697575,0.7719298245614035,-1.278101795800969,0.11257091688754696,0.14611787234094092,0.7719298245614035,-0.7277161306441666,0.11257091688754696,0.14611787234094092,0.7719298245614035,-0.7277161306441666,0.08606325302635731,0.10707922678203946,0.7894736842105263,0.07215344079050656,0.0923070751965384,0.11494096064200858,0.7894736842105263,-0.06909267419544274,0.02026384169100856
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,40,0.1375347850191166,0.18804125652351833,0.6,-1.2970890065028295,0.12907464532098087,0.1928901921090791,0.6,-1.41708445613398,0.1375347850191166,0.18804125652351833,0.6,-1.2970890065028295,0.08594291197040797,0.14645785969773134,0.725,-0.3934676813075719,0.08594291197040797,0.14645785969773134,0.725,-0.3934676813075719,0.05159187304870862
extractant,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,39,0.08410742305737721,0.1198507542905079,0.6410256410256411,0.06422194422995176,0.09617516125000268,0.1311493732691659,0.5384615384615384,-0.12053068126604205,0.0961751612500027,0.1311493732691659,0.5384615384615384,-0.12053068126604205,0.10053712870548237,0.12395838487544841,0.6410256410256411,-0.0010208681093450966,0.09583751753161426,0.12174879377606486,0.6410256410256411,0.03434799257141308,0.00033764371838843066
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,30,0.16771673794033776,0.1941402854951032,0.36666666666666664,-0.9372490119758503,0.16632756127035972,0.19418997451931455,0.3333333333333333,-0.9382407930623582,0.16632756127035972,0.19418997451931455,0.3333333333333333,-0.9382407930623582,0.13558863908217456,0.15611433335392658,0.7666666666666667,-0.2526786565888346,0.15895025294330722,0.1796296336896883,0.43333333333333335,-0.6584794274471442,0.007377308327052495
extractant,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,26,0.1158068280680748,0.1976758677021335,0.7307692307692307,-5.348450007692663,0.11886549487225,0.20619429455411364,0.7307692307692307,-5.907385339855044,0.11886549487225,0.20619429455411364,0.7307692307692307,-5.907385339855044,0.10848466600031893,0.13992845643855978,0.6538461538461539,-2.18106455967771,0.10871526409433822,0.17680267862288707,0.6923076923076923,-4.078530642763117,0.010150230777911773
extractant,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,25,0.41528647256205536,0.5217571485767173,0.52,-10.481809288658054,0.34874395786781975,0.46063093259047216,0.52,-7.9491071951220835,0.34874395786781975,0.46063093259047216,0.52,-7.9491071951220835,0.1358607403875776,0.18531985856437658,0.52,-0.4484964431503613,0.1964591341675021,0.24668702503754922,0.52,-1.5666469134468648,0.15228482370031765
extractant,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,22,0.2636620715303944,0.3360577501271777,0.5,-0.6565094505940159,0.2771460390223987,0.34995369331360365,0.5,-0.7963346595573164,0.2771460390223987,0.34995369331360365,0.5,-0.7963346595573164,0.23836933569712085,0.298796753256689,0.8181818181818182,-0.3095371854886284,0.2571403919941035,0.3259890924031137,0.5,-0.5587347751134633,0.020005647028295215
