context,candidate_index,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_0:baseline,0.0,0.7,2.0,0.18977786081248238,-0.47930098525720366,0.1632121443297209,True,
outer_0:2d_second_unshrunk,0.0,0.7,2.0,0.1896461516608402,-0.5188650728427511,0.16524744562839438,True,
outer_0:delta3d_unshrunk,0.0,0.7,2.0,0.1752060228695318,-0.09038528771378407,0.14245613379424088,True,
outer_0:2d_ensemble_weight,,,,0.19039738098122572,-0.5474103818732599,0.16706262275257738,True,0.0
outer_0:2d_ensemble_weight,,,,0.19049608001671997,-0.5227708301573355,0.16647715167747448,False,0.25
outer_0:2d_ensemble_weight,,,,0.1908171728100495,-0.5050718989196759,0.16611947798544005,False,0.5
outer_0:2d_ensemble_weight,,,,0.19147464653196386,-0.49431358816028137,0.16614302312470863,False,0.75
outer_0:2d_ensemble_weight,,,,0.1923340932229292,-0.4904958978791516,0.16644412169093964,False,1.0
outer_0:delta3d_weight,,,,0.19039738098122572,-0.5474103818732599,0.16706262275257738,False,0.0
outer_0:delta3d_weight,,,,0.1826684848748125,-0.34979902798375107,0.1577231861847723,False,0.25
outer_0:delta3d_weight,,,,0.17654023630772495,-0.1975151708660705,0.15006343760141558,False,0.5
outer_0:delta3d_weight,,,,0.1714000911561944,-0.09055881052021841,0.1438598919859283,False,0.75
outer_0:delta3d_weight,,,,0.16813435575967603,-0.028929946946194107,0.13942673701208966,True,1.0
outer_1:baseline,0.0,0.7,2.0,0.15582217164132062,-0.46300790322586627,0.15822987118028875,True,
outer_1:2d_second_unshrunk,0.0,0.7,2.0,0.15341063567226623,-0.36250053500150425,0.15193018202124348,True,
outer_1:delta3d_unshrunk,0.0,0.7,2.0,0.16075540839258834,-0.21899944405091176,0.14135212768924374,True,
outer_1:2d_ensemble_weight,,,,0.1568207610428887,-0.5302000271088381,0.16079849537196167,False,0.0
outer_1:2d_ensemble_weight,,,,0.1552117043199193,-0.5099235804009896,0.1601404953350759,False,0.25
outer_1:2d_ensemble_weight,,,,0.15392475226494476,-0.4923384903647652,0.15964896207249568,False,0.5
outer_1:2d_ensemble_weight,,,,0.15302866152343556,-0.4774447570001641,0.15927424915780106,False,0.75
outer_1:2d_ensemble_weight,,,,0.1523741498659656,-0.46524238030718656,0.15900650355284227,True,1.0
outer_1:delta3d_weight,,,,0.1568207610428887,-0.5302000271088381,0.16079849537196167,False,0.0
outer_1:delta3d_weight,,,,0.15484504908487204,-0.3623010006803662,0.15102332229604265,True,0.25
outer_1:delta3d_weight,,,,0.1573932115532048,-0.24687657715977762,0.14483537692520285,False,0.5
outer_1:delta3d_weight,,,,0.16280478147822477,-0.18392675654707302,0.14152318820723309,False,0.75
outer_1:delta3d_weight,,,,0.1692195315758508,-0.17345153884225217,0.13986974675850503,False,1.0
outer_2:baseline,0.0,0.7,2.0,0.2032943707424661,-0.8656659597830334,0.16517805812726835,True,
outer_2:2d_second_unshrunk,0.0,0.7,2.0,0.19865514582037203,-0.5873266313596681,0.15719963254803843,True,
outer_2:delta3d_unshrunk,0.0,0.7,2.0,0.1935578707265756,-0.07767167606037662,0.13778826802636143,True,
outer_2:2d_ensemble_weight,,,,0.19998049213868238,-0.5459721088212564,0.15436653925034124,False,0.0
outer_2:2d_ensemble_weight,,,,0.1993742320835459,-0.5402320810899888,0.15450775449896387,False,0.25
outer_2:2d_ensemble_weight,,,,0.1988657807225268,-0.5390739403672078,0.15521584173482178,False,0.5
outer_2:2d_ensemble_weight,,,,0.1984268134264684,-0.542497686652913,0.156346056241788,False,0.75
outer_2:2d_ensemble_weight,,,,0.1980084561952143,-0.5505033199471048,0.15769133229453824,True,1.0
outer_2:delta3d_weight,,,,0.19998049213868238,-0.5459721088212564,0.15436653925034124,False,0.0
outer_2:delta3d_weight,,,,0.19439149842044876,-0.3129148910827866,0.14427772742104358,False,0.25
outer_2:delta3d_weight,,,,0.19102891654708273,-0.14375984816212384,0.136413947714404,False,0.5
outer_2:delta3d_weight,,,,0.18959510924480458,-0.03850698005926767,0.1314704731687042,True,0.75
outer_2:delta3d_weight,,,,0.18980623973291527,0.0028437132257810305,0.12995331800105994,False,1.0
full_data_deployment_model:baseline,0.0,0.7,2.0,0.17197934714579027,-0.1315696967657971,0.1382959887644916,True,
full_data_deployment_model:delta3d,0.0,0.7,2.0,0.17688451261886123,0.027503748259009475,0.12770375700541375,True,
full_data_deployment_model:delta3d_weight,,,,0.16672473971530088,-0.07859690367238215,0.13517026717138092,False,0.0
full_data_deployment_model:delta3d_weight,,,,0.1583965851781837,0.03129440222519175,0.12738393806663528,False,0.25
full_data_deployment_model:delta3d_weight,,,,0.1571238997888,0.08762065342652525,0.12326907670552203,True,0.5
full_data_deployment_model:delta3d_weight,,,,0.16466464647026305,0.09038184993161813,0.12372369809057118,False,0.75
full_data_deployment_model:delta3d_weight,,,,0.17717166041617383,0.03957799174047105,0.12818081057945274,False,1.0
