feature,deployment_delta3d_blend_weight,component,interpretation,importance
delta3d__feat3d__polyhedron__donor_atomic_number_04,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.31803958461438947
delta3d__feat3d__polyhedron__donor_atomic_number_09,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.09359577301322111
pair__delta_ionic_radius,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.07990651203900088
pair__delta_Z,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.049068768344152566
base__cond__extractant_concentration_M,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.01648463141380235
pair__Z_mean,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.013974974417339546
base__cond__metal_concentration_mM,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012774771491392145
pair__ionic_radius_A,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012719220025260984
delta3d__feat3d__polyhedron__ln_donor_distance_03,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012695297650585453
base__cond__acid_concentration_M,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.01113846364176563
pair__Z_A,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.01067929685998873
base__ecfp_1911,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.010665426312952217
delta3d__feat3d__polyhedron__donor_angle_03_04_deg,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.010351437881764819
pair__Z_B,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009927252744569142
delta3d__feat3d__complex_physical__ln_donor_distance_min,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009759224545878761
base__ecfp_1454,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00893772576654223
delta3d__feat3d__polyhedron__donor_angle_06_09_deg,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00877689461780333
delta3d__feat3d__polyhedron__donor_angle_05_06_deg,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007903700354160815
delta3d__feat3d__polyhedron__coordination_number,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007834808351184453
base__MolWt,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007604528278890587
delta3d__feat3d__polyhedron__donor_angle_04_09_deg,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007441779572784346
base__FractionCSP3,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007061573025033332
pair__ionic_radius_mean,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006921235208709495
delta3d__feat3d__complex_physical__coordination_number,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.0062434472687103205
delta3d__feat3d__polyhedron__donor_angle_02_09_deg,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006137924850612807
delta3d__feat3d__polyhedron__donor_angle_05_09_deg,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006010951808609761
delta3d__feat3d__polyhedron__donor_angle_07_09_deg,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00547287639681886
base__MolLogP,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.005352439743158081
base__cond__temperature_C,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.005292248425274084
delta3d__feat3d__polyhedron__donor_angle_05_08_deg,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00527380465412257
