extractant,n_rows,n_batches,batch_spread,permutation_null,excess,p_value,residual_sd
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,13,2,0.47382524320670427,0.5886153116156788,-0.11479006840897454,0.5522388059701493,1.8089901093904996
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,18,6,0.5486704342280719,0.6087146611100928,-0.060044226882020824,0.6417910447761194,0.9672239836616445
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,35,5,0.6450394139156719,0.32719248741036056,0.3178469265053113,0.01990049751243781,0.6752440042817306
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,12,4,0.6090152686228612,0.5812481787553623,0.027767089867498873,0.29850746268656714,1.0396226776307573
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1414,93,0.31081801157963407,0.1464591172754993,0.16435889430413478,0.009950248756218905,0.37840301671888454
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,140,3,0.076962996019848,0.04245329912894482,0.034509696890903184,0.15920398009950248,0.15238671298456322
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,26,3,0.04872397691100615,0.10519770897023982,-0.05647373205923367,0.8308457711442786,0.3108540342488255
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,52,3,0.29002968522412886,0.11734623901898537,0.17268344620514348,0.009950248756218905,0.30867899401417714
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,424,14,0.09232246661559805,0.06240327287538041,0.02991919374021764,0.10945273631840796,0.2139235316981654
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,16,2,0.05742227643677444,0.06956182381152475,-0.012139547374750308,0.5124378109452736,0.18558922612573642
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,181,18,0.1738704331416299,0.21365577194954966,-0.03978533880791976,0.6965174129353234,0.5818313098503094
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,59,6,0.17878637603010392,0.19498506040044475,-0.016198684370340832,0.527363184079602,0.5817201245026138
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,146,12,0.14502211103016088,0.10364342216207703,0.04137868886808385,0.05970149253731343,0.3445601264614593
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,33,2,0.04755230054576298,0.08526858334602018,-0.0377162828002572,0.7014925373134329,0.4015575530651654
CCCCCCCCN(CCCCCCCC)C(=O)CO,10,2,1.0217317215724686,0.7579624884969767,0.26376923307549194,0.29850746268656714,1.9511136371903368
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,45,9,0.1377087570334635,0.09145072905960903,0.04625802797385446,0.024875621890547265,0.21684938987513044
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,42,5,0.48507821720719924,0.2269567810937626,0.25812143611343663,0.01990049751243781,0.5019964683412096
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,13,2,0.3020927672267505,0.3281365789187203,-0.026043811691969787,0.4925373134328358,1.0732410820286467
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,13,2,0.21900962251480896,0.40473380526715824,-0.18572418275234928,0.6766169154228856,1.3008447211427148
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,203,6,0.018290125562521024,0.028392959069643373,-0.01010283350712235,0.8706467661691543,0.1374573705958347
CCN(CC)C(=O)COCC(=O)N(CC)CC,84,2,0.012127582521585887,0.015258005676305465,-0.0031304231547195777,0.5074626865671642,0.13458396713639414
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,14,2,0.06716635339787322,0.08540989716086797,-0.01824354376299475,0.527363184079602,0.28369859737867675
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,74,10,0.22116370880866068,0.11478724462329054,0.10637646418537014,0.029850746268656716,0.2673715900185967
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,10,2,0.006214233686198382,0.0210922317257342,-0.014877998039535819,0.8606965174129353,0.0547572999818976
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,230,3,0.021658054058736484,0.08013311382292794,-0.058475059764191456,0.9054726368159204,0.5293409904167039
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,78,5,0.019029336736109563,0.05400354064028523,-0.03497420390417567,0.9950248756218906,0.18913173137748873
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,239,13,0.2511887962938325,0.13008406003046674,0.12110473626336576,0.009950248756218905,0.3625247842779723
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,60,2,0.03672931174744829,0.025886787694345062,0.01084252405310323,0.24378109452736318,0.1894812943067583
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,44,5,0.9443239893034607,0.39250873327368213,0.5518152560297787,0.014925373134328358,0.8308725641252359
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,103,6,0.10799712868128086,0.12193463425166459,-0.01393750557038373,0.5373134328358209,0.3913806992231946
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,17,4,0.48492524670113807,0.35481163817661504,0.13011360852452303,0.1791044776119403,0.74783841898977
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,21,4,0.05540705260188146,0.2670567545759494,-0.21164970197406796,0.9950248756218906,0.5734407655320137
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,20,3,0.0960937400528156,0.1791409402060549,-0.0830472001532393,0.7761194029850746,0.4717960449868227
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,15,3,0.09556378618228152,0.2648323472997136,-0.1692685611174321,0.9154228855721394,0.6322220740083652
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCC1,13,3,0.3802341203323777,0.34570040353487314,0.034533716797504554,0.4079601990049751,0.7228811487015064
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,15,3,0.40594097365669923,0.4414363062833839,-0.03549533262668464,0.527363184079602,1.1560005676713068
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,11,2,0.47363586955072434,0.29793162062090967,0.17570424892981468,0.22388059701492538,0.8946287514501291
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,11,2,0.37272352296703026,0.38063601683410153,-0.007912493867071269,0.4228855721393035,1.1576066372660887
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,36,3,0.08214789506423147,0.170116534775116,-0.08796863971088455,0.8109452736318408,0.5397735630399775
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,22,3,0.01347512574075847,0.1988959508278164,-0.18542082508705793,0.9950248756218906,0.5489805223357164
