arm,band,n_cells,n_extractants,slope_origin,slope_origin_lo95,slope_origin_hi95,slope_with_intercept,intercept,r2_with_intercept,sd_amp_obs,sd_amp_pred,sd_ratio_obs_over_pred,mean_amp_obs,mean_amp_pred
C_DIRECT_ROW,pooled,2605,90,1.4111048293508954,0.9706813786663453,1.8228038514517024,1.07035231188184,-0.3515066612160796,0.2040451408935159,1.1818338710416167,0.49876137051592107,2.369537700602439,-0.7629281238702879,-0.38437947775426146
C_DIRECT_ROW,near,2166,55,1.436361057183042,0.8723758200759015,2.003438404709795,1.179954467307073,-0.2626122487048747,0.30867267556050826,1.0533134628539282,0.4959540938317647,2.1238124172259147,-0.7163273267079183,-0.38451914084322697
C_DIRECT_ROW,mid,277,30,1.4681408048738387,0.8456919296548387,2.189451408220807,1.261718935464373,-0.23025104576462,0.2823559675030739,1.3040232460912218,0.5491882008253803,2.37445605009611,-0.8113256834500416,-0.46054206000447984
C_DIRECT_ROW,far,162,19,0.6219994564894579,-1.196268495979324,2.6784367174840384,-1.095610722273303,-1.5796487166212987,0.04600499473041786,2.095991929611134,0.4103324137233255,5.108034021958589,-1.3032441896116507,-0.25228351766778156
M_SELECTED,pooled,2605,90,1.2002069938029973,0.8755317617021882,1.4694310553185315,0.9533914922395903,-0.3219187925340287,0.2533809405825278,1.1818338710416167,0.6239821015650807,1.894018863806068,-0.7629281238702879,-0.46256898129046004
M_SELECTED,near,2166,55,1.1401322639050602,0.6684796472248004,1.5266594264143265,0.8611792551324524,-0.3345642917451685,0.2240398568816082,1.0533134628539282,0.5789308846503542,1.8194114198797284,-0.7163273267079183,-0.4433026372703705
M_SELECTED,mid,277,30,1.14700354034926,0.6803769392350187,1.8230195914519547,0.8552266246081613,-0.5155806033921282,0.21139359336299157,1.3040232460912218,0.7010516749383069,1.8600957571436896,-0.8113256834500416,-0.3458090189760111
M_SELECTED,far,162,19,1.511986993210908,0.6617170132608063,1.8704338054626761,1.626640360013055,0.19295955169774856,0.4227895138151715,2.095991929611134,0.8378382163423932,2.5016666567935357,-1.3032441896116507,-0.9198122572695734
M_PHYSICS_radius+radius_sq,pooled,2605,90,1.1667768191048775,0.8569039543263358,1.471699065849024,0.9632408938993314,-0.26903814534646275,0.2755787274099446,1.1818338710416167,0.6440867509317696,1.8348985898746,-0.7629281238702879,-0.5127377602548527
M_PHYSICS_radius+radius_sq,near,2166,55,1.1181649940116791,0.6376233051670178,1.5773836172491185,0.8942236208076406,-0.2767521481296267,0.26368424270924173,1.0533134628539282,0.604858219299685,1.741422087433105,-0.7163273267079183,-0.4915718712297914
M_PHYSICS_radius+radius_sq,mid,277,30,1.2501880515190682,0.7381745269211135,1.983826187023499,0.9364708979807989,-0.42471647520220746,0.20034466384824678,1.3040232460912218,0.623275330242911,2.092210589472554,-0.8113256834500416,-0.4128363295447129
M_PHYSICS_radius+radius_sq,far,162,19,1.3399047983533803,0.6611342484077686,1.9364795706558287,1.3310078068603028,-0.016755068393939143,0.357292025469093,2.095991929611134,0.9412839746587314,2.226737080455502,-1.3032441896116507,-0.9665526487424552
M_LOWRANK_K2,pooled,2605,90,1.1884463584518627,0.8612641690035794,1.4316758481880372,0.9810101420928284,-0.2812138665732551,0.29253514328350394,1.1818338710416167,0.6515863214283923,1.8137794366996964,-0.7629281238702879,-0.4910390184849388
M_LOWRANK_K2,near,2166,55,1.1991814904082778,0.6712752789138798,1.5816426421963932,0.9429025682156994,-0.2962088901876243,0.2535906868770714,1.0533134628539282,0.5625452558836339,1.8724066230003242,-0.7163273267079183,-0.4455586936360821
M_LOWRANK_K2,mid,277,30,1.0900613747312262,0.6557099628084679,1.7721586463041763,0.7929464227551831,-0.476026344017963,0.18438847062132302,1.3040232460912218,0.7061685473788426,1.8466175687539428,-0.8113256834500416,-0.42285245233472757
M_LOWRANK_K2,far,162,19,1.2035011569222223,0.6035108248060952,1.7290347655513167,1.3678639814700262,0.3596932436565268,0.5036336680958684,2.095991929611134,1.0874369099547738,1.9274607201794407,-1.3032441896116507,-1.2157184163011878
X_ENS_DIRECT+LOWRANK_K2,pooled,2605,90,1.4913580484078592,1.0782974639822347,1.8960483615791677,1.3068029281600004,-0.19092839674488235,0.31940321994598575,1.1818338710416167,0.5111118836312533,2.3122801658320715,-0.7629281238702879,-0.4377092481196001
X_ENS_DIRECT+LOWRANK_K2,near,2166,55,1.4280132505083447,0.833515435760871,1.9687884009490166,1.2159859920794847,-0.21164581717666203,0.32256701750121186,1.0533134628539282,0.4919704779300284,2.14100949163811,-0.7163273267079183,-0.41503891723965447
X_ENS_DIRECT+LOWRANK_K2,mid,277,30,1.424280583361215,0.8362857967432227,2.1983643496598346,1.1795743644453984,-0.290310923226505,0.26913321475561225,1.3040232460912218,0.5735135160026428,2.2737445756818273,-0.8113256834500416,-0.4416972561696037
X_ENS_DIRECT+LOWRANK_K2,far,162,19,1.9769858244057583,0.2924036994776385,2.344310065103731,2.3298985521927937,0.4069036006736112,0.3800059885035443,2.095991929611134,0.554559072858859,3.7795647608935354,-1.3032441896116507,-0.7340009669844847
