arm,subset,n_pairs,macro_mae_g1,best_gain,macro_mae_best,macro_mae_gain,pooled_mae_g1,pooled_mae_best,oracle
C_DIRECT_ROW,all,70750,0.49532081290529495,1.05,0.4949457643868973,0.0003750485183976471,0.5245128768639454,0.5219523375016003,True
C_DIRECT_ROW,adjacent(gap=1),11740,0.18410895680184727,0.95,0.18407321898758094,3.573781426632894e-05,0.16797196484692728,0.1680250532850336,True
C_DIRECT_ROW,far(gap>=7),17410,0.7449809663487132,1.1,0.7421344006812258,0.002846565667487422,0.9648168749288737,0.9521298576151964,True
M_SELECTED,all,70750,0.5014269541262518,0.95,0.5012890775490246,0.0001378765772271917,0.5028568024785267,0.5053188988061136,True
M_SELECTED,adjacent(gap=1),11740,0.1895681207852038,0.9,0.18932726364924138,0.00024085713596241898,0.1684485894632529,0.16832898373477287,True
M_SELECTED,far(gap>=7),17410,0.7671390868956391,1.0,0.7671390868956391,0.0,0.8978217625887486,0.8978217625887486,True
M_PHYSICS_radius+radius_sq,all,70750,0.49792999555684175,1.0,0.49792999555684175,0.0,0.4911850928941966,0.4911850928941966,True
M_PHYSICS_radius+radius_sq,adjacent(gap=1),11740,0.18845974223300307,1.0,0.18845974223300307,0.0,0.1656217394482363,0.1656217394482363,True
M_PHYSICS_radius+radius_sq,far(gap>=7),17410,0.7551409628560621,1.0,0.7551409628560621,0.0,0.8657935326112034,0.8657935326112034,True
M_LOWRANK_K2,all,70750,0.49549797750991226,1.0,0.49549797750991226,0.0,0.489728587124164,0.489728587124164,True
M_LOWRANK_K2,adjacent(gap=1),11740,0.18874024784060475,0.9,0.18849581288607814,0.00024443495452661224,0.16638363025353947,0.16627978460862405,True
M_LOWRANK_K2,far(gap>=7),17410,0.749545577812569,1.1,0.7488550975735397,0.0006904802390292897,0.8622692294913723,0.8478798836068964,True
X_ENS_DIRECT+LOWRANK_K2,all,70750,0.48098083670010805,1.2,0.4783855576474392,0.002595279052668875,0.49167836200368936,0.47770181661715105,True
X_ENS_DIRECT+LOWRANK_K2,adjacent(gap=1),11740,0.18222956940646035,1.15,0.18173459733401226,0.0004949720724480855,0.1622616484549115,0.16143042802780863,True
X_ENS_DIRECT+LOWRANK_K2,far(gap>=7),17410,0.7237326542805599,1.25,0.715996192193186,0.007736462087373885,0.8889400221365364,0.8436886847715314,True
