arm,mode,anchor,rep,clip_lo,clip_hi,n_eval_pairs,n_groups,frac_groups_calibratable,frac_gains_clipped,median_fitted_gain,macro_mae_g1,macro_mae_calibrated,macro_mae_gain
C_DIRECT_ROW,per_extractant,widest_gap,-1,0.8,1.25,70300,450,0.9333333333333333,0.8377777777777777,1.0,0.47359115243121164,0.4376204195103249,0.03597073292088676
C_DIRECT_ROW,per_extractant,widest_gap,-1,0.7,1.5,70300,450,0.9333333333333333,0.7755555555555556,1.0,0.47359115243121164,0.4156631002468896,0.05792805218432201
C_DIRECT_ROW,per_extractant,widest_gap,-1,0.5,2.0,70300,450,0.9333333333333333,0.6644444444444444,1.0,0.47359115243121164,0.38412612551042546,0.08946502692078617
C_DIRECT_ROW,per_extractant,widest_gap,-1,0.25,4.0,70300,450,0.9333333333333333,0.45555555555555555,1.0,0.47359115243121164,0.35141476851624986,0.12217638391496177
C_DIRECT_ROW,per_extractant,random,0,0.5,2.0,70300,450,0.7688888888888888,0.5311111111111111,1.0,0.4778490468516686,0.42045421483751017,0.05739483201415846
C_DIRECT_ROW,per_extractant,random,0,0.8,1.25,70300,450,0.7688888888888888,0.6955555555555556,1.0,0.4778490468516686,0.45361467765665064,0.02423436919501798
C_DIRECT_ROW,per_extractant,random,0,0.7,1.5,70300,450,0.7688888888888888,0.6311111111111111,1.0,0.4778490468516686,0.43887293457958404,0.038976112272084584
C_DIRECT_ROW,per_extractant,random,0,0.25,4.0,70300,450,0.7688888888888888,0.3333333333333333,1.0,0.4778490468516686,0.4097939642162737,0.06805508263539495
C_DIRECT_ROW,per_extractant,random,1,0.5,2.0,70300,450,0.7466666666666667,0.4866666666666667,1.0,0.4812880684056668,0.41955790358438483,0.06173016482128196
C_DIRECT_ROW,per_extractant,random,1,0.8,1.25,70300,450,0.7466666666666667,0.6555555555555556,1.0,0.4812880684056668,0.45580330750078063,0.02548476090488616
C_DIRECT_ROW,per_extractant,random,1,0.7,1.5,70300,450,0.7466666666666667,0.5955555555555555,1.0,0.4812880684056668,0.44018053920962147,0.04110752919604532
C_DIRECT_ROW,per_extractant,random,1,0.25,4.0,70300,450,0.7466666666666667,0.36444444444444446,1.0,0.4812880684056668,0.40500035448991323,0.07628771391575356
C_DIRECT_ROW,per_extractant,random,2,0.5,2.0,70300,450,0.7444444444444445,0.47555555555555556,1.0,0.4799250438325398,0.423640586689788,0.05628445714275182
C_DIRECT_ROW,per_extractant,random,2,0.8,1.25,70300,450,0.7444444444444445,0.6644444444444444,1.0,0.4799250438325398,0.4548447955334377,0.025080248299102104
C_DIRECT_ROW,per_extractant,random,2,0.7,1.5,70300,450,0.7444444444444445,0.5977777777777777,1.0,0.4799250438325398,0.4406460784061664,0.039278965426373436
C_DIRECT_ROW,per_extractant,random,2,0.25,4.0,70300,450,0.7444444444444445,0.32,1.0,0.4799250438325398,0.41764293161826416,0.06228211221427565
C_DIRECT_ROW,per_extractant,random,3,0.5,2.0,70300,450,0.7377777777777778,0.5133333333333333,1.0,0.47051464905638085,0.41939680986566524,0.05111783919071561
C_DIRECT_ROW,per_extractant,random,4,0.5,2.0,70300,450,0.7666666666666667,0.5155555555555555,1.0,0.4730264469534375,0.4097165585591694,0.0633098883942681
C_DIRECT_ROW,per_extractant,random,5,0.5,2.0,70300,450,0.7533333333333333,0.5,1.0,0.4735098337946262,0.4132641711317079,0.06024566266291831
C_DIRECT_ROW,per_extractant,random,6,0.5,2.0,70300,450,0.7488888888888889,0.5177777777777778,1.0,0.47526016626933,0.41333947124272863,0.06192069502660136
C_DIRECT_ROW,per_extractant,random,7,0.5,2.0,70300,450,0.7466666666666667,0.5066666666666667,1.0,0.47957415525574093,0.4223236452516453,0.057250510004095645
C_DIRECT_ROW,per_extractant,random,8,0.5,2.0,70300,450,0.7466666666666667,0.5155555555555555,1.0,0.4763122502761224,0.41990349332970717,0.05640875694641523
C_DIRECT_ROW,per_extractant,random,9,0.5,2.0,70300,450,0.7377777777777778,0.5,1.0,0.46925081830432386,0.4087799916028465,0.060470826701477354
C_DIRECT_ROW,per_extractant,random,10,0.5,2.0,70300,450,0.7644444444444445,0.5466666666666666,1.0,0.483892163130822,0.4241994834918129,0.059692679639009094
C_DIRECT_ROW,per_extractant,random,11,0.5,2.0,70300,450,0.76,0.5088888888888888,1.0,0.48230218146981896,0.4220686305366085,0.06023355093321048
C_DIRECT_ROW,per_extractant,random,12,0.5,2.0,70300,450,0.7711111111111111,0.5488888888888889,1.0,0.47349042134086644,0.40902551896835854,0.0644649023725079
C_DIRECT_ROW,per_extractant,random,13,0.5,2.0,70300,450,0.7622222222222222,0.5222222222222223,1.0,0.483048613521615,0.42780302420595406,0.055245589315660926
C_DIRECT_ROW,per_extractant,random,14,0.5,2.0,70300,450,0.7711111111111111,0.5244444444444445,1.0,0.47664301865351694,0.41841909188500137,0.058223926768515566
C_DIRECT_ROW,per_extractant,random,15,0.5,2.0,70300,450,0.7844444444444445,0.5311111111111111,1.0,0.4792432805106001,0.4149022391990814,0.06434104131151869
C_DIRECT_ROW,per_extractant,random,16,0.5,2.0,70300,450,0.7533333333333333,0.5466666666666666,1.0,0.47920257137581873,0.41746756642431215,0.06173500495150658
C_DIRECT_ROW,per_extractant,random,17,0.5,2.0,70300,450,0.78,0.5355555555555556,1.0,0.47978055188277235,0.4257822095686336,0.05399834231413875
C_DIRECT_ROW,per_extractant,random,18,0.5,2.0,70300,450,0.7266666666666667,0.5022222222222222,1.0,0.4799187223364143,0.4220390727554557,0.05787964958095859
C_DIRECT_ROW,per_extractant,random,19,0.5,2.0,70300,450,0.7777777777777778,0.5555555555555556,1.0,0.48121121373604947,0.4218672859572468,0.05934392777880265
C_DIRECT_ROW,per_cell,widest_gap,-1,0.8,1.25,68145,2605,0.8429942418426104,0.7692898272552783,1.0203381634396844,0.4693693401063059,0.43224535451472346,0.03712398559158242
C_DIRECT_ROW,per_cell,widest_gap,-1,0.7,1.5,68145,2605,0.8429942418426104,0.7124760076775432,1.0203381634396844,0.4693693401063059,0.4088770998034364,0.06049224030286948
C_DIRECT_ROW,per_cell,widest_gap,-1,0.5,2.0,68145,2605,0.8429942418426104,0.6253358925143954,1.0203381634396844,0.4693693401063059,0.3746748700620227,0.09469447004428316
C_DIRECT_ROW,per_cell,widest_gap,-1,0.25,4.0,68145,2605,0.8429942418426104,0.3984644913627639,1.0203381634396844,0.4693693401063059,0.33724073241630953,0.13212860768999635
C_DIRECT_ROW,per_cell,random,0,0.5,2.0,68145,2605,0.7404990403071017,0.5420345489443378,1.0,0.47396131973893957,0.4098587237603555,0.06410259597858409
C_DIRECT_ROW,per_cell,random,0,0.8,1.25,68145,2605,0.7404990403071017,0.6783109404990403,1.0,0.47396131973893957,0.44729961650999017,0.026661703228949396
C_DIRECT_ROW,per_cell,random,0,0.7,1.5,68145,2605,0.7404990403071017,0.6295585412667947,1.0,0.47396131973893957,0.431697443406683,0.04226387633225659
C_DIRECT_ROW,per_cell,random,0,0.25,4.0,68145,2605,0.7404990403071017,0.3416506717850288,1.0,0.47396131973893957,0.39058959524997516,0.0833717244889644
C_DIRECT_ROW,per_cell,random,1,0.5,2.0,68145,2605,0.7193857965451056,0.528214971209213,1.0,0.48228523301888293,0.42720249405114974,0.05508273896773319
C_DIRECT_ROW,per_cell,random,1,0.8,1.25,68145,2605,0.7193857965451056,0.654126679462572,1.0,0.48228523301888293,0.45839006066472193,0.023895172354161
C_DIRECT_ROW,per_cell,random,1,0.7,1.5,68145,2605,0.7193857965451056,0.6057581573896353,1.0,0.48228523301888293,0.4447221425840512,0.03756309043483175
C_DIRECT_ROW,per_cell,random,1,0.25,4.0,68145,2605,0.7193857965451056,0.3401151631477927,1.0,0.48228523301888293,0.42506106572165525,0.05722416729722768
C_DIRECT_ROW,per_cell,random,2,0.5,2.0,68145,2605,0.7251439539347408,0.5401151631477927,1.0,0.48447103302868355,0.42021104588651276,0.0642599871421708
C_DIRECT_ROW,per_cell,random,2,0.8,1.25,68145,2605,0.7251439539347408,0.6656429942418426,1.0,0.48447103302868355,0.4580250941059896,0.026445938922693923
C_DIRECT_ROW,per_cell,random,2,0.7,1.5,68145,2605,0.7251439539347408,0.617274472168906,1.0,0.48447103302868355,0.44184338957426555,0.042627643454417996
C_DIRECT_ROW,per_cell,random,2,0.25,4.0,68145,2605,0.7251439539347408,0.3393474088291747,1.0,0.48447103302868355,0.4052077256039862,0.07926330742469734
C_DIRECT_ROW,per_cell,random,3,0.5,2.0,68145,2605,0.7174664107485604,0.5243761996161228,1.0,0.4818368810727776,0.42129605090948513,0.06054083016329248
C_DIRECT_ROW,per_cell,random,4,0.5,2.0,68145,2605,0.7186180422264875,0.5332053742802303,1.0,0.47568940099143153,0.4147227802451089,0.06096662074632264
C_DIRECT_ROW,per_cell,random,5,0.5,2.0,68145,2605,0.7197696737044146,0.5297504798464492,1.0,0.4870582420310791,0.42495981577917774,0.06209842625190137
C_DIRECT_ROW,per_cell,random,6,0.5,2.0,68145,2605,0.7301343570057581,0.545489443378119,1.0,0.4763498517627968,0.412024973786188,0.0643248779766088
C_DIRECT_ROW,per_cell,random,7,0.5,2.0,68145,2605,0.7117082533589252,0.5247600767754319,1.0,0.48097010960094905,0.4196371051395421,0.06133300446140694
C_DIRECT_ROW,per_cell,random,8,0.5,2.0,68145,2605,0.7132437619961612,0.5285988483685221,1.0,0.4800902734561664,0.4199929499397844,0.06009732351638197
C_DIRECT_ROW,per_cell,random,9,0.5,2.0,68145,2605,0.7209213051823417,0.5305182341650672,1.0,0.47300048792684013,0.4045591701290154,0.06844131779782475
C_DIRECT_ROW,per_cell,random,10,0.5,2.0,68145,2605,0.727831094049904,0.5335892514395394,1.0,0.4784203517417452,0.4175256265936781,0.0608947251480671
