arm,mode,anchor,clip_lo,clip_hi,n_eval_pairs,n_groups,frac_groups_calibratable,frac_gains_clipped,median_fitted_gain,macro_mae_g1,macro_mae_calibrated,macro_mae_gain,macro_mae_gain_sd_over_reps
C_DIRECT_ROW,per_cell,random,0.25,4.0,68145.0,2605,0.728342930262316,0.3403710812539987,1.0,0.4802391952621687,0.4069527955252055,0.07328639973696315,0.014061161257327143
C_DIRECT_ROW,per_cell,random,0.5,2.0,68145.0,2605,0.7228214971209213,0.5345873320537428,1.0,0.4787966764898878,0.4162642180151527,0.0625324584747351,0.003736025718338124
C_DIRECT_ROW,per_cell,random,0.7,1.5,68145.0,2605,0.728342930262316,0.617530390275112,1.0,0.4802391952621687,0.4394209918549999,0.040818203407168775,0.0028248720283933237
C_DIRECT_ROW,per_cell,random,0.8,1.25,68145.0,2605,0.728342930262316,0.6660268714011516,1.0,0.4802391952621687,0.4545715904269006,0.025667604835268105,0.00153875801672196
C_DIRECT_ROW,per_cell,widest_gap,0.25,4.0,68145.0,2605,0.8429942418426104,0.3984644913627639,1.0203381634396844,0.4693693401063059,0.33724073241630953,0.13212860768999635,
C_DIRECT_ROW,per_cell,widest_gap,0.5,2.0,68145.0,2605,0.8429942418426104,0.6253358925143954,1.0203381634396844,0.4693693401063059,0.3746748700620227,0.09469447004428316,
C_DIRECT_ROW,per_cell,widest_gap,0.7,1.5,68145.0,2605,0.8429942418426104,0.7124760076775432,1.0203381634396844,0.4693693401063059,0.4088770998034364,0.06049224030286948,
C_DIRECT_ROW,per_cell,widest_gap,0.8,1.25,68145.0,2605,0.8429942418426104,0.7692898272552783,1.0203381634396844,0.4693693401063059,0.43224535451472346,0.03712398559158242,
C_DIRECT_ROW,per_extractant,random,0.25,4.0,70300.0,450,0.7533333333333333,0.3392592592592593,1.0,0.4796873863632918,0.410812416774817,0.06887496958847472,0.007038705897889402
C_DIRECT_ROW,per_extractant,random,0.5,2.0,70300.0,450,0.7574444444444445,0.5192222222222223,1.0,0.4777621608479065,0.4186975484543809,0.05906461239352565,0.0034717422171865486
C_DIRECT_ROW,per_extractant,random,0.7,1.5,70300.0,450,0.7533333333333333,0.6081481481481481,1.0,0.4796873863632918,0.4398998507317906,0.039787535631501114,0.0011531336722575881
C_DIRECT_ROW,per_extractant,random,0.8,1.25,70300.0,450,0.7533333333333333,0.6718518518518518,1.0,0.4796873863632918,0.45475426023028964,0.02493312613300208,0.0006380466721527827
C_DIRECT_ROW,per_extractant,widest_gap,0.25,4.0,70300.0,450,0.9333333333333333,0.45555555555555555,1.0,0.47359115243121164,0.35141476851624986,0.12217638391496177,
