k,share_of_summed_per_extractant_MAE,share_of_held_out_pairs,n_cells_covered,macro_after_drop,pooled_after_drop
5,0.19365345681588617,0.02028268551236749,10,0.4106511900115781,0.47487709034734943
10,0.3253882269961626,0.04332155477031802,15,0.36503475190552026,0.4583869580123606
20,0.5026931719752565,0.26035335689045935,114,0.3075364983085944,0.35914219129039426
