grouping,pair_label,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,2d_second_unshrunk_mae,2d_second_unshrunk_rmse,2d_second_unshrunk_sign_accuracy,2d_second_unshrunk_r2,2d_ensemble_mae,2d_ensemble_rmse,2d_ensemble_sign_accuracy,2d_ensemble_r2,delta3d_unshrunk_mae,delta3d_unshrunk_rmse,delta3d_unshrunk_sign_accuracy,delta3d_unshrunk_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction_delta3d_vs_2d_ensemble
pair_type,Sm-Eu,106,0.15716058765881136,0.21320339493941765,0.660377358490566,-0.08952851195174394,0.15897869677855453,0.2157069234571785,0.660377358490566,-0.11526619243872549,0.15902342046719947,0.21554982569463227,0.660377358490566,-0.11364230369084849,0.17065336559967037,0.21878927406894663,0.6698113207547169,-0.14736717942323785,0.16058072120449696,0.2133005164114839,0.6509433962264151,-0.09052137338831256,-0.0015573007372974845
pair_type,Gd-Tb,98,0.12942108313129547,0.17536951519982483,0.8571428571428571,-0.12659691435274234,0.1306856050437485,0.17663717062974946,0.826530612244898,-0.14294295174207017,0.13024081261565135,0.1762525519464618,0.826530612244898,-0.13797096752113003,0.14164290117548348,0.18249117302885873,0.8979591836734694,-0.2199557552229816,0.1327819792522967,0.17922816775158432,0.8673469387755102,-0.17671932182921712,-0.002541166636645359
pair_type,Dy-Ho,96,0.1122193625577375,0.17485949902692005,0.7395833333333334,-0.19616404691082256,0.10819950102458299,0.1735341650660081,0.75,-0.17810029915661119,0.10780353087820083,0.17271746184089756,0.75,-0.16703741465394129,0.10573359539506716,0.1677271950162613,0.7708333333333334,-0.10057401146277178,0.10902606806805697,0.17092355183387126,0.7395833333333334,-0.1429207119856506,-0.0012225371898561405
pair_type,Ho-Er,96,0.10758054408100588,0.1503846225497806,0.6770833333333334,-0.3581726841173887,0.10984377479782116,0.15164848009412657,0.6770833333333334,-0.38109723312262034,0.10996254835933665,0.15188424993971372,0.6770833333333334,-0.38539499073729444,0.08455029961780675,0.13553351790521445,0.6875,-0.10316774031502485,0.10053082371362382,0.14551618734944938,0.6979166666666666,-0.27165922459233927,0.009431724645712833
pair_type,La-Ce,95,0.2178790355354926,0.27842210591730315,0.8210526315789474,-0.4324339571647551,0.21824587968678794,0.27814535244615646,0.8210526315789474,-0.429587674245262,0.2183936112078721,0.2788140329415225,0.8210526315789474,-0.4364695901592335,0.19539441512867797,0.260956337293645,0.8315789473684211,-0.25835412160969584,0.21164273615196671,0.2735123477995048,0.8315789473684211,-0.38235966929351406,0.006750875055905381
pair_type,Er-Tm,89,0.07424763576497113,0.09796440450598835,0.550561797752809,-0.05580349705017351,0.0757116138056463,0.0989832774682455,0.5393258426966292,-0.07787934537702257,0.07624419225654817,0.09946549169288846,0.5393258426966292,-0.08840707971730732,0.07046339964084405,0.0955229780993757,0.5056179775280899,-0.0038346864009248804,0.07288188287377642,0.09713768153668395,0.5393258426966292,-0.0380588074297199,0.0033623093827717526
pair_type,Tb-Dy,88,0.15456671356347804,0.18529613314402035,0.6022727272727273,-0.5011505984330498,0.15458110193944122,0.1859604668987418,0.6931818181818182,-0.5119339075160576,0.15452793882369584,0.18555454099932045,0.6931818181818182,-0.5053404277903992,0.1438423871409831,0.17530395723732822,0.6931818181818182,-0.3436154548050572,0.15208159870698992,0.1823182815351021,0.7159090909090909,-0.45328900692850116,0.002446340116705914
pair_type,Tm-Yb,86,0.05397776955220632,0.07401256858995299,0.5348837209302325,-0.15430517915720454,0.05185693749767455,0.07196172628633186,0.5697674418604651,-0.09122130678023188,0.05226091011915174,0.07229468913036918,0.5697674418604651,-0.10134270704388904,0.0668239318979066,0.08312890557864468,0.5348837209302325,-0.4561758256176631,0.05382070658333045,0.07425344194914421,0.5581395348837209,-0.16183076063964164,-0.0015597964641787115
pair_type,Eu-Gd,83,0.09612576381030745,0.158039226148555,0.7951807228915663,-0.016758014652719533,0.09866794129108913,0.15867504125121523,0.7951807228915663,-0.02495560634573235,0.09961113334806643,0.16070102166201902,0.7951807228915663,-0.05129619160175025,0.09459659204695392,0.15053874780075407,0.7951807228915663,0.07746168173657442,0.0938047908845025,0.15246767169490066,0.7951807228915663,0.053668378587799714,0.005806342463563929
pair_type,Yb-Lu,82,0.09552959543978341,0.12838496530795945,0.5975609756097561,-0.03475501100731848,0.08949808870654896,0.1228014191930362,0.5975609756097561,0.05329215956389988,0.09032092523545432,0.1232350308366157,0.5975609756097561,0.04659470787143727,0.08471804089017738,0.12426868231179798,0.5365853658536586,0.030533986433318394,0.09369302553121565,0.12774235795344185,0.5487804878048781,-0.024422382756723593,-0.003372100295761335
pair_type,Ce-Pr,81,0.15333902648717398,0.20968977496241556,0.8271604938271605,0.023069746532587865,0.1652311602816841,0.22327746128973278,0.8148148148148148,-0.10764048916362023,0.16537050092680333,0.22318075509667373,0.8148148148148148,-0.10668121188297208,0.1655640670235917,0.2202340806213102,0.8148148148148148,-0.07765091798807,0.15749650618899058,0.2120116014417134,0.8271604938271605,0.0013155108108320324,0.00787399473781275
pair_type,Pr-Nd,81,0.13894232275469343,0.20690722042853077,0.7901234567901234,0.029438454905071132,0.14037139453103853,0.20989802428894444,0.7901234567901234,0.001177105481362406,0.14022900379601902,0.20840161020320358,0.7901234567901234,0.015368042078929167,0.1481971294348292,0.20518709787294112,0.7777777777777778,0.045508896269128685,0.14589776941454688,0.20750025724268215,0.7777777777777778,0.02386684086085522,-0.00566876561852786
