context,candidate_index,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_0:baseline,0.0,0.35,2.0,0.13314798445927944,0.040385193464123614,0.13004958950742068,True,
outer_0:baseline,1.0,0.7,2.0,0.14541063467613002,-0.13633854170970294,0.14136978276523218,False,
outer_0:baseline,2.0,1.0,4.0,0.15051510745594054,-0.16867049473187978,0.14917341775847956,False,
outer_0:2d_second_unshrunk,0.0,0.35,2.0,0.13252395565706357,0.03559692080213306,0.13003182416149595,True,
outer_0:2d_second_unshrunk,1.0,0.7,2.0,0.14646117627824495,-0.13796132564897134,0.14178386345694077,False,
outer_0:2d_second_unshrunk,2.0,1.0,4.0,0.150664307204387,-0.17470752465270656,0.1495825568207692,False,
outer_0:delta3d_unshrunk,0.0,0.35,2.0,0.1356430960670101,0.09191220502691466,0.12743477284620108,True,
outer_0:delta3d_unshrunk,1.0,0.7,2.0,0.1444317090171007,0.02765081257867863,0.13465044834172396,False,
outer_0:delta3d_unshrunk,2.0,1.0,4.0,0.14796040167458802,-0.04272793073076975,0.13990150381733468,False,
outer_0:2d_ensemble_weight,,,,0.13366970426724772,0.03310934871091087,0.1299583270620356,False,0.0
outer_0:2d_ensemble_weight,,,,0.13327144526669618,0.034486004318560415,0.12978354021387442,False,0.25
outer_0:2d_ensemble_weight,,,,0.13294319455355713,0.035116937982249685,0.12967604132252203,False,0.5
outer_0:2d_ensemble_weight,,,,0.1326842329610844,0.035002149701979124,0.12963614997703532,False,0.75
outer_0:2d_ensemble_weight,,,,0.13247511626852704,0.0341416394777484,0.12965740340980034,True,1.0
outer_0:delta3d_weight,,,,0.13366970426724772,0.03310934871091087,0.1299583270620356,False,0.0
outer_0:delta3d_weight,,,,0.13283266572220556,0.06075200164521222,0.12845893259280497,True,0.25
outer_0:delta3d_weight,,,,0.13334214494668106,0.08129770916436474,0.12777569145023449,False,0.5
outer_0:delta3d_weight,,,,0.1345062514594823,0.09474647126836822,0.12767764403628049,False,0.75
outer_0:delta3d_weight,,,,0.1361395618378367,0.10109828795722264,0.12814230491367662,False,1.0
outer_1:baseline,0.0,0.35,2.0,0.12982280424538106,0.11413792190199179,0.11315392546056863,True,
outer_1:baseline,1.0,0.7,2.0,0.1325648194205447,0.03381667189760962,0.120147801509165,False,
outer_1:baseline,2.0,1.0,4.0,0.1302377994432832,-0.021404916745373814,0.12376128081447803,False,
outer_1:2d_second_unshrunk,0.0,0.35,2.0,0.12966222076134043,0.12276325148097622,0.11164817748911436,True,
outer_1:2d_second_unshrunk,1.0,0.7,2.0,0.1322285457864074,0.04548017903365553,0.12006149391146545,False,
outer_1:2d_second_unshrunk,2.0,1.0,4.0,0.1299985387850347,0.001756058875471589,0.1218501596226453,False,
outer_1:delta3d_unshrunk,0.0,0.35,2.0,0.1288767152195249,0.11865249456084348,0.11236686321282592,True,
outer_1:delta3d_unshrunk,1.0,0.7,2.0,0.13393431097851533,0.07667374216490142,0.11606390448061468,False,
outer_1:delta3d_unshrunk,2.0,1.0,4.0,0.13339044765014105,0.022552165241632505,0.11819883083423689,False,
outer_1:2d_ensemble_weight,,,,0.1295646098740554,0.11055386881273177,0.11378493336591866,False,0.0
outer_1:2d_ensemble_weight,,,,0.12936154353721693,0.11134269931866936,0.113586624570055,False,0.25
outer_1:2d_ensemble_weight,,,,0.12917027180742302,0.11169490365069812,0.11341958789083369,False,0.5
outer_1:2d_ensemble_weight,,,,0.12898536349934936,0.11161048180881783,0.11328235101922343,False,0.75
outer_1:2d_ensemble_weight,,,,0.1288099795538985,0.11108943379302849,0.11317213559801594,True,1.0
outer_1:delta3d_weight,,,,0.1295646098740554,0.11055386881273177,0.11378493336591866,False,0.0
outer_1:delta3d_weight,,,,0.1280847891225272,0.12138270770032134,0.11239153922655479,True,0.25
outer_1:delta3d_weight,,,,0.12808888476777655,0.12420396055355787,0.11193457459353778,False,0.5
outer_1:delta3d_weight,,,,0.1291324157231762,0.11901762737244204,0.11248289936141014,False,0.75
outer_1:delta3d_weight,,,,0.13100618907121986,0.1058237081569735,0.11397003019661177,False,1.0
outer_2:baseline,0.0,0.35,2.0,0.13575620514392583,-0.007783990558767329,0.1245865897003873,True,
outer_2:baseline,1.0,0.7,2.0,0.14391107139059922,-0.14221008033189841,0.13371606248674256,False,
outer_2:baseline,2.0,1.0,4.0,0.14896524009595377,-0.14658956176366034,0.13166923587201967,False,
outer_2:2d_second_unshrunk,0.0,0.35,2.0,0.1371307455327231,-0.016965546934390785,0.12613491933856258,True,
outer_2:2d_second_unshrunk,1.0,0.7,2.0,0.1417177682329444,-0.12148330900454862,0.13131280414002486,False,
outer_2:2d_second_unshrunk,2.0,1.0,4.0,0.14898956994431203,-0.13662677130524137,0.13131900444291925,False,
outer_2:delta3d_unshrunk,0.0,0.35,2.0,0.1340411267529221,0.04719315644184818,0.12246564885056917,True,
outer_2:delta3d_unshrunk,1.0,0.7,2.0,0.13708818557409982,0.004714050833116046,0.12447673241209033,False,
outer_2:delta3d_unshrunk,2.0,1.0,4.0,0.14237706897312458,-0.04678985175275763,0.12798219029414545,False,
outer_2:2d_ensemble_weight,,,,0.1366303707646897,-0.017314054241359234,0.12657769471029812,True,0.0
outer_2:2d_ensemble_weight,,,,0.13686538784317537,-0.015123191059735586,0.12637881959193345,False,0.25
outer_2:2d_ensemble_weight,,,,0.1371599689739068,-0.013816461749739828,0.12628473339578883,False,0.5
outer_2:2d_ensemble_weight,,,,0.13748714114687693,-0.013393866311372404,0.12625080693075133,False,0.75
outer_2:2d_ensemble_weight,,,,0.13784842311001178,-0.013855404744632871,0.12631120940030954,False,1.0
outer_2:delta3d_weight,,,,0.1366303707646897,-0.017314054241359234,0.12657769471029812,False,0.0
outer_2:delta3d_weight,,,,0.13407848111448223,0.015062101288894625,0.12369313969241874,False,0.25
outer_2:delta3d_weight,,,,0.13284460321787403,0.037177245158218075,0.12208144933231684,False,0.5
outer_2:delta3d_weight,,,,0.1325980508955192,0.049031377366611006,0.12141836265453215,True,0.75
outer_2:delta3d_weight,,,,0.1331849145976478,0.05062449791407342,0.12178880961147259,False,1.0
outer_3:baseline,0.0,0.35,2.0,0.11835606927496364,0.0002916115205543468,0.12819038084637743,True,
outer_3:baseline,1.0,0.7,2.0,0.12768207240385823,-0.1636272181373486,0.1396252915688832,False,
outer_3:baseline,2.0,1.0,4.0,0.13100417569284023,-0.0808293769952051,0.13543532504414865,False,
outer_3:2d_second_unshrunk,0.0,0.35,2.0,0.12003240037275956,-0.02332409970330729,0.12948222553376057,True,
outer_3:2d_second_unshrunk,1.0,0.7,2.0,0.12749170455837713,-0.18454181123356217,0.14062961008356115,False,
outer_3:2d_second_unshrunk,2.0,1.0,4.0,0.13145546786159315,-0.08011846395659172,0.13565280957939113,False,
outer_3:delta3d_unshrunk,0.0,0.35,2.0,0.13503949420650335,0.07807544739430128,0.12414290093471808,True,
outer_3:delta3d_unshrunk,1.0,0.7,2.0,0.13866928165665682,-0.022759367374270978,0.1304474865381776,False,
outer_3:delta3d_unshrunk,2.0,1.0,4.0,0.14413543824657646,-0.06189917924214572,0.13330565334815533,False,
outer_3:2d_ensemble_weight,,,,0.11946340109444195,0.02108104693382762,0.12513281568951973,False,0.0
outer_3:2d_ensemble_weight,,,,0.11905479708847526,0.016602973388998854,0.12556928923225955,False,0.25
outer_3:2d_ensemble_weight,,,,0.1186708018400596,0.011250348069409943,0.12607397776350537,False,0.5
outer_3:2d_ensemble_weight,,,,0.11829858299613805,0.005023170975060998,0.12665415653758114,False,0.75
outer_3:2d_ensemble_weight,,,,0.11796591701310725,-0.002078557894048094,0.12731327233944975,True,1.0
outer_3:delta3d_weight,,,,0.11946340109444195,0.02108104693382762,0.12513281568951973,True,0.0
outer_3:delta3d_weight,,,,0.12109964357595146,0.0470434649904492,0.12332213153954477,False,0.25
outer_3:delta3d_weight,,,,0.12420282370603486,0.06484496624274949,0.12239884011215385,False,0.5
outer_3:delta3d_weight,,,,0.12792564278548,0.07448555069072871,0.12230307443356415,False,0.75
outer_3:delta3d_weight,,,,0.13269095406405174,0.07596521833438685,0.12303616621763178,False,1.0
outer_4:baseline,0.0,0.35,2.0,0.14723215198868972,-0.054654125498256434,0.1365174731758232,False,
outer_4:baseline,1.0,0.7,2.0,0.152673804002338,-0.16432328566492593,0.14618039931749122,False,
outer_4:baseline,2.0,1.0,4.0,0.1408439564717363,-0.06803807265411921,0.13898780095434426,True,
