global_model,arm,adapter,policy,k,mae,n_ligands
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,1,0.8252974768084728,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,2,0.6950799164142283,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,3,0.6004034513413431,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,5,0.5191199199517904,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@D_OPTIMAL,NEAREST_OBSERVED,D_OPTIMAL,1,1.199971537757043,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@D_OPTIMAL,NEAREST_OBSERVED,D_OPTIMAL,2,0.8021406853605014,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@D_OPTIMAL,NEAREST_OBSERVED,D_OPTIMAL,3,0.6608554276600818,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@D_OPTIMAL,NEAREST_OBSERVED,D_OPTIMAL,5,0.5533122148454758,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@MEDOID,NEAREST_OBSERVED,MEDOID,1,0.8252974768084728,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@MEDOID,NEAREST_OBSERVED,MEDOID,2,0.7720468667569355,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@MEDOID,NEAREST_OBSERVED,MEDOID,3,0.7089494683909865,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@MEDOID,NEAREST_OBSERVED,MEDOID,5,0.6217730265965451,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@ORACLE[OFFSET_K1],NEAREST_OBSERVED,ORACLE[OFFSET_K1],1,0.7237593251873178,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@ORACLE[OFFSET_K1],NEAREST_OBSERVED,ORACLE[OFFSET_K1],2,0.6382125949728592,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@ORACLE[OFFSET_K1],NEAREST_OBSERVED,ORACLE[OFFSET_K1],3,0.5930145755005567,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@ORACLE[OFFSET_K1],NEAREST_OBSERVED,ORACLE[OFFSET_K1],5,0.5406174873590828,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@RANDOM,NEAREST_OBSERVED,RANDOM,1,0.9459775028894392,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@RANDOM,NEAREST_OBSERVED,RANDOM,2,0.7630663154930473,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@RANDOM,NEAREST_OBSERVED,RANDOM,3,0.6700591572967497,99
GEN10_LEVEL_SHAPE,NEAREST_OBSERVED@RANDOM,NEAREST_OBSERVED,RANDOM,5,0.5619447134754055,99
GEN10_LEVEL_SHAPE,NO_MODEL@CENTRAL_THEN_SPREAD,NO_MODEL,CENTRAL_THEN_SPREAD,1,0.8252974768084728,99
